"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,5.65454545454546,5.27662081949492,12.8,1995-04-01,1.9,167.2,2003-08-05,NA,4,"Daily record reached in 1995","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-02",2001-04-02,6.60909090909091,5.37223501821254,14.1,2019-04-02,1.1,167.2,2003-08-05,NA,4,"Daily record reached in 2019","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-03",2001-04-03,6.02727272727273,4.86026561189631,14.2,1995-04-03,1.7,167.2,2003-08-05,NA,4,"Daily record reached in 1995","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-04",2001-04-04,6.11818181818182,4.28808073194015,12.9,1994-04-04,2.5,167.2,2003-08-05,NA,4,"Daily record reached in 1994","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-05",2001-04-05,5.49090909090909,3.76840935819201,11.4,2011-04-05,3.5,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-06",2001-04-06,4.50909090909091,3.41802707580105,12.2,2011-04-06,4.7,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-07",2001-04-07,4.92142857142857,3.72748184155482,13,2011-04-07,5.8,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-08",2001-04-08,5.07857142857143,3.97998426193807,13.9,2011-04-08,6.7,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-09",2001-04-09,5.26,4.26510760205916,14.9,2011-04-09,7.7,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-10",2001-04-10,5.48666666666667,4.98037099402196,15.5,2011-04-10,9.3,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-11",2001-04-11,5.84375,5.39456130437561,16.5,2011-04-11,10.1,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-12",2001-04-12,5.775,5.85929461055965,17.5,2011-04-12,10.8,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-13",2001-04-13,5.58125,6.38312554056919,18.3,2011-04-13,6.3,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-14",2001-04-14,5.71875,5.98522834429342,18.8,2011-04-14,3.7,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-15",2001-04-15,5.85625,5.8187018884513,20,2011-04-15,4.9,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-16",2001-04-16,6,6.09579773286483,20.6,2011-04-16,6,167.2,2003-08-05,NA,4,"Daily record reached in 2011","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-17",2001-04-17,6.1,6.25234073814618,21.2,2020-04-17,7.1,167.2,2003-08-05,NA,4,"Daily record reached in 2020","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-18",2001-04-18,6.35555555555556,6.81548601885461,22.6,2020-04-18,8.7,167.2,2003-08-05,NA,4,"Daily record reached in 2020","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-19",2001-04-19,7.04444444444444,7.16414456304878,23.8,2020-04-19,10.1,167.2,2003-08-05,NA,4,"Daily record reached in 2020","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-20",2001-04-20,7.35294117647059,7.68912524665996,25,2020-04-20,11.7,167.2,2003-08-05,NA,4,"Daily record reached in 2020","1108446","VANCOUVER+HARBOUR+CS",1978,2026
"BUI","04-21",2001-04-21,7.46470588235294,7.12819587768099,26.2,2020-04-21,13,167.2,2003-08-05,NA,4,"Daily record reached in 2020","1108446","VANCOUVER+HARBOUR+CS",1978,2026
