"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,11.95625,4.7,21.1,4.66061065383783,6.9,9.15,13.5,18.85,7.5,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-01,"DATE: Apr-01<br>Value: 7.5 °C<br>Anomaly: -4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>6.9 to 18.8 °C","Historical daily maximum<br>21.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 12.0 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-01","TMIN",2001-04-01,0.26875,-5.3,4,2.54524884179655,-2.35,-1.45,1.925,3.5,0.7,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.7 °C<br>Anomaly: +0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-2.4 to 3.5 °C","Historical daily maximum<br>4.0 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.3 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-01","VPD",2001-04-01,0.824274294099043,0.353509932315269,1.76101122179866,0.422960789208217,0.45076939920271,0.524226029554137,0.896607974564322,1.49514007762911,0.394153423506042,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2013-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.5 to 1.5 kPa","Historical daily maximum<br>1.8 kPa<br>2013-04-01","DATE: Apr-01</b><br>Normal: 0.8 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-02","TMAX",2001-04-02,11.9125,5.8,22.1,4.69537005996333,6.55,7.575,13.8,18.25,12.3,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-02,"DATE: Apr-02<br>Value: 12.3 °C<br>Anomaly: +0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>6.6 to 18.2 °C","Historical daily maximum<br>22.1 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 11.9 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-02","TMIN",2001-04-02,-0.14375,-5.9,5.4,2.86355693733045,-3.4,-1.5,0.85,3.6,2.9,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2024-04-02,"DATE: Apr-02<br>Value: 2.9 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-3.4 to 3.6 °C","Historical daily maximum<br>5.4 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: -0.1 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-02","VPD",2001-04-02,0.837154242704077,0.311440257368075,1.76311994519328,0.401620075965638,0.446739693846657,0.551392338002593,0.971001178671692,1.3957697115816,0.678146221807377,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.7 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.4 kPa","Historical daily maximum<br>1.8 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.8 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-03","TMAX",2001-04-03,12.08125,5.2,19.7,3.71397697892704,8.3,9.45,13.675,17,15.1,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-03,"DATE: Apr-03<br>Value: 15.1 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>8.3 to 17.0 °C","Historical daily maximum<br>19.7 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 12.1 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-03","TMIN",2001-04-03,0.7,-6.1,5.7,3.05505046330389,-2.65,-0.875,2.725,4.2,2.5,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2024-04-03,"DATE: Apr-03<br>Value: 2.5 °C<br>Anomaly: +1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-2.6 to 4.2 °C","Historical daily maximum<br>5.7 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: 0.7 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-03","VPD",2001-04-03,0.790383675759062,0.36965255958829,1.44695616313855,0.290066185299707,0.425192960827827,0.589889021458355,0.92879077276152,1.10219585969046,0.985062497484309,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-03,"DATE: Apr-03<br>Value: 1.0 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.1 kPa","Historical daily maximum<br>1.4 kPa<br>2016-04-03","DATE: Apr-03</b><br>Normal: 0.8 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-04","TMAX",2001-04-04,11.74375,5.7,16.9,2.57318706406407,9,11.1,12.55,14.45,18.4,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2026-04-04,"DATE: Apr-04<br>Value: 18.4 °C<br>Anomaly: +6.7 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>9.0 to 14.4 °C","Historical daily maximum<br>16.9 °C<br>2026-04-04","DATE: Apr-04</b><br>Normal: 11.7 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-04","TMIN",2001-04-04,0.63125,-6.2,5.4,3.21635792991597,-2.75,-1.475,3.175,4.3,2.2,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2022-04-04,"DATE: Apr-04<br>Value: 2.2 °C<br>Anomaly: +1.6 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-2.8 to 4.3 °C","Historical daily maximum<br>5.4 °C<br>2022-04-04","DATE: Apr-04</b><br>Normal: 0.6 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-04","VPD",2001-04-04,0.741758247663293,0.429753097148138,1.16232243276471,0.207973622563913,0.464153360899287,0.612817114267019,0.849027665699463,0.968413532630429,1.40066936203701,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2026-04-04,"DATE: Apr-04<br>Value: 1.4 kPa<br>Anomaly: +0.7 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.5 to 1.0 kPa","Historical daily maximum<br>1.2 kPa<br>2026-04-04","DATE: Apr-04</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-05","TMAX",2001-04-05,11.95625,6.7,17.1,2.95092499622294,8.6,9.7,13.725,15.8,20.6,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2026-04-05,"DATE: Apr-05<br>Value: 20.6 °C<br>Anomaly: +8.6 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>8.6 to 15.8 °C","Historical daily maximum<br>17.1 °C<br>2026-04-05","DATE: Apr-05</b><br>Normal: 12.0 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-05","TMIN",2001-04-05,1.3625,-2.4,6.2,2.47059372081557,-1.55,-0.6,2.3,4.75,2.8,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2013-04-05,"DATE: Apr-05<br>Value: 2.8 °C<br>Anomaly: +1.4 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.6 to 4.8 °C","Historical daily maximum<br>6.2 °C<br>2013-04-05","DATE: Apr-05</b><br>Normal: 1.4 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-05","VPD",2001-04-05,0.737390705128651,0.245139712398543,1.21352117401359,0.279693681430819,0.450831965071498,0.527944432113179,0.941633663407326,1.10764467646235,1.67947476565563,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2026-04-05,"DATE: Apr-05<br>Value: 1.7 kPa<br>Anomaly: +0.9 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.5 to 1.1 kPa","Historical daily maximum<br>1.2 kPa<br>2026-04-05","DATE: Apr-05</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-06","TMAX",2001-04-06,13.7625,7.5,19.8,3.66949133622995,9.15,11.375,17.15,18.05,17.4,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-06,"DATE: Apr-06<br>Value: 17.4 °C<br>Anomaly: +3.6 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>9.1 to 18.0 °C","Historical daily maximum<br>19.8 °C<br>2007-04-06","DATE: Apr-06</b><br>Normal: 13.8 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-06","TMIN",2001-04-06,2.36875,-2.6,7.5,2.81228702897363,-1.25,1.075,3.925,5.8,5.4,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2005-04-06,"DATE: Apr-06<br>Value: 5.4 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.2 to 5.8 °C","Historical daily maximum<br>7.5 °C<br>2005-04-06","DATE: Apr-06</b><br>Normal: 2.4 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-06","VPD",2001-04-06,0.874530156610843,0.24043507223069,1.60384681534675,0.358575885565427,0.401691589958994,0.705307235442298,1.08487976373482,1.26247480298329,1.09042779899812,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-06,"DATE: Apr-06<br>Value: 1.1 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.3 kPa","Historical daily maximum<br>1.6 kPa<br>2007-04-06","DATE: Apr-06</b><br>Normal: 0.9 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-07","TMAX",2001-04-07,13.99375,6.2,23.2,4.56573743587313,8.5,11.575,15.625,19.95,16.2,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-07,"DATE: Apr-07<br>Value: 16.2 °C<br>Anomaly: +2.2 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>8.5 to 20.0 °C","Historical daily maximum<br>23.2 °C<br>2007-04-07","DATE: Apr-07</b><br>Normal: 14.0 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-07","TMIN",2001-04-07,2.25625,-1.9,6.4,2.27390083336983,-0.15,0.425,4.35,4.6,3,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2025-04-07,"DATE: Apr-07<br>Value: 3.0 °C<br>Anomaly: +0.7 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-07<br><b>Minimum temperature</b><br>10-90 percentile<br>-0.2 to 4.6 °C","Historical daily maximum<br>6.4 °C<br>2025-04-07","DATE: Apr-07</b><br>Normal: 2.3 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-07","VPD",2001-04-07,0.93034023193606,0.211614455408626,2.00127315814899,0.481203884532852,0.421069264538396,0.607203029438861,0.97808652985992,1.62924833402071,1.08387880032004,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-07,"DATE: Apr-07<br>Value: 1.1 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-07<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.6 kPa","Historical daily maximum<br>2.0 kPa<br>2007-04-07","DATE: Apr-07</b><br>Normal: 0.9 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-08","TMAX",2001-04-08,15.05625,7.4,22.3,4.48314900488485,9.55,12.55,17.575,21.1,16.4,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-08,"DATE: Apr-08<br>Value: 16.4 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-08<br><b>Maximum temperature</b><br>10-90 percentile<br>9.6 to 21.1 °C","Historical daily maximum<br>22.3 °C<br>2007-04-08","DATE: Apr-08</b><br>Normal: 15.1 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-08","TMIN",2001-04-08,1.5125,-2.1,5.6,2.5804069446504,-1.8,-0.65,3.325,4.85,-1.2,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-08,"DATE: Apr-08<br>Value: -1.2 °C<br>Anomaly: -2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-08<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.8 to 4.8 °C","Historical daily maximum<br>5.6 °C<br>2016-04-08","DATE: Apr-08</b><br>Normal: 1.5 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-08","VPD",2001-04-08,1.07953515205328,0.459115277772837,1.84441234510941,0.439616053030187,0.525328734759421,0.805061360806834,1.38851555127507,1.67696334830208,1.30579426625372,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2007-04-08,"DATE: Apr-08<br>Value: 1.3 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-08<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.5 to 1.7 kPa","Historical daily maximum<br>1.8 kPa<br>2007-04-08","DATE: Apr-08</b><br>Normal: 1.1 kPa<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
"04-09","TMAX",2001-04-09,15.175,9.7,19.5,2.94855897007335,11.05,13.65,17.45,18.65,19,"NA (ECCC AES NA; station_id 46987)",NA,46987,"",4,2016-04-09,"DATE: Apr-09<br>Value: 19.0 °C<br>Anomaly: +3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 46987)","DATE: Apr-09<br><b>Maximum temperature</b><br>10-90 percentile<br>11.0 to 18.6 °C","Historical daily maximum<br>19.5 °C<br>2016-04-09","DATE: Apr-09</b><br>Normal: 15.2 °C<br>Period: 1991-2020","1128582","VERNON+AUTO",2005,2026
