"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,11.6384615384615,5.5,18.1,2.45146110278371,9.3,9.825,13.05,14.05,8.6,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2019-04-01,"DATE: Apr-01<br>Value: 8.6 °C<br>Anomaly: -3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>9.3 to 14.0 °C","Historical daily maximum<br>18.1 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: 11.6 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-01","TMIN",2001-04-01,4.59230769230769,0,7.7,1.9299581502039,2.3,3.35,5.875,7,6.3,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2016-04-01,"DATE: Apr-01<br>Value: 6.3 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>2.3 to 7.0 °C","Historical daily maximum<br>7.7 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 4.6 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-01","VPD",2001-04-01,0.530425934282094,0.202621791683898,1.08200280861815,0.189288552525785,0.289809755218509,0.445545955146816,0.603073385904614,0.721903951115724,0.162693728171938,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2019-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.7 kPa","Historical daily maximum<br>1.1 kPa<br>2019-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-02","TMAX",2001-04-02,12.1192307692308,8.3,18.8,2.44687870247288,9.95,10.65,12.475,15.95,13.8,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2019-04-02,"DATE: Apr-02<br>Value: 13.8 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>9.9 to 15.9 °C","Historical daily maximum<br>18.8 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 12.1 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-02","TMIN",2001-04-02,4.73846153846154,2.1,9.4,2.00301311490003,2.55,3.2,5.525,8,5.9,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2019-04-02,"DATE: Apr-02<br>Value: 5.9 °C<br>Anomaly: +1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>2.5 to 8.0 °C","Historical daily maximum<br>9.4 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 4.7 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-02","VPD",2001-04-02,0.566120978648978,0.287331283475376,1.09583189712885,0.203714926480947,0.363179556904646,0.435803103382269,0.633574778752725,0.867198546471401,0.64931942526502,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2004-04-02,"DATE: Apr-02<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2004-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-03","TMAX",2001-04-03,11.9615384615385,7.9,19.5,2.91466319468674,8.3,9.975,13.75,15.5,11.9,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2004-04-03,"DATE: Apr-03<br>Value: 11.9 °C<br>Anomaly: -0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>8.3 to 15.5 °C","Historical daily maximum<br>19.5 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 12.0 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-03","TMIN",2001-04-03,4.91538461538462,2.1,8.5,1.82223869077403,2.8,3.275,6.225,7.4,7.1,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2019-04-03,"DATE: Apr-03<br>Value: 7.1 °C<br>Anomaly: +2.2 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>2.8 to 7.4 °C","Historical daily maximum<br>8.5 °C<br>2019-04-03","DATE: Apr-03</b><br>Normal: 4.9 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-03","VPD",2001-04-03,0.548365173023659,0.215158496827479,1.27188029086737,0.243458792582013,0.285642487662305,0.37189864182959,0.686886695141268,0.731362539268328,0.384583529740463,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.7 kPa","Historical daily maximum<br>1.3 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-04","TMAX",2001-04-04,11.8730769230769,6.7,17.6,2.5497541359602,8.85,10.45,13.75,14.65,16.7,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2002-04-04,"DATE: Apr-04<br>Value: 16.7 °C<br>Anomaly: +4.8 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>8.8 to 14.6 °C","Historical daily maximum<br>17.6 °C<br>2002-04-04","DATE: Apr-04</b><br>Normal: 11.9 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
"04-04","TMIN",2001-04-04,5.33846153846154,1.3,9,1.90264593092397,2.65,4.5,6.5,7.55,6.6,"NA (ECCC AES NA; station_id 114)",NA,114,"",4,2013-04-04,"DATE: Apr-04<br>Value: 6.6 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 114)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>2.7 to 7.6 °C","Historical daily maximum<br>9.0 °C<br>2013-04-04","DATE: Apr-04</b><br>Normal: 5.3 °C<br>Period: 1991-2020","1018611","VICTORIA+GONZALES+CS",1995,2026
