"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"1018598","VICTORIA+UNIVERSITY+CS","04-01","BUI",1994,2026,7.04705882352941,4.75934838594776,14.6,1995-04-01,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-02","BUI",1994,2026,7.87058823529412,5.04179589852197,15.6,2018-04-02,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-03","BUI",1994,2026,8.44117647058823,5.11896703734374,16.3,1995-04-03,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-04","BUI",1994,2026,8.58823529411765,4.82219897361945,17.3,2004-04-04,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-05","BUI",1994,2026,8.27647058823529,4.37414697566347,18,2004-04-05,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-06","BUI",1994,2026,8.34705882352941,4.98198224192174,18.3,2004-04-06,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-07","BUI",1994,2026,8.57777777777778,5.20695864211092,19.1,2004-04-07,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-08","BUI",1994,2026,9.27222222222222,5.35875375717763,19.8,2004-04-08,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-09","BUI",1994,2026,9.3421052631579,5.00636437053141,20.9,2004-04-09,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-10","BUI",1994,2026,9.17894736842105,5.16619126279145,22.6,2004-04-10,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-11","BUI",1994,2026,9.9421052631579,5.40013536759071,24.8,2004-04-11,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-12","BUI",1994,2026,10.22,5.44441771087839,25.8,2004-04-12,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-13","BUI",1994,2026,10.2,6.04874932701403,26.6,2004-04-13,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-14","BUI",1994,2026,9.96190476190476,6.3269642159946,27.1,2004-04-14,10.2,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-15","BUI",1994,2026,10.5285714285714,6.23242672296617,24.3,2004-04-15,6.9,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-16","BUI",1994,2026,10.6238095238095,6.56832587208527,25.1,2004-04-16,4.2,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-17","BUI",1994,2026,11.1958333333333,6.73236693093548,25.8,2004-04-17,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-18","BUI",1994,2026,11.95,7.09574275304505,26.6,2004-04-18,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-19","BUI",1994,2026,11.9913043478261,6.85757133283936,27.2,2004-04-19,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-20","BUI",1994,2026,13.4083333333333,8.02219294894762,31.2,2016-04-20,NA,258.9,2017-09-08,NA
"1018598","VICTORIA+UNIVERSITY+CS","04-21","BUI",1994,2026,14.35,8.20625424268906,32.5,2016-04-21,NA,258.9,2017-09-08,NA
