"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,11.7,3.6,21.7,3.90778316066401,7.64,9.15,13.9,16.2,10.5,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2019-04-01,"DATE: Apr-01<br>Value: 10.5 °C<br>Anomaly: -1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>7.6 to 16.2 °C","Historical daily maximum<br>21.7 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: 11.7 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-01","TMIN",2001-04-01,3.3,-1.5,9.1,2.62502747238371,0.8,1.35,4.65,6.68,4.3,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2016-04-01,"DATE: Apr-01<br>Value: 4.3 °C<br>Anomaly: +1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>0.8 to 6.7 °C","Historical daily maximum<br>9.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 3.3 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-01","VPD",2001-04-01,0.629800406399382,0.128759263946548,1.60778740849767,0.316418881092875,0.286309095702954,0.459026406957327,0.79246607525064,0.967231033230054,0.439122762876573,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2019-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>1.6 kPa<br>2019-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-02","TMAX",2001-04-02,11.9518518518519,6.5,20.4,3.24930411134095,7.82,10.55,13.05,15.78,11,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2019-04-02,"DATE: Apr-02<br>Value: 11.0 °C<br>Anomaly: -1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>7.8 to 15.8 °C","Historical daily maximum<br>20.4 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 12.0 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-02","TMIN",2001-04-02,3.34814814814815,-0.7,9.7,2.94949413790156,-0.22,1.45,5.7,7.24,5.3,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2019-04-02,"DATE: Apr-02<br>Value: 5.3 °C<br>Anomaly: +2.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-0.2 to 7.2 °C","Historical daily maximum<br>9.7 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 3.3 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-02","VPD",2001-04-02,0.634677165271364,0.292067150581625,1.26774123684072,0.240463951638273,0.344538643077332,0.416546574613622,0.715117790336007,0.832686324959252,0.421966270422467,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2004-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2004-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-03","TMAX",2001-04-03,12.2961538461538,7.6,18.6,3.02515860995496,9.3,10.025,14.3,16.5,9.8,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2016-04-03,"DATE: Apr-03<br>Value: 9.8 °C<br>Anomaly: -2.5 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>9.3 to 16.5 °C","Historical daily maximum<br>18.6 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 12.3 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-03","TMIN",2001-04-03,3.56923076923077,-0.6,8.2,2.30647249812682,0.6,2.175,5.425,6.2,6,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2019-04-03,"DATE: Apr-03<br>Value: 6.0 °C<br>Anomaly: +2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>0.6 to 6.2 °C","Historical daily maximum<br>8.2 °C<br>2019-04-03","DATE: Apr-03</b><br>Normal: 3.6 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-03","VPD",2001-04-03,0.656900586068069,0.242170513113177,1.14151975625993,0.265502437325554,0.34407194272707,0.454364661998509,0.80895263536814,1.05272050823085,0.276492623204816,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,1995-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.1 kPa","Historical daily maximum<br>1.1 kPa<br>1995-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-04","TMAX",2001-04-04,11.6923076923077,4.2,16.9,3.06540999892975,7.65,9.975,13.775,15.35,15.7,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2002-04-04,"DATE: Apr-04<br>Value: 15.7 °C<br>Anomaly: +4.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>7.6 to 15.4 °C","Historical daily maximum<br>16.9 °C<br>2002-04-04","DATE: Apr-04</b><br>Normal: 11.7 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
"04-04","TMIN",2001-04-04,3.9,-1.1,8.9,2.54652704678352,1.05,2.15,5.675,7.25,6.9,"NA (ECCC AES NA; station_id 6833)",NA,6833,"",4,2013-04-04,"DATE: Apr-04<br>Value: 6.9 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6833)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>1.0 to 7.2 °C","Historical daily maximum<br>8.9 °C<br>2013-04-04","DATE: Apr-04</b><br>Normal: 3.9 °C<br>Period: 1991-2020","1108824","WEST+VANCOUVER+AUT",1994,2026
