"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,20.6888888888889,9.54416633924153,33.9,1995-04-01,12.9,205.9,2017-07-19,NA,4,"Daily record reached in 1995","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-02",2001-04-02,23.825,6.53097017514025,31.8,2016-04-02,13.9,205.9,2017-07-19,NA,4,"Daily record reached in 2016","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-03",2001-04-03,21.62,9.35530746569976,33.9,2016-04-03,16.1,205.9,2017-07-19,NA,4,"Daily record reached in 2016","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-04",2001-04-04,21.41,5.5492642154914,29.6,2016-04-04,17.5,205.9,2017-07-19,NA,4,"Daily record reached in 2016","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-05",2001-04-05,17.5222222222222,7.82987512317051,31,1966-04-05,19.5,205.9,2017-07-19,NA,4,"Daily record reached in 1966","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-06",2001-04-06,16.9083333333333,7.52359420071083,32.8,1987-04-06,22,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-07",2001-04-07,19.2538461538462,8.10952273406758,34.4,1987-04-07,22.6,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-08",2001-04-08,19.8692307692308,8.42104354334867,36,1987-04-08,24.6,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-09",2001-04-09,19.3642857142857,7.94322228190677,37.1,1987-04-09,26.7,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-10",2001-04-10,17.27,8.8079572609721,37.3,1987-04-10,29.5,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-11",2001-04-11,20.225,9.82817147517556,38.7,1987-04-11,32.3,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-12",2001-04-12,18.58,10.3427131008123,40.1,1987-04-12,34.2,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-13",2001-04-13,20.075,11.0878414162869,40.9,1987-04-13,35.6,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-14",2001-04-14,18.45,9.98026899591235,42.9,1987-04-14,37.2,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-15",2001-04-15,19.05625,9.6040247639553,44.2,1987-04-15,NA,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-16",2001-04-16,20.34375,9.94578428280043,45.6,1987-04-16,36.4,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-17",2001-04-17,20.52,9.90579840826893,46.6,1987-04-17,37.7,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-18",2001-04-18,21.17,10.8507627672703,47.5,1987-04-18,40,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-19",2001-04-19,21.655,11.789490190308,48.4,1987-04-19,42.9,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-20",2001-04-20,21.4636363636364,12.5747496597081,49.5,1987-04-20,45.3,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-21",2001-04-21,21.6363636363636,12.5313528876496,49.9,1987-04-21,48.4,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-22",2001-04-22,22.6409090909091,12.0597583127843,51.2,1987-04-22,50.4,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-23",2001-04-23,22.1304347826087,11.3025513926808,53.1,1987-04-23,52.2,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-24",2001-04-24,21.9521739130435,11.0040021465423,54.6,1987-04-24,54.2,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-25",2001-04-25,23.025,11.2699388525018,56.7,2026-04-25,56.7,205.9,2017-07-19,NA,4,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-26",2001-04-26,24.096,11.597933724016,58.5,2026-04-26,58.5,205.9,2017-07-19,NA,4,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-27",2001-04-27,24.5166666666667,11.8194631919105,61.5,1987-04-27,61.1,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-28",2001-04-28,26.0291666666667,11.7520203320135,64.1,1987-04-28,63.3,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-29",2001-04-29,26.5,11.5394973894013,66.8,1987-04-29,65.9,205.9,2017-07-19,NA,4,"Daily record reached in 1987","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","04-30",2001-04-30,26.2416666666667,10.4530385291911,69.4,2026-04-30,69.4,205.9,2017-07-19,NA,4,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-01",2001-05-01,27.196,11.9110410963946,72.3,2026-05-01,72.3,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-02",2001-05-02,28.4615384615385,12.0678441131157,75.6,2026-05-02,75.6,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-03",2001-05-03,29.5416666666667,13.69058440861,79.2,2026-05-03,79.2,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-04",2001-05-04,30.3086956521739,14.9540481914515,82.7,2026-05-04,82.7,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-05",2001-05-05,30.312,15.8079442053671,86.7,2026-05-05,86.7,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-06",2001-05-06,32.332,16.0005916557274,89.4,2026-05-06,89.4,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-07",2001-05-07,32.9538461538462,16.3500025876262,92.5,2026-05-07,92.5,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-08",2001-05-08,35.072,15.9714724848191,95.4,2026-05-08,95.4,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-09",2001-05-09,36.7708333333333,16.865619239116,98.3,2026-05-09,98.3,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-10",2001-05-10,36.0925925925926,18.2932296413796,101.2,2026-05-10,101.2,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-11",2001-05-11,35.5444444444444,18.5282182574276,103.1,2026-05-11,103.1,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-12",2001-05-12,35.5185185185185,20.2560729172387,106.5,2026-05-12,106.5,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-13",2001-05-13,35.6892857142857,19.5490710073056,109.1,2026-05-13,109.1,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-14",2001-05-14,35.35,19.9432249704561,110.4,2026-05-14,110.4,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-15",2001-05-15,36.1034482758621,19.1022527235219,111.4,2026-05-15,111.4,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-16",2001-05-16,37.3178571428571,19.2369831617128,112.1,2026-05-16,112.1,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
"BUI","05-17",2001-05-17,35.9571428571429,17.8530094687127,114.1,2026-05-17,114.1,205.9,2017-07-19,NA,5,"Daily record reached in 2026","1098940","WILLIAMS+LAKE+A",1961,2026
