"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-14",2001-04-14,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-15",2001-04-15,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-16",2001-04-16,NA,NA,NA,NA,NA,178.3,2017-08-13,NA,4,"Daily record reached in NA","11790J1","YOHO+PARK",1994,2026
"BUI","04-17",2001-04-17,15.2,NA,15.2,2010-04-17,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-18",2001-04-18,18.4,NA,18.4,2010-04-18,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-19",2001-04-19,21.9,NA,21.9,2010-04-19,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-20",2001-04-20,25.2,NA,25.2,2010-04-20,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-21",2001-04-21,29.2,NA,29.2,2010-04-21,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-22",2001-04-22,22.15,10.3944696834422,29.5,2010-04-22,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","04-23",2001-04-23,16.7,1.87349939951952,18.2,2005-04-23,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-24",2001-04-24,17.8333333333333,3.17227573412737,21.2,2005-04-24,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-25",2001-04-25,14.2666666666667,10.1534887271978,25.6,2005-04-25,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-26",2001-04-26,12.65,11.3650047660937,28.3,2005-04-26,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-27",2001-04-27,17.0666666666667,10.7565483931107,29.2,2005-04-27,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-28",2001-04-28,15.9666666666667,11.4788210776775,29.2,2005-04-28,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","04-29",2001-04-29,13.2,3.39411254969543,15.6,1998-04-29,NA,178.3,2017-08-13,NA,4,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","04-30",2001-04-30,14.54,11.0049079959807,31.5,2005-04-30,NA,178.3,2017-08-13,NA,4,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","05-01",2001-05-01,17.42,10.7450919028178,32.4,2005-05-01,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","05-02",2001-05-02,20,11.6779707141267,34.8,2005-05-02,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","05-03",2001-05-03,20.98,13.811118709214,36,2005-05-03,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2005","11790J1","YOHO+PARK",1994,2026
"BUI","05-04",2001-05-04,21.2,16.8912699344957,38.9,1998-05-04,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-05",2001-05-05,25.025,19.9481619871773,43.7,1998-05-05,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-06",2001-05-06,26.6,22.1998498493421,48,1998-05-06,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-07",2001-05-07,27.65,21.8809658531489,52.4,1998-05-07,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-08",2001-05-08,22.5166666666667,18.1547147228114,54.9,1998-05-08,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-09",2001-05-09,24.45,18.3286387928837,57.2,1998-05-09,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-10",2001-05-10,24.1333333333333,17.9736102847109,58.4,1998-05-10,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-11",2001-05-11,26.4166666666667,18.420360112296,62.1,1998-05-11,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-12",2001-05-12,25.3,18.4899972958354,65,1998-05-12,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-13",2001-05-13,23.5555555555556,17.977563176854,68,1998-05-13,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-14",2001-05-14,22.43,11.6481805923119,48.9,1998-05-14,NA,178.3,2017-08-13,NA,5,"Daily record reached in 1998","11790J1","YOHO+PARK",1994,2026
"BUI","05-15",2001-05-15,19.4636363636364,8.07703816101827,46.9,2025-05-15,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2025","11790J1","YOHO+PARK",1994,2026
"BUI","05-16",2001-05-16,18.6076923076923,9.41448011827716,47.5,2025-05-16,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2025","11790J1","YOHO+PARK",1994,2026
"BUI","05-17",2001-05-17,18.9692307692308,7.86706050730773,38.6,2025-05-17,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2025","11790J1","YOHO+PARK",1994,2026
"BUI","05-18",2001-05-18,20.9214285714286,8.32292280127864,41.3,2010-05-18,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-19",2001-05-19,18.5333333333333,8.33286665359927,43.4,2010-05-19,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-20",2001-05-20,17.7142857142857,9.39139189674469,43.6,2010-05-20,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-21",2001-05-21,16.9,10.6559481403219,44.3,2023-05-21,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","05-22",2001-05-22,14.8,8.3798292620756,33,2015-05-22,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2015","11790J1","YOHO+PARK",1994,2026
"BUI","05-23",2001-05-23,16.8529411764706,12.0340204029586,45.6,2010-05-23,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-24",2001-05-24,16.6684210526316,12.6670637056887,48.4,2010-05-24,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-25",2001-05-25,18.4263157894737,13.151503594024,50.9,2010-05-25,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-26",2001-05-26,17.7142857142857,13.8083773744161,52.9,2010-05-26,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-27",2001-05-27,18.5095238095238,13.961228626518,54,2010-05-27,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-28",2001-05-28,19.5904761904762,14.4986863115906,54.8,2010-05-28,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-29",2001-05-29,19.3952380952381,14.799745815063,56.1,2010-05-29,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-30",2001-05-30,19.8095238095238,14.1330783894347,57.2,2010-05-30,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","05-31",2001-05-31,21.6666666666667,14.7524009345372,58.6,2010-05-31,NA,178.3,2017-08-13,NA,5,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-01",2001-06-01,21.0590909090909,14.239370608446,61.1,2010-06-01,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-02",2001-06-02,21.3227272727273,14.1763697353892,61.9,2010-06-02,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-03",2001-06-03,22.0545454545455,14.2004938637368,62.3,2010-06-03,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-04",2001-06-04,21.8545454545455,14.6208503196382,63.7,2010-06-04,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-05",2001-06-05,19.7347826086957,14.0374048590851,65.5,2010-06-05,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-06",2001-06-06,18.5363636363636,15.6063035327623,68.5,2010-06-06,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-07",2001-06-07,20.3,16.1203992731965,69.5,2010-06-07,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-08",2001-06-08,21.4681818181818,16.3607074699644,71.6,2010-06-08,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-09",2001-06-09,20.1826086956522,15.6063696836759,76.2,2023-06-09,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","06-10",2001-06-10,17.7772727272727,12.4624361991272,56.1,2025-06-10,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2025","11790J1","YOHO+PARK",1994,2026
"BUI","06-11",2001-06-11,18.4454545454545,13.3214373338875,60.2,2025-06-11,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2025","11790J1","YOHO+PARK",1994,2026
"BUI","06-12",2001-06-12,17.7681818181818,13.2523272480413,53.2,2010-06-12,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-13",2001-06-13,18.5217391304348,15.0234651771438,57.8,2010-06-13,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-14",2001-06-14,16.8347826086957,15.4870505641928,55.9,2010-06-14,9.4,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-15",2001-06-15,16.2521739130435,14.6790781716148,49.6,2010-06-15,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-16",2001-06-16,15.5782608695652,12.0527234388121,38.1,2009-06-16,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2009","11790J1","YOHO+PARK",1994,2026
"BUI","06-17",2001-06-17,15.9217391304348,11.5468593337889,37.1,2002-06-17,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2002","11790J1","YOHO+PARK",1994,2026
"BUI","06-18",2001-06-18,14.5130434782609,9.30495001929941,37,2023-06-18,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","06-19",2001-06-19,14.9565217391304,10.4246136220946,39.4,2010-06-19,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-20",2001-06-20,16.8304347826087,11.2003828985932,45.3,2010-06-20,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-21",2001-06-21,18.4260869565217,11.5058173978251,50.5,2010-06-21,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2010","11790J1","YOHO+PARK",1994,2026
"BUI","06-22",2001-06-22,18.5347826086957,9.60604017819717,44.6,2001-06-22,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2001","11790J1","YOHO+PARK",1994,2026
"BUI","06-23",2001-06-23,18.8260869565217,8.82863200518653,34.3,2001-06-23,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2001","11790J1","YOHO+PARK",1994,2026
"BUI","06-24",2001-06-24,17.1,8.81986394452885,35.1,2004-06-24,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2004","11790J1","YOHO+PARK",1994,2026
"BUI","06-25",2001-06-25,16.2217391304348,10.5395772091216,38.5,2004-06-25,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2004","11790J1","YOHO+PARK",1994,2026
"BUI","06-26",2001-06-26,17.5565217391304,11.6793845606442,40.3,2004-06-26,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2004","11790J1","YOHO+PARK",1994,2026
"BUI","06-27",2001-06-27,19.9434782608696,12.5142401101144,42.1,2015-06-27,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2015","11790J1","YOHO+PARK",1994,2026
"BUI","06-28",2001-06-28,19.8913043478261,12.7815887845646,48.1,2015-06-28,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2015","11790J1","YOHO+PARK",1994,2026
"BUI","06-29",2001-06-29,21.0173913043478,13.8957041162143,50.2,2015-06-29,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2015","11790J1","YOHO+PARK",1994,2026
"BUI","06-30",2001-06-30,21.1272727272727,12.8820725121307,57.3,2021-06-30,NA,178.3,2017-08-13,NA,6,"Daily record reached in 2021","11790J1","YOHO+PARK",1994,2026
"BUI","07-01",2001-07-01,21.295652173913,13.3875952848105,64.1,2021-07-01,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2021","11790J1","YOHO+PARK",1994,2026
"BUI","07-02",2001-07-02,21.2565217391304,12.3419029800902,60.4,2023-07-02,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","07-03",2001-07-03,21.0434782608696,14.5631485758639,63.1,2023-07-03,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","07-04",2001-07-04,21.0304347826087,17.0598794299962,63.7,2017-07-04,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-05",2001-07-05,21.3478260869565,17.2725180973396,69.5,2023-07-05,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","07-06",2001-07-06,23.2521739130435,17.3147826900814,73.1,2023-07-06,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2023","11790J1","YOHO+PARK",1994,2026
"BUI","07-07",2001-07-07,24.4260869565217,18.5191109493877,77.7,2017-07-07,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-08",2001-07-08,25.5304347826087,19.9402387781502,81.4,2017-07-08,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-09",2001-07-09,26.1695652173913,22.0801110583218,84.9,2017-07-09,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-10",2001-07-10,27.404347826087,23.7664101825334,88.6,2017-07-10,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-11",2001-07-11,27.7391304347826,24.6170070393036,90.9,2017-07-11,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-12",2001-07-12,28.7695652173913,24.8063671222203,93.2,2017-07-12,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-13",2001-07-13,27.0304347826087,24.7555399636784,97,2017-07-13,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-14",2001-07-14,27.2347826086956,26.2118919697227,101,2017-07-14,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-15",2001-07-15,28.4304347826087,26.4780772918862,105.2,2017-07-15,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-16",2001-07-16,30.504347826087,27.4310951337557,107.5,2017-07-16,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
"BUI","07-17",2001-07-17,32.5217391304348,27.8128805432065,110.2,2017-07-17,NA,178.3,2017-08-13,NA,7,"Daily record reached in 2017","11790J1","YOHO+PARK",1994,2026
