"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,2.14444444444444,-10.5,16.1,7.08396528101064,-7.2,-3.8,7,10.64,1.4,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,2012-04-01,"DATE: Apr-01<br>Value: 1.4 °C<br>Anomaly: -0.7 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-7.2 to 10.6 °C","Historical daily maximum<br>16.1 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: 2.1 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-01","TMIN",2001-04-01,-10.0555555555556,-24.5,0.3,8.27193277262768,-23.26,-14.95,-3.15,-0.299999999999999,-18.4,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,2004-04-01,"DATE: Apr-01<br>Value: -18.4 °C<br>Anomaly: -8.3 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-23.3 to -0.3 °C","Historical daily maximum<br>0.3 °C<br>2004-04-01","DATE: Apr-01</b><br>Normal: -10.1 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-01","VPD",2001-04-01,0.456603636876879,0.136297888090155,1.41825610460566,0.281726330094115,0.184197466837717,0.248401691637022,0.573978507602636,0.736995623663465,0.532871839968135,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,2012-04-01,"DATE: Apr-01<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.4 kPa<br>2012-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-02","TMAX",2001-04-02,1.02222222222222,-14.4,12.4,6.55088563204263,-7.58,-3.35,5.75,8.76,5.4,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1988-04-02,"DATE: Apr-02<br>Value: 5.4 °C<br>Anomaly: +4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-7.6 to 8.8 °C","Historical daily maximum<br>12.4 °C<br>1988-04-02","DATE: Apr-02</b><br>Normal: 1.0 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-02","TMIN",2001-04-02,-11.4407407407407,-32.6,1.7,9.35370182824628,-25.36,-15.95,-3.6,-1.5,-8.5,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,2017-04-02,"DATE: Apr-02<br>Value: -8.5 °C<br>Anomaly: +2.9 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-25.4 to -1.5 °C","Historical daily maximum<br>1.7 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -11.4 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-02","VPD",2001-04-02,0.407434900423586,0.128944927851698,0.880517103226572,0.204971630757984,0.165087471222235,0.282166405827803,0.533331577910328,0.676158256118919,0.575409748950262,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1988-04-02,"DATE: Apr-02<br>Value: 0.6 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>1988-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-03","TMAX",2001-04-03,0.364285714285714,-15.3,13.9,7.32525890255204,-8.52,-5.425,5.975,9.99,6.8,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1988-04-03,"DATE: Apr-03<br>Value: 6.8 °C<br>Anomaly: +6.4 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-8.5 to 10.0 °C","Historical daily maximum<br>13.9 °C<br>1988-04-03","DATE: Apr-03</b><br>Normal: 0.4 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-03","TMIN",2001-04-03,-11.1888888888889,-30.5,1.7,7.76784958527694,-19.68,-16.75,-5.5,-2.36,-6.7,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1988-04-03,"DATE: Apr-03<br>Value: -6.7 °C<br>Anomaly: +4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.7 to -2.4 °C","Historical daily maximum<br>1.7 °C<br>1988-04-03","DATE: Apr-03</b><br>Normal: -11.2 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-03","VPD",2001-04-03,0.382674626034111,0.0606254614045385,0.99933218759431,0.234064598720401,0.181285244709271,0.216666193682906,0.442038718193413,0.730390306210095,0.61837015269223,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1991-04-03,"DATE: Apr-03<br>Value: 0.6 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.0 kPa<br>1991-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-04","TMAX",2001-04-04,0.614285714285714,-12,14.4,7.36431406806647,-8.09,-4.925,7.425,10.7,4.1,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1998-04-04,"DATE: Apr-04<br>Value: 4.1 °C<br>Anomaly: +3.5 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-8.1 to 10.7 °C","Historical daily maximum<br>14.4 °C<br>1998-04-04","DATE: Apr-04</b><br>Normal: 0.6 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
"04-04","TMIN",2001-04-04,-12.0888888888889,-24.9,0.4,7.71508678516088,-21.34,-19.15,-4.6,-2.2,-6.4,"NA (ECCC AES NA; station_id 3721)",NA,3721,"",4,1988-04-04,"DATE: Apr-04<br>Value: -6.4 °C<br>Anomaly: +5.7 °C<br>Weather station: NA (ECCC AES NA; station_id 3721)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-21.3 to -2.2 °C","Historical daily maximum<br>0.4 °C<br>1988-04-04","DATE: Apr-04</b><br>Normal: -12.1 °C<br>Period: 1991-2020","5030203","BERENS+RIVER+CS",1985,2026
