"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.19047619047619,-4.7,15.3,5.89558349630507,-2.7,-0.5,7.9,13,1.6,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2012-04-01,"DATE: Apr-01<br>Value: 1.6 °C<br>Anomaly: -2.6 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.7 to 13.0 °C","Historical daily maximum<br>15.3 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: 4.2 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-01","TMIN",2001-04-01,-5.59523809523809,-18,1.7,6.56120996390728,-16.9,-9.3,-1.5,0.2,-21.2,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2010-04-01,"DATE: Apr-01<br>Value: -21.2 °C<br>Anomaly: -15.6 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.9 to 0.2 °C","Historical daily maximum<br>1.7 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: -5.6 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-01","VPD",2001-04-01,0.445051457986954,0.0755309202055188,1.19131182354099,0.271637937927554,0.207598022182215,0.278032974328318,0.482205183945963,0.877112981600078,0.573466748184523,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2012-04-01,"DATE: Apr-01<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.2 kPa<br>2012-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-02","TMAX",2001-04-02,1.7952380952381,-11.5,11.2,5.82627464083836,-5.7,-3,5.8,8.3,2.5,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2021-04-02,"DATE: Apr-02<br>Value: 2.5 °C<br>Anomaly: +0.7 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.7 to 8.3 °C","Historical daily maximum<br>11.2 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: 1.8 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-02","TMIN",2001-04-02,-7.03333333333333,-24.3,1.4,7.34760732030049,-16.5,-10.5,-1,-0.2,-2.4,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2017-04-02,"DATE: Apr-02<br>Value: -2.4 °C<br>Anomaly: +4.6 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.5 to -0.2 °C","Historical daily maximum<br>1.4 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -7.0 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-02","VPD",2001-04-02,0.339851853539586,0.119880769819581,0.668224771563959,0.155518750727152,0.142213201887741,0.246047845048924,0.404466624111984,0.494805406949554,0.219296267816712,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2021-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.7 kPa<br>2021-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-03","TMAX",2001-04-03,1.72380952380952,-8.3,14.3,6.1277977089575,-4.5,-3.9,5,8.1,5.2,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2012-04-03,"DATE: Apr-03<br>Value: 5.2 °C<br>Anomaly: +3.5 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.5 to 8.1 °C","Historical daily maximum<br>14.3 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 1.7 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-03","TMIN",2001-04-03,-8.01904761904762,-20.7,-0.4,6.19173796664709,-16.6,-12.2,-2.8,-2.5,-3.4,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2017-04-03,"DATE: Apr-03<br>Value: -3.4 °C<br>Anomaly: +4.6 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.6 to -2.5 °C","Historical daily maximum<br>-0.4 °C<br>2017-04-03","DATE: Apr-03</b><br>Normal: -8.0 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-03","VPD",2001-04-03,0.387027417786972,0.128251527106811,1.12178651870122,0.267867345722018,0.166440605109766,0.199711728455696,0.428209595695377,0.58939443698091,0.40936684669987,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2012-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: +0.0 kPa<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>1.1 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-04","TMAX",2001-04-04,1.96666666666667,-6.2,15.5,5.59431258809635,-4.3,-3,4.6,6.8,5.8,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2010-04-04,"DATE: Apr-04<br>Value: 5.8 °C<br>Anomaly: +3.8 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.3 to 6.8 °C","Historical daily maximum<br>15.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 2.0 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
"04-04","TMIN",2001-04-04,-8.07619047619048,-19.9,0.6,5.43855723164745,-14.8,-11.7,-4.3,-1.4,-5.5,"GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","5031042",45007,"GIMLI CLIMATE",4,2005-04-04,"DATE: Apr-04<br>Value: -5.5 °C<br>Anomaly: +2.6 °C<br>Weather station: GIMLI CLIMATE (ECCC AES 5031042; station_id 45007)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.8 to -1.4 °C","Historical daily maximum<br>0.6 °C<br>2005-04-04","DATE: Apr-04</b><br>Normal: -8.1 °C<br>Period: 1991-2020","5031041","GIMLI+HARBOUR+CS",1999,2026
