"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.138095238095238,0,2,0,0,0,0.2,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.2 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-02",2001-04-02,1.5047619047619,0,23.2,0,0,0.2,2.9,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.2 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 2.9 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-03",2001-04-03,3.04761904761905,0,27.1,0,0,0.5,4.6,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>3.0 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.5 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-04",2001-04-04,3.59523809523809,0,36.8,0,0,1.2,4.6,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.6 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>3.6 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-05",2001-04-05,3.76666666666667,0,36.8,0,0,2.8,4.6,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-06",2001-04-06,3.82380952380952,0,36.8,0,0,2.8,4.6,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-07",2001-04-07,4.33333333333333,0,44.5,0,0,2.8,5.1,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 5.1 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-08",2001-04-08,4.41904761904762,0,44.7,0,0,2.8,6.7,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.4 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 6.7 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-09",2001-04-09,4.67619047619048,0,44.7,0,0,2.8,11.7,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.7 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 11.7 mm","5061422","KELSEY+DAM+CS",2000,2026
"04-10",2001-04-10,5.10476190476191,0,44.7,0,0,3.9,12.1,0,0,"NA (ECCC AES NA; station_id 29533)",NA,29533,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 29533)",0,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -5.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 29533)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>5.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 3.9 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 12.1 mm","5061422","KELSEY+DAM+CS",2000,2026
