"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,14.5,NA,41.8,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-02",2001-04-02,15,NA,23,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-03",2001-04-03,17.7,NA,17.7,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-04",2001-04-04,20.7,NA,20.7,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-05",2001-04-05,19.3,6.36396103067893,23.8,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-06",2001-04-06,22.45,6.01040764008565,26.7,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-07",2001-04-07,23.35,5.44472221513642,27.3,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-08",2001-04-08,24.95,5.58614357137372,28.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-09",2001-04-09,26.05,4.31335136523794,29.1,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-10",2001-04-10,27.5,2.26274169979695,35.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-11",2001-04-11,28.6,NA,38.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-12",2001-04-12,31.45,1.62634559672906,41.6,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-13",2001-04-13,21.6333333333333,8.3560357427032,45.3,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-14",2001-04-14,13.95,4.52437841034545,47.4,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-15",2001-04-15,13.7666666666667,8.20325138791524,50.4,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-16",2001-04-16,13.6333333333333,10.6851922459698,53.8,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-17",2001-04-17,13.125,11.0291658796121,56,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-18",2001-04-18,17.5,8.65332306111357,59.1,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-19",2001-04-19,15.18,10.3318439786903,60.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-20",2001-04-20,17.9166666666667,9.05547716394154,63.2,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-21",2001-04-21,16.45,10.1089564248739,59.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-22",2001-04-22,20.4777777777778,9.047206444226,61.9,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-23",2001-04-23,22.6222222222222,10.1253120665214,64.6,14.7,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-24",2001-04-24,23.3777777777778,11.9845502395561,66.5,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-25",2001-04-25,24.45,12.2507369392847,70.4,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-26",2001-04-26,22.6090909090909,10.947552653032,75.4,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-27",2001-04-27,23.1454545454545,12.5751631111778,76.2,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-28",2001-04-28,24.7384615384615,14.3987000837772,79.1,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-29",2001-04-29,24.18,14.34429702505,82.5,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","04-30",2001-04-30,23.8866666666667,13.9296634492555,85.6,NA,225.7,1961-08-29,NA,4,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-01",2001-05-01,26.9642857142857,13.5451159033493,87.6,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-02",2001-05-02,27.3571428571429,14.3275804112055,91.4,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-03",2001-05-03,27.6142857142857,15.4620556471371,93.4,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-04",2001-05-04,27.64375,15.9446529699876,96.7,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-05",2001-05-05,28.6375,18.536302220238,99.4,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-06",2001-05-06,29.39375,19.5155141276541,100.2,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-07",2001-05-07,28.8375,20.0602716831054,100.7,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-08",2001-05-08,26.8588235294118,21.1928071177325,102.2,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-09",2001-05-09,27.2176470588235,21.2387686582261,104.5,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
"BUI","05-10",2001-05-10,25.9055555555556,20.8377336529396,105.4,NA,225.7,1961-08-29,NA,5,"5022125","PILOT+MOUND+AUT",1959,2026
