"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.23333333333333,0,20,0,0,0.9,2.26,0,0,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.9 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 2.3 mm","5022759","SPRAGUE",1994,2026
"04-02",2001-04-02,2.85925925925926,0,24.4,0,0,2.3,6.28,5.3,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 5.3 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",185.362694300518,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: +2.4 mm<br>Percent of normal: <b>185%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 2.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 6.3 mm","5022759","SPRAGUE",1994,2026
"04-03",2001-04-03,4.91111111111111,0,41,0,0.1,5.15,11.8,0,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",107.918552036199,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: +0.4 mm<br>Percent of normal: <b>108%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.9 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.1 to 5.2 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","5022759","SPRAGUE",1994,2026
"04-04",2001-04-04,5.58888888888889,0,42,0,0.3,6.4,13.3,0,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",94.831013916501,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: -0.3 mm<br>Percent of normal: <b>95%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>5.6 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.3 to 6.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 13.3 mm","5022759","SPRAGUE",1994,2026
"04-05",2001-04-05,6.52592592592593,0,42,0.12,0.65,7.6,13.58,0,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",81.2145289443814,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: -1.2 mm<br>Percent of normal: <b>81%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>6.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.6 to 7.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.1 to 13.6 mm","5022759","SPRAGUE",1994,2026
"04-06",2001-04-06,6.8037037037037,0,42,0.44,0.95,7.9,13.58,0,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",77.8987479586282,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>78%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>6.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.9 to 7.9 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.4 to 13.6 mm","5022759","SPRAGUE",1994,2026
"04-07",2001-04-07,8.75925925925926,0,42,0.44,1.55,9.7,24.24,0,5.3,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",60.507399577167,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: -3.5 mm<br>Percent of normal: <b>61%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>8.8 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>1.6 to 9.7 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.4 to 24.2 mm","5022759","SPRAGUE",1994,2026
"04-08",2001-04-08,9.54814814814815,0,42,0.6,1.65,10.35,27.06,10.2,15.5,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 10.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",162.33514352211,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 15.5 mm<br>Anomaly: +6.0 mm<br>Percent of normal: <b>162%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>9.5 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>1.6 to 10.3 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.6 to 27.1 mm","5022759","SPRAGUE",1994,2026
"04-09",2001-04-09,9.67777777777778,0,42,0.6,1.65,10.8,27.98,0.2,15.7,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",162.227324913892,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 15.7 mm<br>Anomaly: +6.0 mm<br>Percent of normal: <b>162%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>9.7 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>1.6 to 10.8 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.6 to 28.0 mm","5022759","SPRAGUE",1994,2026
"04-10",2001-04-10,10.2222222222222,0,45.2,0.6,1.7,11.45,28.22,0,15.7,"NA (ECCC AES NA; station_id 10196)",NA,10196,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10196)",153.586956521739,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 15.7 mm<br>Anomaly: +5.5 mm<br>Percent of normal: <b>154%</b><br>Weather station: NA (ECCC AES NA; station_id 10196)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>10.2 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>1.7 to 11.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.6 to 28.2 mm","5022759","SPRAGUE",1994,2026
