"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.82962962962963,0,9.3,0,0,0,2.44000000000001,0,0,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.8 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 2.4 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-02",2001-04-02,1.08888888888889,0,9.8,0,0,0,4.72,0,0,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.1 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 4.7 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-03",2001-04-03,1.78148148148148,0,12,0,0,1.8,6.32000000000001,0,0,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.8 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 6.3 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-04",2001-04-04,2.22592592592593,0,18,0,0,3.45,6.32000000000001,0,0,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.2 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 3.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 6.3 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-05",2001-04-05,2.60740740740741,0,18,0,0,4.4,9.02,0.2,0.2,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",7.67045454545454,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -2.4 mm<br>Percent of normal: <b>8%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.6 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 4.4 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 9.0 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-06",2001-04-06,3.83333333333333,0,23,0,0,6.1,10.8,0,0.2,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",5.21739130434783,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -3.6 mm<br>Percent of normal: <b>5%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 6.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 10.8 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-07",2001-04-07,4.08888888888889,0,23,0,0,6.55,12,12.4,12.6,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 12.4 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",308.152173913043,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 12.6 mm<br>Anomaly: +8.5 mm<br>Percent of normal: <b>308%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.1 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 6.6 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 12.0 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-08",2001-04-08,4.27777777777778,0,23,0,0,6.55,12.68,7,19.6,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 7.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",458.181818181818,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 19.6 mm<br>Anomaly: +15.3 mm<br>Percent of normal: <b>458%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 6.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 12.7 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-09",2001-04-09,4.55185185185185,0,23,0,0,6.55,14.12,0,19.6,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",430.593978844589,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 19.6 mm<br>Anomaly: +15.0 mm<br>Percent of normal: <b>431%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.6 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 6.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 14.1 mm","504K80K","SWAN+RIVER+RCS",1994,2026
"04-10",2001-04-10,4.76296296296296,0,23,0,0,6.65,16.02,0,19.6,"NA (ECCC AES NA; station_id 10188)","",10188,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10188)",411.508553654743,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 19.6 mm<br>Anomaly: +14.8 mm<br>Percent of normal: <b>412%</b><br>Weather station: NA (ECCC AES NA; station_id 10188)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 6.6 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 16.0 mm","504K80K","SWAN+RIVER+RCS",1994,2026
