"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.961904761904762,0,10.4,0,0,0.2,2.5,0,0,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.0 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.2 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 2.5 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-02",2001-04-02,1.74761904761905,0,10.4,0,0,2,7.2,0,0,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.7 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 2.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 7.2 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-03",2001-04-03,2.6,0,11,0,0,2.6,10.4,0,0,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.6 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 2.6 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 10.4 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-04",2001-04-04,3.25714285714286,0,11,0,0,4.5,10.4,0,0,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>3.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 4.5 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 10.4 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-05",2001-04-05,3.69047619047619,0,11,0,0.2,7.6,10.4,0.3,0.3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",8.12903225806452,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -3.4 mm<br>Percent of normal: <b>8%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.7 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.2 to 7.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 10.4 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-06",2001-04-06,3.81904761904762,0,11,0,0.2,8.4,10.4,0,0.3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",7.85536159600998,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -3.5 mm<br>Percent of normal: <b>8%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.2 to 8.4 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 10.4 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-07",2001-04-07,4.6952380952381,0,12.3,0,0.8,9.4,10.6,0,0.3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",6.3894523326572,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -4.4 mm<br>Percent of normal: <b>6%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.7 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.8 to 9.4 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 10.6 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-08",2001-04-08,5.28095238095238,0,20.4,0,0.8,9.4,11.6,2.7,3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 2.7 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",56.8079350766456,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 3.0 mm<br>Anomaly: -2.3 mm<br>Percent of normal: <b>57%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>5.3 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.8 to 9.4 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 11.6 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-09",2001-04-09,5.45238095238095,0,20.4,0,0.8,10.2,12,0,3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",55.0218340611354,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 3.0 mm<br>Anomaly: -2.5 mm<br>Percent of normal: <b>55%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.8 to 10.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 12.0 mm","502S001","WINNIPEG+A+CS",2000,2026
"04-10",2001-04-10,5.4952380952381,0,20.7,0,0.8,10.2,12.4,0,3,"NA (ECCC AES NA; station_id 27174)","",27174,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27174)",54.5927209705373,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 3.0 mm<br>Anomaly: -2.5 mm<br>Percent of normal: <b>55%</b><br>Weather station: NA (ECCC AES NA; station_id 27174)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.8 to 10.2 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 12.4 mm","502S001","WINNIPEG+A+CS",2000,2026
