"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,5.44761904761905,-5.6,18.1,6.57849671639494,-1.6,-0.1,10.4,14.2,2.6,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2012-04-01,"DATE: Apr-01<br>Value: 2.6 °C<br>Anomaly: -2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.6 to 14.2 °C","Historical daily maximum<br>18.1 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: 5.4 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-01","TMIN",2001-04-01,-2.71904761904762,-14.3,5.1,5.85983097432162,-12,-7.7,2.6,3.4,-9.2,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2012-04-01,"DATE: Apr-01<br>Value: -9.2 °C<br>Anomaly: -6.5 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.0 to 3.4 °C","Historical daily maximum<br>5.1 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: -2.7 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-01","VPD",2001-04-01,0.44515221440168,0.119107597877543,1.19858376544267,0.301864548460449,0.186856926325137,0.226439649389137,0.588087463860592,0.823223404605612,0.432160804911727,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2012-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.2 kPa<br>2012-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-02","TMAX",2001-04-02,3.53333333333333,-10.3,13.3,6.37529084303872,-5.5,0,9,10.9,3.7,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2021-04-02,"DATE: Apr-02<br>Value: 3.7 °C<br>Anomaly: +0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.5 to 10.9 °C","Historical daily maximum<br>13.3 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: 3.5 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-02","TMIN",2001-04-02,-4.60952380952381,-17.9,5.2,6.57129399448121,-12.3,-9,0.7,3.5,-1.4,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2017-04-02,"DATE: Apr-02<br>Value: -1.4 °C<br>Anomaly: +3.2 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.3 to 3.5 °C","Historical daily maximum<br>5.2 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -4.6 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-02","VPD",2001-04-02,0.373619017946146,0.0962606124381508,0.742336620237718,0.184046921082092,0.145517914042527,0.2373470354916,0.486631647796252,0.626511942306363,0.244949142211959,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2021-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>0.7 kPa<br>2021-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-03","TMAX",2001-04-03,2.99047619047619,-7.3,14.6,6.73519894003917,-3.7,-2.8,8.9,11.9,6.4,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2017-04-03,"DATE: Apr-03<br>Value: 6.4 °C<br>Anomaly: +3.4 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.7 to 11.9 °C","Historical daily maximum<br>14.6 °C<br>2017-04-03","DATE: Apr-03</b><br>Normal: 3.0 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-03","TMIN",2001-04-03,-4.96190476190476,-16.6,4.2,5.53140815620003,-11.5,-8.9,-1.6,0.4,-1.4,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2017-04-03,"DATE: Apr-03<br>Value: -1.4 °C<br>Anomaly: +3.6 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.5 to 0.4 °C","Historical daily maximum<br>4.2 °C<br>2017-04-03","DATE: Apr-03</b><br>Normal: -5.0 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-03","VPD",2001-04-03,0.38024632040539,0.110690653071816,0.869823271602353,0.263323100645141,0.141181946045875,0.210375092210888,0.616808791587138,0.837141790807189,0.410024514637462,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2021-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.8 kPa","Historical daily maximum<br>0.9 kPa<br>2021-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-04","TMAX",2001-04-04,4.04761904761905,-5.3,16.3,6.3444163677693,-2.5,-1.4,9.3,10.5,7.1,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2021-04-04,"DATE: Apr-04<br>Value: 7.1 °C<br>Anomaly: +3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.5 to 10.5 °C","Historical daily maximum<br>16.3 °C<br>2021-04-04","DATE: Apr-04</b><br>Normal: 4.0 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
"04-04","TMIN",2001-04-04,-4.89047619047619,-15,3.5,4.93871488971623,-11,-8.6,-1.9,0.8,-0.5,"NA (ECCC AES NA; station_id 28051)",NA,28051,"",4,2005-04-04,"DATE: Apr-04<br>Value: -0.5 °C<br>Anomaly: +4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 28051)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.0 to 0.8 °C","Historical daily maximum<br>3.5 °C<br>2005-04-04","DATE: Apr-04</b><br>Normal: -4.9 °C<br>Period: 1991-2020","5023262","WINNIPEG+THE+FORKS",1999,2026
