"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,3.24074074074074,0,20.9,0,0,5.25,9.34,7.5,7.5,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 7.5 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",231.428571428571,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 7.5 mm<br>Anomaly: +4.3 mm<br>Percent of normal: <b>231%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>3.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 5.2 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 9.3 mm","8100467","BAS+CARAQUET",1994,2026
"04-02",2001-04-02,5.5037037037037,0,33.8,0,0.2,7.95,13.34,0,7.5,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",136.271870794078,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 7.5 mm<br>Anomaly: +2.0 mm<br>Percent of normal: <b>136%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.2 to 7.9 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 13.3 mm","8100467","BAS+CARAQUET",1994,2026
"04-03",2001-04-03,9.61851851851852,0,43.5,0.7,1.65,11.05,22.06,19.6,27.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 19.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",281.7481709665,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 27.1 mm<br>Anomaly: +17.5 mm<br>Percent of normal: <b>282%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>9.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>1.6 to 11.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.7 to 22.1 mm","8100467","BAS+CARAQUET",1994,2026
"04-04",2001-04-04,14.3592592592593,0,44.2,1.12,3.25,20.25,33.22,2.3,29.4,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 2.3 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",204.745937580604,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 29.4 mm<br>Anomaly: +15.0 mm<br>Percent of normal: <b>205%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>14.4 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>3.2 to 20.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>1.1 to 33.2 mm","8100467","BAS+CARAQUET",1994,2026
"04-05",2001-04-05,17.0111111111111,0.7,46,1.62,8.6,22,40.88,22.6,52,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 22.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",305.682560418027,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 52.0 mm<br>Anomaly: +35.0 mm<br>Percent of normal: <b>306%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>17.0 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>8.6 to 22.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>1.6 to 40.9 mm","8100467","BAS+CARAQUET",1994,2026
"04-06",2001-04-06,18.7037037037037,1.4,47.5,3.54,8.9,22.5,42.48,1.1,53.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 1.1 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",283.90099009901,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 53.1 mm<br>Anomaly: +34.4 mm<br>Percent of normal: <b>284%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>18.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>8.9 to 22.5 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>3.5 to 42.5 mm","8100467","BAS+CARAQUET",1994,2026
"04-07",2001-04-07,22.5518518518519,1.4,82.4,5.24,9.25,31.3,42.84,0,53.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",235.457382164559,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 53.1 mm<br>Anomaly: +30.5 mm<br>Percent of normal: <b>235%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>22.6 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>9.2 to 31.3 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>5.2 to 42.8 mm","8100467","BAS+CARAQUET",1994,2026
"04-08",2001-04-08,25.1814814814815,2.2,82.4,6.32,14.35,32.6,42.96,0,53.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",210.869245477276,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 53.1 mm<br>Anomaly: +27.9 mm<br>Percent of normal: <b>211%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>25.2 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>14.4 to 32.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>6.3 to 43.0 mm","8100467","BAS+CARAQUET",1994,2026
"04-09",2001-04-09,26.5259259259259,5.4,82.4,7.94,14.65,32.95,45.64,0,53.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",200.181513543703,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 53.1 mm<br>Anomaly: +26.6 mm<br>Percent of normal: <b>200%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>26.5 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>14.6 to 33.0 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>7.9 to 45.6 mm","8100467","BAS+CARAQUET",1994,2026
"04-10",2001-04-10,27.937037037037,5.6,82.4,9.6,15,36.8,46.22,1.9,55,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 1.9 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",196.871271377436,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 55.0 mm<br>Anomaly: +27.1 mm<br>Percent of normal: <b>197%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>27.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>15.0 to 36.8 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>9.6 to 46.2 mm","8100467","BAS+CARAQUET",1994,2026
"04-11",2001-04-11,28.5037037037037,5.6,82.4,9.6,17.15,36.9,47.9,14.6,69.6,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 14.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",244.178794178794,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 69.6 mm<br>Anomaly: +41.1 mm<br>Percent of normal: <b>244%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>28.5 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>17.1 to 36.9 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>9.6 to 47.9 mm","8100467","BAS+CARAQUET",1994,2026
"04-12",2001-04-12,31.6,5.6,91.8,9.6,20.7,41.8,52.12,0,69.6,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",220.253164556962,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 69.6 mm<br>Anomaly: +38.0 mm<br>Percent of normal: <b>220%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>31.6 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>20.7 to 41.8 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>9.6 to 52.1 mm","8100467","BAS+CARAQUET",1994,2026
"04-13",2001-04-13,35.237037037037,6.8,94.2,9.8,22.95,42.4,56.94,4.5,74.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-13<br><b>Daily precipitation</b><br>Value: 4.5 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",210.290098801766,"DATE: Apr-13<br><b>Cumulative precipitation</b><br>Value: 74.1 mm<br>Anomaly: +38.9 mm<br>Percent of normal: <b>210%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-13<br><b>Normal cumulative precipitation</b><br>35.2 mm<br>Period: 1991-2020","DATE: Apr-13<br><b>25-75 percentile</b><br>22.9 to 42.4 mm","DATE: Apr-13<br><b>10-90 percentile</b><br>9.8 to 56.9 mm","8100467","BAS+CARAQUET",1994,2026
"04-14",2001-04-14,37.7259259259259,6.8,94.2,12.54,24.9,45.7,61.48,0,74.1,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-14<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",196.416650304339,"DATE: Apr-14<br><b>Cumulative precipitation</b><br>Value: 74.1 mm<br>Anomaly: +36.4 mm<br>Percent of normal: <b>196%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-14<br><b>Normal cumulative precipitation</b><br>37.7 mm<br>Period: 1991-2020","DATE: Apr-14<br><b>25-75 percentile</b><br>24.9 to 45.7 mm","DATE: Apr-14<br><b>10-90 percentile</b><br>12.5 to 61.5 mm","8100467","BAS+CARAQUET",1994,2026
"04-15",2001-04-15,39.8148148148148,6.8,94.2,12.54,24.9,48.75,65.38,0.9,75,"NA (ECCC AES NA; station_id 6915)",NA,6915,"","DATE: Apr-15<br><b>Daily precipitation</b><br>Value: 0.9 mm<br>Weather station: NA (ECCC AES NA; station_id 6915)",188.372093023256,"DATE: Apr-15<br><b>Cumulative precipitation</b><br>Value: 75.0 mm<br>Anomaly: +35.2 mm<br>Percent of normal: <b>188%</b><br>Weather station: NA (ECCC AES NA; station_id 6915)","DATE: Apr-15<br><b>Normal cumulative precipitation</b><br>39.8 mm<br>Period: 1991-2020","DATE: Apr-15<br><b>25-75 percentile</b><br>24.9 to 48.8 mm","DATE: Apr-15<br><b>10-90 percentile</b><br>12.5 to 65.4 mm","8100467","BAS+CARAQUET",1994,2026
