"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.80740740740741,0,18,0,0,4.2,8.48,4.8,4.8,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 4.8 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",170.976253298153,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 4.8 mm<br>Anomaly: +2.0 mm<br>Percent of normal: <b>171%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.8 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 4.2 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 8.5 mm","8100503","BATHURST+A",1994,2026
"04-02",2001-04-02,5.55925925925926,0,25,0,0,9.8,15.4,0,4.8,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",86.3424383744171,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 4.8 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>86%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>5.6 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 9.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 15.4 mm","8100503","BATHURST+A",1994,2026
"04-03",2001-04-03,9.27777777777778,0,39,0,0,14.45,21.46,20.2,25,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 20.2 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",269.461077844311,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 25.0 mm<br>Anomaly: +15.7 mm<br>Percent of normal: <b>269%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>9.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 14.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 21.5 mm","8100503","BATHURST+A",1994,2026
"04-04",2001-04-04,14.6481481481481,0,39.2,0,1.15,21.55,31.72,2.8,27.8,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 2.8 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",189.785082174463,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 27.8 mm<br>Anomaly: +13.2 mm<br>Percent of normal: <b>190%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>14.6 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>1.1 to 21.5 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 31.7 mm","8100503","BATHURST+A",1994,2026
"04-05",2001-04-05,18.1888888888889,0,46.6,0.26,7.45,25.7,38,17.3,45.1,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 17.3 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",247.953573610263,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 45.1 mm<br>Anomaly: +26.9 mm<br>Percent of normal: <b>248%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>18.2 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>7.4 to 25.7 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.3 to 38.0 mm","8100503","BATHURST+A",1994,2026
"04-06",2001-04-06,20.4037037037037,0,60.8,2.7,8.6,28.55,39.6,0,45.1,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",221.038300962062,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 45.1 mm<br>Anomaly: +24.7 mm<br>Percent of normal: <b>221%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>20.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>8.6 to 28.6 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>2.7 to 39.6 mm","8100503","BATHURST+A",1994,2026
"04-07",2001-04-07,23.2666666666667,0,71.2,3.66,9.5,30.5,40.64,0,45.1,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",193.839541547278,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 45.1 mm<br>Anomaly: +21.8 mm<br>Percent of normal: <b>194%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>23.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>9.5 to 30.5 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>3.7 to 40.6 mm","8100503","BATHURST+A",1994,2026
"04-08",2001-04-08,26.3185185185185,0,71.2,6.52,19,32.05,45.96,0,45.1,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",171.362229102167,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 45.1 mm<br>Anomaly: +18.8 mm<br>Percent of normal: <b>171%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>26.3 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>19.0 to 32.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>6.5 to 46.0 mm","8100503","BATHURST+A",1994,2026
"04-09",2001-04-09,28.1259259259259,0,71.2,8.9,20.35,35.65,48.96,0,45.1,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",160.350276534106,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 45.1 mm<br>Anomaly: +17.0 mm<br>Percent of normal: <b>160%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>28.1 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>20.3 to 35.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>8.9 to 49.0 mm","8100503","BATHURST+A",1994,2026
"04-10",2001-04-10,29.8555555555556,0,71.2,10.46,21.45,38.25,55.76,4.6,49.7,"NA (ECCC AES NA; station_id 54283)",NA,54283,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 4.6 mm<br>Weather station: NA (ECCC AES NA; station_id 54283)",166.468180126535,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 49.7 mm<br>Anomaly: +19.8 mm<br>Percent of normal: <b>166%</b><br>Weather station: NA (ECCC AES NA; station_id 54283)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>29.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>21.4 to 38.2 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>10.5 to 55.8 mm","8100503","BATHURST+A",1994,2026
