"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,5.57619047619048,0,35.2,0,0,7.9,15.2,5.6,5.6,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 5.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",100.426985482494,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +0.0 mm<br>Percent of normal: <b>100%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>5.6 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 7.9 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 15.2 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-02",2001-04-02,7.39047619047619,0,36.8,0,0.2,9.1,18.4,0.2,5.8,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",78.479381443299,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 5.8 mm<br>Anomaly: -1.6 mm<br>Percent of normal: <b>78%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>7.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.2 to 9.1 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 18.4 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-03",2001-04-03,13.6,0,74.2,0,0.4,18.4,33.9,19.3,25.1,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 19.3 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",184.558823529412,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 25.1 mm<br>Anomaly: +11.5 mm<br>Percent of normal: <b>185%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>13.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.4 to 18.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 33.9 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-04",2001-04-04,17.5857142857143,0,74.2,0,0.4,26.3,43.5,3.1,28.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 3.1 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",160.357432981316,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 28.2 mm<br>Anomaly: +10.6 mm<br>Percent of normal: <b>160%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>17.6 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.4 to 26.3 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 43.5 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-05",2001-04-05,21.3047619047619,0,74.4,0,6.7,34.1,43.7,26.5,54.7,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 26.5 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",256.750111756817,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 54.7 mm<br>Anomaly: +33.4 mm<br>Percent of normal: <b>257%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>21.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>6.7 to 34.1 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 43.7 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-06",2001-04-06,22.5904761904762,0,74.6,0,9.6,34.3,48,0.5,55.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.5 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",244.350758853288,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 55.2 mm<br>Anomaly: +32.6 mm<br>Percent of normal: <b>244%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>22.6 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>9.6 to 34.3 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 48.0 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-07",2001-04-07,26.2952380952381,0,74.6,0.5,9.6,42.6,52.7,0,55.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",209.923940601231,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 55.2 mm<br>Anomaly: +28.9 mm<br>Percent of normal: <b>210%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>26.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>9.6 to 42.6 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.5 to 52.7 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-08",2001-04-08,30.0047619047619,0,74.8,4.2,11.2,48.7,54.8,0,55.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",183.970798285986,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 55.2 mm<br>Anomaly: +25.2 mm<br>Percent of normal: <b>184%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>30.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>11.2 to 48.7 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>4.2 to 54.8 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-09",2001-04-09,32.7047619047619,0,97.4,9.6,11.7,48.9,55.2,0,55.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",168.782760629004,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 55.2 mm<br>Anomaly: +22.5 mm<br>Percent of normal: <b>169%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>32.7 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>11.7 to 48.9 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>9.6 to 55.2 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-10",2001-04-10,34.0904761904762,0,100.5,9.6,15.5,49.4,55.2,0,55.2,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",161.922056153094,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 55.2 mm<br>Anomaly: +21.1 mm<br>Percent of normal: <b>162%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>34.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>15.5 to 49.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>9.6 to 55.2 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-11",2001-04-11,36.1666666666667,0,100.9,11.2,20.5,52.7,60.3,5.3,60.5,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 5.3 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",167.281105990783,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 60.5 mm<br>Anomaly: +24.3 mm<br>Percent of normal: <b>167%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>36.2 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>20.5 to 52.7 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>11.2 to 60.3 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
"04-12",2001-04-12,41.5095238095238,0,101.6,15.5,21.4,52.7,76.1,0,60.5,"NA (ECCC AES NA; station_id 6919)",NA,6919,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6919)",145.749684524492,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 60.5 mm<br>Anomaly: +19.0 mm<br>Percent of normal: <b>146%</b><br>Weather station: NA (ECCC AES NA; station_id 6919)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>41.5 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>21.4 to 52.7 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>15.5 to 76.1 mm","8101746","FUNDY+PARK+ALMA+CS",2000,2026
