"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.73214285714286,0,15.6,0,0,5.325,8.55,5.1,5.1,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 5.1 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",186.666666666667,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 5.1 mm<br>Anomaly: +2.4 mm<br>Percent of normal: <b>187%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 5.3 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 8.6 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-02",2001-04-02,4.30714285714286,0,20.6,0,0,8.125,12.24,0.2,5.3,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",123.051409618574,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 5.3 mm<br>Anomaly: +1.0 mm<br>Percent of normal: <b>123%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 8.1 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 12.2 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-03",2001-04-03,6.925,0,37.3,0,0.675,9.9,17.02,16,21.3,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 16.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",307.581227436823,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 21.3 mm<br>Anomaly: +14.4 mm<br>Percent of normal: <b>308%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>6.9 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.7 to 9.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 17.0 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-04",2001-04-04,11.1,0,42.6,0.42,1.425,16.45,23.14,1.6,22.9,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 1.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",206.306306306306,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 22.9 mm<br>Anomaly: +11.8 mm<br>Percent of normal: <b>206%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>11.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>1.4 to 16.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.4 to 23.1 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-05",2001-04-05,13.7428571428571,0,45,0.7,2.775,21.025,27.84,21.9,44.8,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 21.9 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",325.987525987526,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 44.8 mm<br>Anomaly: +31.1 mm<br>Percent of normal: <b>326%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>13.7 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>2.8 to 21.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.7 to 27.8 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-06",2001-04-06,15.1535714285714,0,45.2,1.32,6.6,21.025,32.39,4.4,49.2,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 4.4 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",324.675936837144,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 49.2 mm<br>Anomaly: +34.0 mm<br>Percent of normal: <b>325%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>15.2 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>6.6 to 21.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>1.3 to 32.4 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-07",2001-04-07,18.3678571428571,0,70.1,1.32,9.775,24.475,32.95,0,49.2,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",267.859226132607,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 49.2 mm<br>Anomaly: +30.8 mm<br>Percent of normal: <b>268%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>18.4 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>9.8 to 24.5 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>1.3 to 33.0 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-08",2001-04-08,19.9571428571429,0,70.1,2.13,11.675,25.65,33.36,0,49.2,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",246.528274874732,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 49.2 mm<br>Anomaly: +29.2 mm<br>Percent of normal: <b>247%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>20.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>11.7 to 25.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>2.1 to 33.4 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-09",2001-04-09,21.0178571428571,0,70.1,3.94,11.675,27.225,33.36,0,49.2,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",234.086661002549,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 49.2 mm<br>Anomaly: +28.2 mm<br>Percent of normal: <b>234%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>21.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>11.7 to 27.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>3.9 to 33.4 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
"04-10",2001-04-10,21.8857142857143,0,70.1,3.94,12.05,28.05,33.36,0.6,49.8,"NA (ECCC AES NA; station_id 6205)",NA,6205,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6205)",227.545691906005,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 49.8 mm<br>Anomaly: +27.9 mm<br>Percent of normal: <b>228%</b><br>Weather station: NA (ECCC AES NA; station_id 6205)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>21.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>12.0 to 28.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>3.9 to 33.4 mm","8103050","MISCOU+ISLAND+AUT",1992,2026
