"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8103200","MONCTON+A","04-01","BUI",1953,2026,9.15,3.88908729652601,11.9,2006-04-01,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-02","BUI",1953,2026,7.7,0.282842712474619,9,1973-04-02,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-03","BUI",1953,2026,8.2,0.707106781186547,9.4,1973-04-03,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-04","BUI",1953,2026,8.9,0.424264068711928,9.2,2006-04-04,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-05","BUI",1953,2026,8.66666666666667,0.66583281184794,9.4,2006-04-05,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-06","BUI",1953,2026,9.35,0.0707106781186545,9.4,2010-04-06,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-07","BUI",1953,2026,9.85,0.0707106781186545,9.9,2012-04-07,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-08","BUI",1953,2026,10.7,NA,10.7,2010-04-08,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-09","BUI",1953,2026,6.6,6.78822509939086,11.4,2010-04-09,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-10","BUI",1953,2026,7.2,6.50538238691624,11.8,2010-04-10,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-11","BUI",1953,2026,7.3,4.05380479714223,13.2,2010-04-11,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-12","BUI",1953,2026,8.08,3.50385501983173,14.2,2010-04-12,6.6,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-13","BUI",1953,2026,9.225,3.73664287830668,14.8,2010-04-13,6.8,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-14","BUI",1953,2026,8.4,5.0104889980919,16.2,2010-04-14,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-15","BUI",1953,2026,9.3,5.6714195753797,16.5,2010-04-15,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-16","BUI",1953,2026,7.81666666666667,5.99880543664042,16.9,2010-04-16,6.2,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-17","BUI",1953,2026,6.3,5.67230112035671,13.5,2012-04-17,4.8,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-18","BUI",1953,2026,8.375,6.33212707810996,14.8,2012-04-18,5.7,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-19","BUI",1953,2026,8.28333333333333,5.45139125973055,16,2012-04-19,6.2,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-20","BUI",1953,2026,7.4625,5.73932238409478,18,2012-04-20,2.5,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-21","BUI",1953,2026,7.9,6.01110084205325,20.6,2012-04-21,3,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-22","BUI",1953,2026,5.55833333333333,3.06726361120235,15.6,1987-04-22,3.9,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-23","BUI",1953,2026,4.35,1.93037914316427,17.7,1987-04-23,4.5,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-24","BUI",1953,2026,4.48181818181818,2.4371369193454,13.4,1987-04-24,0.4,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-25","BUI",1953,2026,5.82857142857143,3.11508206372421,14.5,1987-04-25,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-26","BUI",1953,2026,6.59333333333333,3.75356338633546,15.2,1987-04-26,3.3,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-27","BUI",1953,2026,6.14,4.10675401886071,16.2,1987-04-27,NA,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-28","BUI",1953,2026,5.84666666666667,4.75317437789386,17.1,1987-04-28,7.3,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-29","BUI",1953,2026,6.54444444444445,4.07361989942205,16.6,1985-04-29,8.3,125.2,2001-08-16,NA
"8103200","MONCTON+A","04-30","BUI",1953,2026,7.93888888888889,4.32409649031059,18.8,1985-04-30,9.5,125.2,2001-08-16,NA
