"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.01363636363636,-1,8,2.82931852042913,-0.09,0.525,4.675,7.3,-0.2,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2004-04-01,"DATE: Apr-01<br>Value: -0.2 °C<br>Anomaly: -3.2 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.1 to 7.3 °C","Historical daily maximum<br>8.0 °C<br>2004-04-01","DATE: Apr-01</b><br>Normal: 3.0 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-01","TMIN",2001-04-01,-2.98260869565217,-13.1,0.7,3.27450928647235,-6.1,-4.25,-0.75,-0.42,-2.2,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2025-04-01,"DATE: Apr-01<br>Value: -2.2 °C<br>Anomaly: +0.8 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.1 to -0.4 °C","Historical daily maximum<br>0.7 °C<br>2025-04-01","DATE: Apr-01</b><br>Normal: -3.0 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-01","VPD",2001-04-01,0.264708278540815,0.0572468315378912,0.608144427569631,0.162290750476913,0.0809433786711519,0.127686410273323,0.340512914286255,0.480390187114471,0.0823133088167364,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,1958-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.2 kPa<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>1958-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-02","TMAX",2001-04-02,2.96363636363636,-0.2,9,2.70388529175993,0.11,1,4.125,6.84,-1.6,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,1996-04-02,"DATE: Apr-02<br>Value: -1.6 °C<br>Anomaly: -4.6 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 6.8 °C","Historical daily maximum<br>9.0 °C<br>1996-04-02","DATE: Apr-02</b><br>Normal: 3.0 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-02","TMIN",2001-04-02,-1.88181818181818,-7.7,1,2.39555866108541,-5.21,-3.125,1.38777878078145e-17,0.48,-8.7,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,1962-04-02,"DATE: Apr-02<br>Value: -8.7 °C<br>Anomaly: -6.8 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.2 to 0.5 °C","Historical daily maximum<br>1.0 °C<br>1962-04-02","DATE: Apr-02</b><br>Normal: -1.9 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-02","VPD",2001-04-02,0.229302389381781,0.039372605674741,0.491351313989031,0.123371560198763,0.0812386735116585,0.152635671258893,0.292220769927559,0.364407264791514,0.226671768720988,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,1963-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>1963-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-03","TMAX",2001-04-03,2.92727272727273,-1.7,9.7,2.85626826440872,0.12,1.2,4.375,5.18,-1.4,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2016-04-03,"DATE: Apr-03<br>Value: -1.4 °C<br>Anomaly: -4.3 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 5.2 °C","Historical daily maximum<br>9.7 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 2.9 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-03","TMIN",2001-04-03,-2.04090909090909,-7.8,1.7,2.45194948501316,-5.5,-3.65,-0.625,0.28,-8.9,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2010-04-03,"DATE: Apr-03<br>Value: -8.9 °C<br>Anomaly: -6.9 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.5 to 0.3 °C","Historical daily maximum<br>1.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -2.0 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-03","VPD",2001-04-03,0.234463638222075,0.0316455815776127,0.588234298895669,0.134019954124936,0.0901663214190228,0.1110312261793,0.303090818422889,0.342634672417627,0.239669557434024,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2016-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: +0.0 kPa<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.6 kPa<br>2016-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
"04-04","TMAX",2001-04-04,3.21904761904762,-2.9,5.7,2.02129143064998,1.4,2.3,4.5,5.2,-1,"CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","8401000",6590,"CAPE RACE (AUT)",4,2004-04-04,"DATE: Apr-04<br>Value: -1.0 °C<br>Anomaly: -4.2 °C<br>Weather station: CAPE RACE (AUT) (ECCC AES 8401000; station_id 6590)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>1.4 to 5.2 °C","Historical daily maximum<br>5.7 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 3.2 °C<br>Period: 1991-2020","8401000","CAPE+RACE+AUT",1953,2026
