"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.251851851851852,0,4.3,0,0,0,0.400000000000002,0,0,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.3 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.4 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-02",2001-04-02,0.655555555555556,0,10.7,0,0,0,1.2,0,0,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>0.7 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 1.2 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-03",2001-04-03,0.985185185185185,0,12.1,0,0,0.4,2.86000000000001,0,0,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.0 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 2.9 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-04",2001-04-04,2.9,0,41,0,0,1.45,6.8,0,0,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.9 mm<br>Percent of normal: <b>0%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 6.8 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-05",2001-04-05,3.81111111111111,0,53,0,0,3.6,7.52,3.8,3.8,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 3.8 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",99.7084548104956,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 3.8 mm<br>Anomaly: 0.0 mm<br>Percent of normal: <b>100%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 3.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.5 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-06",2001-04-06,4.62222222222222,0,56.6,0,0,5.45,7.8,3.8,7.6,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 3.8 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",164.423076923077,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 7.6 mm<br>Anomaly: +3.0 mm<br>Percent of normal: <b>164%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>4.6 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 5.4 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 7.8 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-07",2001-04-07,6.01851851851852,0,59.6,0,0,6.85,13.28,0,7.6,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",126.276923076923,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 7.6 mm<br>Anomaly: +1.6 mm<br>Percent of normal: <b>126%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>6.0 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 6.8 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 13.3 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-08",2001-04-08,7.04444444444444,0,59.6,0,0,7.35,19.42,0,7.6,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",107.88643533123,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 7.6 mm<br>Anomaly: +0.6 mm<br>Percent of normal: <b>108%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>7.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 7.3 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 19.4 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-09",2001-04-09,7.65925925925926,0,59.6,0,0,9.75,22.22,0,7.6,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",99.2263056092843,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 7.6 mm<br>Anomaly: -0.1 mm<br>Percent of normal: <b>99%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>7.7 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 9.8 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 22.2 mm","8401565","FEROLLE+POINT+AUT",1994,2026
"04-10",2001-04-10,8.35555555555556,0,62.2,0,0,10.65,23.56,0,7.6,"FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","8401565",9034,"FEROLLE POINT (AUT)","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)",90.9574468085106,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 7.6 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>91%</b><br>Weather station: FEROLLE POINT (AUT) (ECCC AES 8401565; station_id 9034)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>8.4 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 10.6 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 23.6 mm","8401565","FEROLLE+POINT+AUT",1994,2026
