"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8502799","NAIN","04-01","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-02","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-03","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-04","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-05","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-06","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-07","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-08","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-09","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-10","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-11","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-12","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-13","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-14","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-15","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-16","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-17","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-18","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-19","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-20","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-21","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-22","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-23","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-24","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-25","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-26","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-27","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-28","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-29","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","04-30","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-01","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-02","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-03","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-04","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-05","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-06","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-07","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-08","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-09","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-10","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-11","BUI",1999,2026,7.3,NA,7.3,2005-05-11,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-12","BUI",1999,2026,8.2,NA,8.2,2006-05-12,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-13","BUI",1999,2026,11.8,NA,11.8,2006-05-13,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-14","BUI",1999,2026,12.3,NA,12.3,2006-05-14,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-15","BUI",1999,2026,12.4,NA,12.4,2006-05-15,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-16","BUI",1999,2026,13.2,NA,13.2,2006-05-16,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-17","BUI",1999,2026,13.5,NA,13.5,2006-05-17,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-18","BUI",1999,2026,14.2,NA,14.2,2006-05-18,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-19","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-20","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-21","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-22","BUI",1999,2026,NA,NA,NA,NA,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-23","BUI",1999,2026,8.7,3.83536178215302,12.8,2006-05-23,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-24","BUI",1999,2026,10.1666666666667,3.27159492195066,13.9,2006-05-24,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-25","BUI",1999,2026,10.9,3.46554469023269,14.9,2006-05-25,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-26","BUI",1999,2026,10.4,0.871779788708135,11.4,2006-05-26,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-27","BUI",1999,2026,11.4,1.47309198626562,13.1,2006-05-27,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-28","BUI",1999,2026,12.4666666666667,1.85831464863551,14.6,2006-05-28,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-29","BUI",1999,2026,13.3333333333333,1.80092568789868,15.4,2006-05-29,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-30","BUI",1999,2026,14.8,3.11929479209644,18.4,2006-05-30,NA,75.7,2000-08-24,NA
"8502799","NAIN","05-31","BUI",1999,2026,16.5,2.96141857899217,19.6,2006-05-31,NA,75.7,2000-08-24,NA
"8502799","NAIN","06-01","BUI",1999,2026,19.85,2.05060966544099,21.3,2006-06-01,NA,75.7,2000-08-24,NA
"8502799","NAIN","06-02","BUI",1999,2026,20.3333333333333,3.57957166897568,23.4,2006-06-02,NA,75.7,2000-08-24,NA
"8502799","NAIN","06-03","BUI",1999,2026,21.7333333333333,4.12350983184633,25,2006-06-03,NA,75.7,2000-08-24,NA
"8502799","NAIN","06-04","BUI",1999,2026,19.275,7.52036125018827,26.2,2006-06-04,NA,75.7,2000-08-24,NA
"8502799","NAIN","06-05","BUI",1999,2026,19.5333333333333,8.40971660243871,25.9,2005-06-05,7.5,75.7,2000-08-24,NA
"8502799","NAIN","06-06","BUI",1999,2026,17.9,9.94585340732509,28.4,2005-06-06,11,75.7,2000-08-24,NA
"8502799","NAIN","06-07","BUI",1999,2026,18.75,11.0551647055422,29.4,2005-06-07,11.9,75.7,2000-08-24,NA
"8502799","NAIN","06-08","BUI",1999,2026,19.1,14.0435038362938,31.3,2006-06-08,14.2,75.7,2000-08-24,NA
"8502799","NAIN","06-09","BUI",1999,2026,18.5,14.8059109817667,36.4,2006-06-09,15,75.7,2000-08-24,NA
"8502799","NAIN","06-10","BUI",1999,2026,19.44,15.2079913203552,37.9,2006-06-10,16.3,75.7,2000-08-24,NA
"8502799","NAIN","06-11","BUI",1999,2026,20.95,13.796195127643,38.7,2006-06-11,17.9,75.7,2000-08-24,NA
"8502799","NAIN","06-12","BUI",1999,2026,19.2333333333333,14.5278582959315,39.5,2006-06-12,19.2,75.7,2000-08-24,NA
"8502799","NAIN","06-13","BUI",1999,2026,20.3,15.0158582838278,41.9,2006-06-13,20.1,75.7,2000-08-24,NA
"8502799","NAIN","06-14","BUI",1999,2026,17.8,14.9623336606102,45.4,2006-06-14,21.1,75.7,2000-08-24,NA
"8502799","NAIN","06-15","BUI",1999,2026,17.7875,12.9358237354366,38.3,2005-06-15,21.8,75.7,2000-08-24,NA
"8502799","NAIN","06-16","BUI",1999,2026,20.9142857142857,14.3107685062017,42.2,2006-06-16,17,75.7,2000-08-24,NA
"8502799","NAIN","06-17","BUI",1999,2026,16.3777777777778,12.2150294491845,39.9,2005-06-17,17.5,75.7,2000-08-24,NA
"8502799","NAIN","06-18","BUI",1999,2026,15.62,11.3668914933777,42.8,2005-06-18,18,75.7,2000-08-24,NA
"8502799","NAIN","06-19","BUI",1999,2026,15.8,12.475736451208,47.3,2005-06-19,18.5,75.7,2000-08-24,NA
"8502799","NAIN","06-20","BUI",1999,2026,15.7636363636364,11.2878937563456,39.4,2005-06-20,19,75.7,2000-08-24,NA
"8502799","NAIN","06-21","BUI",1999,2026,16.8545454545455,11.7377479642701,40.2,2005-06-21,20.3,75.7,2000-08-24,NA
"8502799","NAIN","06-22","BUI",1999,2026,14.625,8.07984304528025,37,2012-06-22,21.5,75.7,2000-08-24,NA
"8502799","NAIN","06-23","BUI",1999,2026,13.3923076923077,9.51117426490735,38.2,2012-06-23,22.4,75.7,2000-08-24,NA
"8502799","NAIN","06-24","BUI",1999,2026,13.6538461538462,10.6493047804865,39.1,2012-06-24,26.2,75.7,2000-08-24,NA
"8502799","NAIN","06-25","BUI",1999,2026,12.2,11.5719820787439,40.1,2012-06-25,29.2,75.7,2000-08-24,NA
"8502799","NAIN","06-26","BUI",1999,2026,13.1928571428571,12.0931299178001,41.7,2012-06-26,31.1,75.7,2000-08-24,NA
"8502799","NAIN","06-27","BUI",1999,2026,13.0066666666667,12.4978550540635,43,2012-06-27,34.4,75.7,2000-08-24,NA
"8502799","NAIN","06-28","BUI",1999,2026,11.6933333333333,10.1115539759981,38,2026-06-28,38,75.7,2000-08-24,NA
"8502799","NAIN","06-29","BUI",1999,2026,11.8066666666667,8.56032932165802,41.8,2026-06-29,41.8,75.7,2000-08-24,NA
"8502799","NAIN","06-30","BUI",1999,2026,11.2666666666667,7.27232195840274,38,2026-06-30,38,75.7,2000-08-24,NA
