"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.72758620689655,-1.7,17.6,4.31292878213899,-0.74,1.4,4.9,8.74,-2.7,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2019-04-01,"DATE: Apr-01<br>Value: -2.7 °C<br>Anomaly: -6.4 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.7 to 8.7 °C","Historical daily maximum<br>17.6 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: 3.7 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-01","TMIN",2001-04-01,-3.23448275862069,-14.1,2.3,3.34485488283006,-6.98,-3.6,-1.3,-0.3,-5.6,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2025-04-01,"DATE: Apr-01<br>Value: -5.6 °C<br>Anomaly: -2.4 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.0 to -0.3 °C","Historical daily maximum<br>2.3 °C<br>2025-04-01","DATE: Apr-01</b><br>Normal: -3.2 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-01","VPD",2001-04-01,0.340000426287519,0.0583549916752668,1.46134771901954,0.266993131758133,0.0892998891570129,0.233320803191592,0.36831838801187,0.580172456988204,0.0983331648744839,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2019-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.2 kPa<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>1.5 kPa<br>2019-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-02","TMAX",2001-04-02,3.57931034482759,-2.8,15.7,4.49009857594183,-1.16,-0.1,5.8,8.02,-3.9,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2010-04-02,"DATE: Apr-02<br>Value: -3.9 °C<br>Anomaly: -7.5 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.2 to 8.0 °C","Historical daily maximum<br>15.7 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 3.6 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-02","TMIN",2001-04-02,-2.68965517241379,-12.7,3.4,3.14555750538826,-5.98,-4.2,-0.6,0.259999999999999,-8.9,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2016-04-02,"DATE: Apr-02<br>Value: -8.9 °C<br>Anomaly: -6.2 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.0 to 0.3 °C","Historical daily maximum<br>3.4 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -2.7 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-02","VPD",2001-04-02,0.314607563890948,0.0427706360770642,1.13175089188727,0.238262642650928,0.1031346007179,0.194281414972835,0.334153820305009,0.480153635754406,0.146062660482908,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2010-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.2 kPa<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>1.1 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-03","TMAX",2001-04-03,3.26551724137931,-3,14.7,4.39376797798142,-1.42,0.3,6.1,9,-1.7,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2016-04-03,"DATE: Apr-03<br>Value: -1.7 °C<br>Anomaly: -5.0 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.4 to 9.0 °C","Historical daily maximum<br>14.7 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 3.3 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-03","TMIN",2001-04-03,-2.87931034482759,-12.7,5.5,3.56183934328728,-6.9,-5.5,-0.8,0.539999999999999,-11,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,1976-04-03,"DATE: Apr-03<br>Value: -11.0 °C<br>Anomaly: -8.1 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.9 to 0.5 °C","Historical daily maximum<br>5.5 °C<br>1976-04-03","DATE: Apr-03</b><br>Normal: -2.9 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-03","VPD",2001-04-03,0.297824096423955,0.0430481088237946,0.972079011450439,0.208972702954625,0.0919836026086823,0.118751073777076,0.400661217815416,0.523643430561332,0.275406364553518,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2016-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: 0.0 kPa<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>1.0 kPa<br>2016-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
"04-04","TMAX",2001-04-04,3.4551724137931,-4.6,15.3,4.34598223378268,-0.7,0.8,5.8,9.22,-3.1,"ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","8403505",50089,"ST. JOHN'S INTL A",4,2002-04-04,"DATE: Apr-04<br>Value: -3.1 °C<br>Anomaly: -6.6 °C<br>Weather station: ST. JOHN'S INTL A (ECCC AES 8403505; station_id 50089)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.7 to 9.2 °C","Historical daily maximum<br>15.3 °C<br>2002-04-04","DATE: Apr-04</b><br>Normal: 3.5 °C<br>Period: 1991-2020","8403506","ST+JOHNS+A",1953,2026
