"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8403851","TERRA+NOVA+NAT+PARK+CS","04-01","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-02","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-03","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-04","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-05","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-06","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-07","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-08","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-09","BUI",1999,2026,7.4,NA,7.4,2012-04-09,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-10","BUI",1999,2026,8.8,NA,8.8,2012-04-10,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-11","BUI",1999,2026,8.1,NA,8.1,2012-04-11,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-12","BUI",1999,2026,3.5,NA,3.5,2012-04-12,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-13","BUI",1999,2026,0.9,NA,0.9,2012-04-13,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-14","BUI",1999,2026,NA,NA,NA,NA,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-15","BUI",1999,2026,2.6,NA,2.6,2012-04-15,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-16","BUI",1999,2026,4.4,NA,6.4,2024-04-16,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-17","BUI",1999,2026,7,NA,7,2012-04-17,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-18","BUI",1999,2026,7.7,NA,7.7,2012-04-18,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-19","BUI",1999,2026,4.3,NA,8,2022-04-19,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-20","BUI",1999,2026,2.9,NA,8.2,2022-04-20,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-21","BUI",1999,2026,3.6,NA,4.7,2022-04-21,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-22","BUI",1999,2026,5.7,NA,5.7,2012-04-22,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-23","BUI",1999,2026,6,NA,6,2012-04-23,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-24","BUI",1999,2026,7.4,0.6557438524302,8,2018-04-24,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-25","BUI",1999,2026,9.5,2.68700576850888,11.4,2018-04-25,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-26","BUI",1999,2026,12.0333333333333,4.75850116458254,16.1,2009-04-26,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-27","BUI",1999,2026,10.4666666666667,6.04676221901716,17.2,2009-04-27,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-28","BUI",1999,2026,7.925,3.92714909317179,13.5,2009-04-28,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-29","BUI",1999,2026,4.56,2.69592284756074,7.1,2009-04-29,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","04-30","BUI",1999,2026,7.33333333333333,6.45806988709991,19.1,2005-04-30,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-01","BUI",1999,2026,7.22857142857143,6.60548112951517,20.5,2005-05-01,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-02","BUI",1999,2026,8.4875,6.05131331672248,18.2,2005-05-02,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-03","BUI",1999,2026,9.2125,6.15709521028962,18.1,2005-05-03,NA,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-04","BUI",1999,2026,9.55,7.25201121528826,21.7,2006-05-04,6.3,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-05","BUI",1999,2026,10.9272727272727,6.94033009432418,22.9,2005-05-05,8.7,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-06","BUI",1999,2026,10.4615384615385,8.11136429765245,24.7,2005-05-06,10.1,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-07","BUI",1999,2026,11.0083333333333,8.64580385172045,27.2,2005-05-07,11.5,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-08","BUI",1999,2026,10.9538461538462,7.45046031962851,27.9,2005-05-08,7.4,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-09","BUI",1999,2026,10.8571428571429,7.90177334387807,28.6,2005-05-09,3.3,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-10","BUI",1999,2026,11.0666666666667,7.88893136585926,29.4,2005-05-10,3.9,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-11","BUI",1999,2026,10.775,8.55792030811225,30.5,2005-05-11,5.4,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-12","BUI",1999,2026,10.13125,9.05138801510575,31.7,2005-05-12,2.8,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-13","BUI",1999,2026,9.34375,7.31555135766722,25.7,2006-05-13,0.8,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-14","BUI",1999,2026,10.0058823529412,7.30825480092848,27.3,2006-05-14,3.6,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-15","BUI",1999,2026,11.3529411764706,7.82241312248487,31.2,2006-05-15,4.5,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-16","BUI",1999,2026,11.3352941176471,7.84386234393416,32.5,2006-05-16,1.4,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-17","BUI",1999,2026,11.5111111111111,8.35075825291888,31.1,2006-05-17,2,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-18","BUI",1999,2026,11.1611111111111,8.39993969788501,29.6,2004-05-18,5.4,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-19","BUI",1999,2026,13.08125,7.88840657758798,28.3,2025-05-19,4.7,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-20","BUI",1999,2026,13.5625,8.83167594514201,29,2025-05-20,5.9,101.7,2025-07-21,NA
"8403851","TERRA+NOVA+NAT+PARK+CS","05-21","BUI",1999,2026,13.5294117647059,8.8182881492018,31,2004-05-21,4.7,101.7,2025-07-21,NA
