"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8200558","BEAVER+ISLAND+AUT","04-01","BUI",1994,2026,1.2,NA,1.2,2018-04-01,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-02","BUI",1994,2026,1.7,NA,1.7,2018-04-02,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-03","BUI",1994,2026,1.85,0.777817459305202,2.4,2018-04-03,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-04","BUI",1994,2026,1.45,0.353553390593274,1.7,2008-04-04,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-05","BUI",1994,2026,0.35,0.212132034355964,0.5,2018-04-05,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-06","BUI",1994,2026,1,0.424264068711929,1.3,2008-04-06,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-07","BUI",1994,2026,1.35,1.76776695296637,2.6,2008-04-07,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-08","BUI",1994,2026,3.9,NA,3.9,2008-04-08,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-09","BUI",1994,2026,2.75,3.88908729652601,5.5,2008-04-09,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-10","BUI",1994,2026,3.8,4.5254833995939,7,2008-04-10,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-11","BUI",1994,2026,3.9,3.53553390593274,6.4,2008-04-11,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-12","BUI",1994,2026,4.3,3.25269119345812,6.6,2008-04-12,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-13","BUI",1994,2026,1.95,2.05060966544099,3.4,2008-04-13,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-14","BUI",1994,2026,2.25,2.61629509039023,4.1,2008-04-14,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-15","BUI",1994,2026,3.05,3.46482322781408,5.5,2008-04-15,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-16","BUI",1994,2026,4.15,4.59619407771256,7.4,2008-04-16,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-17","BUI",1994,2026,4.6,6.36396103067893,9.1,2008-04-17,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-18","BUI",1994,2026,3.05,3.88908729652601,5.8,2008-04-18,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-19","BUI",1994,2026,4.2,4.38406204335659,7.3,2008-04-19,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-20","BUI",1994,2026,4.25,5.72756492761104,8.3,2008-04-20,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-21","BUI",1994,2026,5.3,6.22253967444162,9.7,2008-04-21,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-22","BUI",1994,2026,6.9,6.64680374315355,11.6,2008-04-22,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-23","BUI",1994,2026,8.35,6.43467170879758,12.9,2008-04-23,NA,60.1,2013-07-23,NA
"8200558","BEAVER+ISLAND+AUT","04-24","BUI",1994,2026,9.15,4.59619407771256,12.4,2008-04-24,NA,60.1,2013-07-23,NA
