"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0,0,0,0,0,0,0,NA,0,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",NA,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: +0.0 mm<br>Percent of normal: <b>NaN%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.0 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","8200574","BEDFORD+RANGE",2018,2026
"04-02",2001-04-02,32.4,0,64.8,6.48000000000001,16.2,48.6,58.32,NA,0,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -32.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>32.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>16.2 to 48.6 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>6.5 to 58.3 mm","8200574","BEDFORD+RANGE",2018,2026
"04-03",2001-04-03,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -57.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-04",2001-04-04,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -57.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-05",2001-04-05,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -57.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-06",2001-04-06,57,44.6,69.4,47.08,50.8,63.2,66.92,0.4,0.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.4 mm<br>Weather station: NA (ECCC AES NA; station_id 43123)",0.701754385964912,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.4 mm<br>Anomaly: -56.6 mm<br>Percent of normal: <b>1%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-07",2001-04-07,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0.701754385964912,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.4 mm<br>Anomaly: -56.6 mm<br>Percent of normal: <b>1%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-08",2001-04-08,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0.701754385964912,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.4 mm<br>Anomaly: -56.6 mm<br>Percent of normal: <b>1%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-09",2001-04-09,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0.701754385964912,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.4 mm<br>Anomaly: -56.6 mm<br>Percent of normal: <b>1%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
"04-10",2001-04-10,57,44.6,69.4,47.08,50.8,63.2,66.92,NA,0.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"","",0.701754385964912,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.4 mm<br>Anomaly: -56.6 mm<br>Percent of normal: <b>1%</b><br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>57.0 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>50.8 to 63.2 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>47.1 to 66.9 mm","8200574","BEDFORD+RANGE",2018,2026
