"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,9.7,9.5,9.9,0.282842712474619,9.54,9.6,9.8,9.86,7.6,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2021-04-01,"DATE: Apr-01<br>Value: 7.6 °C<br>Anomaly: -2.1 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>9.5 to 9.9 °C","Historical daily maximum<br>9.9 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 9.7 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-01","TMIN",2001-04-01,-0.65,-1.2,-0.1,0.777817459305202,-1.09,-0.925,-0.375,-0.21,-0.9,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2021-04-01,"DATE: Apr-01<br>Value: -0.9 °C<br>Anomaly: -0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.1 to -0.2 °C","Historical daily maximum<br>-0.1 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: -0.6 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-01","VPD",2001-04-01,0.620668919899756,0.613389149690874,0.627948690108638,0.0102951497603608,0.61484510373265,0.617029034795315,0.624308805004197,0.626492736066862,0.471959012510012,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2025-04-01,"DATE: Apr-01<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.6 to 0.6 kPa","Historical daily maximum<br>0.6 kPa<br>2025-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-02","TMAX",2001-04-02,8.35,7.2,9.5,1.62634559672906,7.43,7.775,8.925,9.27,2,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2024-04-02,"DATE: Apr-02<br>Value: 2.0 °C<br>Anomaly: -6.3 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>7.4 to 9.3 °C","Historical daily maximum<br>9.5 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: 8.3 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-02","TMIN",2001-04-02,1.35,-4,6.7,7.56604255869606,-2.93,-1.325,4.025,5.63,-2.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2020-04-02,"DATE: Apr-02<br>Value: -2.4 °C<br>Anomaly: -3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-2.9 to 5.6 °C","Historical daily maximum<br>6.7 °C<br>2020-04-02","DATE: Apr-02</b><br>Normal: 1.4 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-02","VPD",2001-04-02,0.383727252032867,0.206013997681785,0.561440506383949,0.251324494516759,0.241556648552001,0.294870624857326,0.472583879208408,0.525897855513732,0.19364379174311,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-03","TMAX",2001-04-03,8.85,8.7,9,0.212132034355965,8.73,8.775,8.925,8.97,1.9,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2022-04-03,"DATE: Apr-03<br>Value: 1.9 °C<br>Anomaly: -6.9 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>8.7 to 9.0 °C","Historical daily maximum<br>9.0 °C<br>2022-04-03","DATE: Apr-03</b><br>Normal: 8.8 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-03","TMIN",2001-04-03,1.25,0.1,2.4,1.62634559672906,0.33,0.675,1.825,2.17,-1.6,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2020-04-03,"DATE: Apr-03<br>Value: -1.6 °C<br>Anomaly: -2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>0.3 to 2.2 °C","Historical daily maximum<br>2.4 °C<br>2020-04-03","DATE: Apr-03</b><br>Normal: 1.2 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-03","VPD",2001-04-03,0.46585094662789,0.39890096774044,0.53280092551534,0.0946815681432245,0.41229096351793,0.432375957184165,0.499325936071615,0.51941092973785,0.157375766797066,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2022-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 0.5 kPa","Historical daily maximum<br>0.5 kPa<br>2022-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-04","TMAX",2001-04-04,5.4,4.7,6.1,0.989949493661166,4.84,5.05,5.75,5.96,5.5,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2025-04-04,"DATE: Apr-04<br>Value: 5.5 °C<br>Anomaly: +0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>4.8 to 6.0 °C","Historical daily maximum<br>6.1 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 5.4 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
"04-04","TMIN",2001-04-04,-1.25,-1.3,-1.2,0.0707106781186548,-1.29,-1.275,-1.225,-1.21,-1.4,"NA (ECCC AES NA; station_id 43123)",NA,43123,"",4,2025-04-04,"DATE: Apr-04<br>Value: -1.4 °C<br>Anomaly: -0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 43123)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.3 to -1.2 °C","Historical daily maximum<br>-1.2 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: -1.2 °C<br>Period: 1991-2020","8200574","BEDFORD+RANGE",2018,2026
