"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8202000","GREENWOOD+A","04-01","BUI",1953,2026,7.38571428571429,5.75193549205499,17.4,2006-04-01,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-02","BUI",1953,2026,4.8375,4.41844752955476,12.6,2012-04-02,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-03","BUI",1953,2026,6.38333333333333,4.8750042735024,12.8,2012-04-03,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-04","BUI",1953,2026,6.33333333333333,5.04288277344087,13.2,2012-04-04,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-05","BUI",1953,2026,6.7,3.83536178215302,12.4,1986-04-05,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-06","BUI",1953,2026,7.38333333333333,3.59634073283757,12.8,1986-04-06,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-07","BUI",1953,2026,5.81111111111111,4.22653653848055,13.6,2012-04-07,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-08","BUI",1953,2026,4.57272727272727,3.14994949454461,10.9,2010-04-08,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-09","BUI",1953,2026,5.81666666666667,3.41649297415116,11.4,2010-04-09,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-10","BUI",1953,2026,6.83846153846154,4.01943994057598,12.6,2012-04-10,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-11","BUI",1953,2026,6.98,4.20105428944416,14.1,2012-04-11,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-12","BUI",1953,2026,7.95833333333333,4.59475161725228,14.8,2012-04-12,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-13","BUI",1953,2026,8.25833333333333,4.80065494269145,15.5,2012-04-13,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-14","BUI",1953,2026,7.80769230769231,5.01771221747879,16.9,2012-04-14,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-15","BUI",1953,2026,7.59333333333333,5.94768462352808,18.9,2012-04-15,NA,148.2,1960-09-07,NA
"8202000","GREENWOOD+A","04-16","BUI",1953,2026,7.37647058823529,5.75690122936862,20.3,2012-04-16,NA,148.2,1960-09-07,NA
