"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8202240","HALIFAX+DOCKYARD","04-01","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-02","BUI",2005,2026,11.6,NA,11.6,2012-04-02,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-03","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-04","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-05","BUI",2005,2026,14.2,NA,14.2,2012-04-05,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-06","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-07","BUI",2005,2026,16.4,NA,16.4,2012-04-07,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-08","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-09","BUI",2005,2026,10.4,NA,10.4,2012-04-09,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-10","BUI",2005,2026,11.8,NA,11.8,2012-04-10,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-11","BUI",2005,2026,13,NA,13,2012-04-11,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-12","BUI",2005,2026,9.9,NA,9.9,2012-04-12,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-13","BUI",2005,2026,10.7,NA,10.7,2012-04-13,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-14","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-15","BUI",2005,2026,13.1,NA,13.1,2012-04-15,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-16","BUI",2005,2026,13.7,NA,13.7,2012-04-16,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-17","BUI",2005,2026,14.2,NA,14.2,2012-04-17,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-18","BUI",2005,2026,15.7,NA,15.7,2012-04-18,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-19","BUI",2005,2026,16.2,NA,16.2,2012-04-19,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-20","BUI",2005,2026,17.9,NA,17.9,2012-04-20,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-21","BUI",2005,2026,18.5,NA,18.5,2012-04-21,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-22","BUI",2005,2026,NA,NA,NA,NA,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-23","BUI",2005,2026,17.1,NA,17.1,2012-04-23,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-24","BUI",2005,2026,8.4,NA,8.4,2012-04-24,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-25","BUI",2005,2026,5.7,2.12132034355964,7.2,2018-04-25,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-26","BUI",2005,2026,3.05,0.777817459305202,3.6,2012-04-26,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-27","BUI",2005,2026,2,NA,2,2018-04-27,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-28","BUI",2005,2026,0.65,0.0707106781186547,0.7,2018-04-28,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-29","BUI",2005,2026,0.5,NA,0.5,2018-04-29,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","04-30","BUI",2005,2026,1.75,2.33345237791561,3.4,2012-04-30,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-01","BUI",2005,2026,2.1,2.82842712474619,4.1,2012-05-01,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-02","BUI",2005,2026,3.5,2.54558441227157,5.3,2012-05-02,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-03","BUI",2005,2026,5.05,3.46482322781408,7.5,2012-05-03,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-04","BUI",2005,2026,4.5,5.51543289325507,8.4,2012-05-04,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-05","BUI",2005,2026,7.03333333333333,3.84230833397495,10.3,2012-05-05,NA,76.7,2025-08-17,NA
"8202240","HALIFAX+DOCKYARD","05-06","BUI",2005,2026,9.7,2.84018778721877,12,2012-05-06,7,76.7,2025-08-17,NA
