"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0,0,0,0,0,0,0,NA,0,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",NA,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: +0.0 mm<br>Percent of normal: <b>NaN%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.0 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-02",2001-04-02,11.9,0,23.8,2.38,5.95,17.85,21.42,NA,0,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -11.9 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>11.9 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>6.0 to 17.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>2.4 to 21.4 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-03",2001-04-03,21.7,0,43.4,4.34,10.85,32.55,39.06,NA,0,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -21.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>21.7 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>10.9 to 32.6 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>4.3 to 39.1 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-04",2001-04-04,21.7,0,43.4,4.34,10.85,32.55,39.06,NA,0,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -21.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>21.7 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>10.9 to 32.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>4.3 to 39.1 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-05",2001-04-05,21.7,0,43.4,4.34,10.85,32.55,39.06,NA,0,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",0,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -21.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>21.7 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>10.9 to 32.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>4.3 to 39.1 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-06",2001-04-06,21.8,0,43.6,4.36,10.9,32.7,39.24,0.8,0.8,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.8 mm<br>Weather station: NA (ECCC AES NA; station_id 43124)",3.6697247706422,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -21.0 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>10.9 to 32.7 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>4.4 to 39.2 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-07",2001-04-07,21.8,0,43.6,4.36,10.9,32.7,39.24,NA,0.8,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",3.6697247706422,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -21.0 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>10.9 to 32.7 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>4.4 to 39.2 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-08",2001-04-08,21.8,0,43.6,4.36,10.9,32.7,39.24,NA,0.8,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",3.6697247706422,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -21.0 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>10.9 to 32.7 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>4.4 to 39.2 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-09",2001-04-09,21.8,0,43.6,4.36,10.9,32.7,39.24,NA,0.8,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",3.6697247706422,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -21.0 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>10.9 to 32.7 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>4.4 to 39.2 mm","8202252","HALIFAX+KOOTENAY",2018,2026
"04-10",2001-04-10,21.8,0,43.6,4.36,10.9,32.7,39.24,NA,0.8,"NA (ECCC AES NA; station_id 43124)",NA,43124,"","",3.6697247706422,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -21.0 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 43124)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>10.9 to 32.7 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>4.4 to 39.2 mm","8202252","HALIFAX+KOOTENAY",2018,2026
