"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,3.6,2021-04-01,NA,92,2025-08-17,NA,4,"Daily record reached in 2021","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-02",2001-04-02,13.5,NA,13.5,2012-04-02,NA,92,2025-08-17,NA,4,"Daily record reached in 2012","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-03",2001-04-03,NA,NA,1.3,2021-04-03,NA,92,2025-08-17,NA,4,"Daily record reached in 2021","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-04",2001-04-04,NA,NA,0.7,2026-04-04,0.7,92,2025-08-17,NA,4,"Daily record reached in 2026","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-05",2001-04-05,12.1,5.09116882454314,15.7,2012-04-05,0.8,92,2025-08-17,NA,4,"Daily record reached in 2012","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-06",2001-04-06,10.6,NA,10.6,2010-04-06,0.9,92,2025-08-17,NA,4,"Daily record reached in 2010","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-07",2001-04-07,14.35,4.59619407771256,17.6,2012-04-07,1.7,92,2025-08-17,NA,4,"Daily record reached in 2012","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-08",2001-04-08,12.8,NA,12.8,2010-04-08,NA,92,2025-08-17,NA,4,"Daily record reached in 2010","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-09",2001-04-09,11.95,1.34350288425444,12.9,2010-04-09,4.2,92,2025-08-17,NA,4,"Daily record reached in 2010","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-10",2001-04-10,9.9,3.81837661840736,12.6,2012-04-10,NA,92,2025-08-17,NA,4,"Daily record reached in 2012","8202255","HALIFAX+WINDSOR+PARK",2005,2026
"BUI","04-11",2001-04-11,11.25,3.7476659402887,13.9,2012-04-11,NA,92,2025-08-17,NA,4,"Daily record reached in 2012","8202255","HALIFAX+WINDSOR+PARK",2005,2026
