"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,5.58095238095238,0,35.8,0,0,7.8,16.5,15.4,15.4,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 15.4 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",275.938566552901,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 15.4 mm<br>Anomaly: +9.8 mm<br>Percent of normal: <b>276%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>5.6 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 7.8 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 16.5 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-02",2001-04-02,8.1,0,41.6,0,0,12.8,21.3,0,15.4,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",190.123456790123,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 15.4 mm<br>Anomaly: +7.3 mm<br>Percent of normal: <b>190%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>8.1 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 12.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 21.3 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-03",2001-04-03,13.6095238095238,0,52.4,0,0.7,22.4,27.6,12.6,28,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 12.6 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",205.738278516445,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 28.0 mm<br>Anomaly: +14.4 mm<br>Percent of normal: <b>206%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>13.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.7 to 22.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 27.6 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-04",2001-04-04,17.9095238095238,0,53.1,0.6,9.7,25.6,35.8,9.5,37.5,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 9.5 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",209.385801648498,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 37.5 mm<br>Anomaly: +19.6 mm<br>Percent of normal: <b>209%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>17.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>9.7 to 25.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.6 to 35.8 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-05",2001-04-05,22.6809523809524,0,53.8,10.7,15.4,28.3,41.7,33.4,70.9,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 33.4 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",312.597102666387,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 70.9 mm<br>Anomaly: +48.2 mm<br>Percent of normal: <b>313%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>22.7 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>15.4 to 28.3 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>10.7 to 41.7 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-06",2001-04-06,24.352380952381,0,54.7,10.7,16.3,29.1,41.7,0,70.9,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",291.14196323817,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 70.9 mm<br>Anomaly: +46.5 mm<br>Percent of normal: <b>291%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>24.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>16.3 to 29.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>10.7 to 41.7 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-07",2001-04-07,29.1619047619048,6.6,81.6,15,20.7,33.1,42,0.1,71,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",243.468321358589,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 71.0 mm<br>Anomaly: +41.8 mm<br>Percent of normal: <b>243%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>29.2 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>20.7 to 33.1 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>15.0 to 42.0 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-08",2001-04-08,35.0761904761905,6.6,83.8,20.9,23.4,42.2,57.8,1.3,72.3,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 1.3 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",206.122726038556,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 72.3 mm<br>Anomaly: +37.2 mm<br>Percent of normal: <b>206%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>35.1 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>23.4 to 42.2 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>20.9 to 57.8 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-09",2001-04-09,37.1857142857143,6.6,85.2,23,25.6,52.1,60,0,72.3,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",194.429504417979,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 72.3 mm<br>Anomaly: +35.1 mm<br>Percent of normal: <b>194%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>37.2 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>25.6 to 52.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>23.0 to 60.0 mm","8202502","INGONISH+BEACH+CS",2000,2026
"04-10",2001-04-10,40.5,10.6,85.2,24,27.1,54.9,70.8,0,72.3,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)",178.518518518519,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 72.3 mm<br>Anomaly: +31.8 mm<br>Percent of normal: <b>179%</b><br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>40.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>27.1 to 54.9 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>24.0 to 70.8 mm","8202502","INGONISH+BEACH+CS",2000,2026
