"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,5.655,-0.9,19.1,4.73947309973987,1.72,2.725,6.575,12.08,0,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2016-04-01,"DATE: Apr-01<br>Value: 0.0 °C<br>Anomaly: -5.7 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>1.7 to 12.1 °C","Historical daily maximum<br>19.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 5.7 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-01","TMIN",2001-04-01,-2.99,-7.2,2.5,3.20474976443272,-6.91,-5.425,-0.325,1.34,-3.6,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2000-04-01,"DATE: Apr-01<br>Value: -3.6 °C<br>Anomaly: -0.6 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.9 to 1.3 °C","Historical daily maximum<br>2.5 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: -3.0 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-01","VPD",2001-04-01,0.457344712303609,0.0808595274669625,1.54007578158189,0.341272836678186,0.146006528669503,0.238998942841952,0.54892165907293,0.82265744740799,0.142674605393978,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2016-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.3 kPa<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.8 kPa","Historical daily maximum<br>1.5 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-02","TMAX",2001-04-02,5.86666666666667,-1.1,12.8,4.32589104501412,1.5,2.2,8.5,12.4,-0.2,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2006-04-02,"DATE: Apr-02<br>Value: -0.2 °C<br>Anomaly: -6.1 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>1.5 to 12.4 °C","Historical daily maximum<br>12.8 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: 5.9 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-02","TMIN",2001-04-02,-3.13809523809524,-12.1,3.1,3.68068963517385,-7,-5.7,0.2,0.8,-7.9,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2021-04-02,"DATE: Apr-02<br>Value: -7.9 °C<br>Anomaly: -4.8 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.0 to 0.8 °C","Historical daily maximum<br>3.1 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: -3.1 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-02","VPD",2001-04-02,0.462278924954149,0.0641425200562291,0.935546883553446,0.251020088795627,0.105114408329775,0.313022822388184,0.645952715789971,0.742488071471758,0.264984008724683,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2008-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>2008-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-03","TMAX",2001-04-03,5.23809523809524,0.5,15.4,4.25211432001495,1.6,3,6.9,11.6,-1,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2009-04-03,"DATE: Apr-03<br>Value: -1.0 °C<br>Anomaly: -6.2 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>1.6 to 11.6 °C","Historical daily maximum<br>15.4 °C<br>2009-04-03","DATE: Apr-03</b><br>Normal: 5.2 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-03","TMIN",2001-04-03,-3.13,-11.4,6,4.12120319681931,-7.89,-6.125,-0.975,1.22,-7.6,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2000-04-03,"DATE: Apr-03<br>Value: -7.6 °C<br>Anomaly: -4.5 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.9 to 1.2 °C","Historical daily maximum<br>6.0 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: -3.1 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-03","VPD",2001-04-03,0.432259386992554,0.069788577937468,1.08351335283875,0.262540281067328,0.182545026709407,0.224445407082391,0.502306705611503,0.831895819851596,0.222814339377535,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2009-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.1 kPa<br>2009-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-04","TMAX",2001-04-04,4.55238095238095,-4.3,12.9,4.39734227091991,0.7,2.2,6.3,10.5,1.3,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2010-04-04,"DATE: Apr-04<br>Value: 1.3 °C<br>Anomaly: -3.3 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>0.7 to 10.5 °C","Historical daily maximum<br>12.9 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 4.6 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
"04-04","TMIN",2001-04-04,-2.7047619047619,-10.7,1.4,3.63159416654397,-7.8,-5.3,0.6,1.1,-7.8,"INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","8202502",30326,"INGONISH BEACH RCS",4,2021-04-04,"DATE: Apr-04<br>Value: -7.8 °C<br>Anomaly: -5.1 °C<br>Weather station: INGONISH BEACH RCS (ECCC AES 8202502; station_id 30326)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.8 to 1.1 °C","Historical daily maximum<br>1.4 °C<br>2021-04-04","DATE: Apr-04</b><br>Normal: -2.7 °C<br>Period: 1991-2020","8202502","INGONISH+BEACH+CS",2000,2026
