"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8203210","LUNENBURG","04-01","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-02","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-03","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-04","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-05","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-06","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-07","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-08","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-09","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-10","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-11","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-12","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-13","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-14","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-15","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-16","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-17","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-18","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-19","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-20","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-21","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-22","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-23","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-24","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-25","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-26","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-27","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-28","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-29","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","04-30","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-01","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-02","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-03","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-04","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-05","BUI",2002,2026,NA,NA,NA,NA,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-06","BUI",2002,2026,8.8,NA,8.8,2015-05-06,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-07","BUI",2002,2026,11.4,NA,11.4,2015-05-07,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-08","BUI",2002,2026,12.7,NA,12.7,2015-05-08,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-09","BUI",2002,2026,13.8,NA,13.8,2015-05-09,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-10","BUI",2002,2026,15.9,NA,15.9,2015-05-10,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-11","BUI",2002,2026,17.4,NA,17.4,2015-05-11,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-12","BUI",2002,2026,11.15,5.02045814642449,14.7,2015-05-12,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-13","BUI",2002,2026,10.05,1.76776695296637,11.3,2015-05-13,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-14","BUI",2002,2026,11.05,2.47487373415292,12.8,2015-05-14,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-15","BUI",2002,2026,11.8666666666667,2.1548395145192,14.3,2015-05-15,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-16","BUI",2002,2026,13.1333333333333,2.72274371422162,16.2,2015-05-16,NA,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-17","BUI",2002,2026,8.5,6.59621103361619,16,2015-05-17,7.5,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-18","BUI",2002,2026,8.425,5.53255516616569,13.5,2015-05-18,11.2,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-19","BUI",2002,2026,9.2,5.95650904473417,15.8,2015-05-19,11.1,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-20","BUI",2002,2026,8.8,5.34742928892005,16.1,2015-05-20,12.8,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-21","BUI",2002,2026,10.24,6.70097007902587,18.7,2015-05-21,14.9,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-22","BUI",2002,2026,9.91666666666667,5.63823258359095,16.8,2026-05-22,16.8,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-23","BUI",2002,2026,7.48333333333333,4.54463053137069,19.2,2026-05-23,19.2,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-24","BUI",2002,2026,8.2,5.08291255089048,20.6,2026-05-24,20.6,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-25","BUI",2002,2026,8.93333333333333,4.87182375160131,18.8,2026-05-25,18.8,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-26","BUI",2002,2026,8.66666666666667,6.01752994730119,16.7,2010-05-26,7.7,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-27","BUI",2002,2026,9.53333333333333,6.68809888284157,18.9,2010-05-27,8.4,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-28","BUI",2002,2026,9.17142857142857,6.21576337111656,21,2010-05-28,6.3,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-29","BUI",2002,2026,10.2875,6.46207341780816,24.3,2010-05-29,5,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-30","BUI",2002,2026,9.1875,5.16262322578634,19.9,2010-05-30,6.1,91.9,2013-07-29,NA
"8203210","LUNENBURG","05-31","BUI",2002,2026,9.71111111111111,4.57969552602693,19.2,2010-05-31,6.7,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-01","BUI",2002,2026,8.67777777777778,6.14771863738448,20,2010-06-01,7.7,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-02","BUI",2002,2026,7.52,3.98045223561344,15.7,2023-06-02,9.2,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-03","BUI",2002,2026,7.21,3.72124531127238,13.1,2011-06-03,8.8,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-04","BUI",2002,2026,7,4.19070399813683,14.7,2011-06-04,10.9,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-05","BUI",2002,2026,7.50909090909091,4.92188064573991,16.5,2011-06-05,12.3,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-06","BUI",2002,2026,6.35,5.00735822202051,18.1,2011-06-06,13.4,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-07","BUI",2002,2026,7.29230769230769,5.32782969235778,19.4,2011-06-07,11.5,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-08","BUI",2002,2026,8.85384615384615,5.7903102082438,20.5,2011-06-08,8,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-09","BUI",2002,2026,9.14615384615385,6.36587456476791,21.3,2011-06-09,9.5,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-10","BUI",2002,2026,9.57142857142857,6.66730583016611,22.6,2011-06-10,11.6,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-11","BUI",2002,2026,9.81333333333333,6.45067733615921,26.3,2011-06-11,12.3,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-12","BUI",2002,2026,10.2333333333333,7.43799768242835,27.5,2011-06-12,13,91.9,2013-07-29,NA
"8203210","LUNENBURG","06-13","BUI",2002,2026,10.8133333333333,8.35009552269285,28,2011-06-13,13.4,91.9,2013-07-29,NA
