"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,6.95,5.1,9.4,1.86636902388926,5.37,5.775,7.825,8.77,8,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2025-04-01,"DATE: Apr-01<br>Value: 8.0 °C<br>Anomaly: +1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>5.4 to 8.8 °C","Historical daily maximum<br>9.4 °C<br>2025-04-01","DATE: Apr-01</b><br>Normal: 7.0 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-01","TMIN",2001-04-01,0.475,-2.6,4.3,2.86865241300975,-1.91,-0.875,1.45,3.16,-0.5,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2021-04-01,"DATE: Apr-01<br>Value: -0.5 °C<br>Anomaly: -1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-1.9 to 3.2 °C","Historical daily maximum<br>4.3 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.5 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-01","VPD",2001-04-01,0.362413105432026,0.301722409398695,0.425092436231078,0.0514115522398618,0.315863923265018,0.337076194064503,0.386755699416689,0.409757741505322,0.483840668855287,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2025-04-01,"DATE: Apr-01<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.4 kPa","Historical daily maximum<br>0.4 kPa<br>2025-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-02","TMAX",2001-04-02,5.225,0.9,8.4,3.18472918785884,2.16,4.05,6.975,7.83,1.3,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2024-04-02,"DATE: Apr-02<br>Value: 1.3 °C<br>Anomaly: -3.9 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.2 to 7.8 °C","Historical daily maximum<br>8.4 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: 5.2 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-02","TMIN",2001-04-02,2.1,-0.9,5.2,3.40881210981186,-0.87,-0.825,4.975,5.11,-1.1,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2006-04-02,"DATE: Apr-02<br>Value: -1.1 °C<br>Anomaly: -3.2 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-0.9 to 5.1 °C","Historical daily maximum<br>5.2 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: 2.1 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-02","VPD",2001-04-02,0.175462619245168,0.0758447768992558,0.306486430524276,0.10695399431349,0.0836123180245545,0.0952636297125026,0.239958624311237,0.27987530803906,0.107465436366534,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.3 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-03","TMAX",2001-04-03,6.925,0.2,11.5,4.80234317807464,2.36,5.6,9.325,10.63,6.5,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2006-04-03,"DATE: Apr-03<br>Value: 6.5 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>2.4 to 10.6 °C","Historical daily maximum<br>11.5 °C<br>2006-04-03","DATE: Apr-03</b><br>Normal: 6.9 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-03","TMIN",2001-04-03,2.15,-0.5,3.7,1.97061750051433,0.19,1.225,3.625,3.67,0.3,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2006-04-03,"DATE: Apr-03<br>Value: 0.3 °C<br>Anomaly: -1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>0.2 to 3.7 °C","Historical daily maximum<br>3.7 °C<br>2006-04-03","DATE: Apr-03</b><br>Normal: 2.1 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-03","VPD",2001-04-03,0.313105002973025,0.0308197112385732,0.560737814559306,0.229712389322066,0.0932929923457476,0.187002914006509,0.456533332013627,0.519056021541034,0.343712019946205,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2022-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2022-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-04","TMAX",2001-04-04,4.875,4.3,5.6,0.543905629069357,4.42,4.6,5.075,5.39,9.5,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2025-04-04,"DATE: Apr-04<br>Value: 9.5 °C<br>Anomaly: +4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>4.4 to 5.4 °C","Historical daily maximum<br>5.6 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 4.9 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
"04-04","TMIN",2001-04-04,-0.325,-3.1,2,2.09980157792746,-2.23,-0.925,0.5,1.4,0.2,"NA (ECCC AES NA; station_id 31829)",NA,31829,"",4,2025-04-04,"DATE: Apr-04<br>Value: 0.2 °C<br>Anomaly: +0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 31829)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-2.2 to 1.4 °C","Historical daily maximum<br>2.0 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: -0.3 °C<br>Period: 1991-2020","8203210","LUNENBURG",2005,2026
