"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.9,1.3,13.6,4.24892143176752,2.56,3.95,10.9,11.71,5.6,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2006-04-01,"DATE: Apr-01<br>Value: 5.6 °C<br>Anomaly: -2.3 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>2.6 to 11.7 °C","Historical daily maximum<br>13.6 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: 7.9 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-01","TMIN",2001-04-01,-2.16,-11.2,3.9,4.45525906467102,-7.06,-4.35,0.6,2.28,-1.6,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2021-04-01,"DATE: Apr-01<br>Value: -1.6 °C<br>Anomaly: +0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.1 to 2.3 °C","Historical daily maximum<br>3.9 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: -2.2 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-01","VPD",2001-04-01,0.557161297050871,0.0991314296598131,0.9898264498851,0.31083551953814,0.195775888643212,0.374660238285076,0.807983058518174,0.984864820574649,0.366295833817203,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2006-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.0 kPa<br>2006-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-02","TMAX",2001-04-02,7.04,2.3,14,3.70171131595464,2.48,4.325,8.975,10.67,3.1,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2002-04-02,"DATE: Apr-02<br>Value: 3.1 °C<br>Anomaly: -3.9 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.5 to 10.7 °C","Historical daily maximum<br>14.0 °C<br>2002-04-02","DATE: Apr-02</b><br>Normal: 7.0 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-02","TMIN",2001-04-02,-2.21,-11.3,5.1,5.96423600397495,-10.31,-6.475,2.8,4.83,-3.9,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2006-04-02,"DATE: Apr-02<br>Value: -3.9 °C<br>Anomaly: -1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.3 to 4.8 °C","Historical daily maximum<br>5.1 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: -2.2 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-02","VPD",2001-04-02,0.471797352990975,0.15733734823136,0.791050099556277,0.226547908521691,0.181371389290745,0.264058760315348,0.64745133370211,0.710526262184162,0.30546924304463,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2002-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.8 kPa<br>2002-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-03","TMAX",2001-04-03,6.81818181818182,0.2,13,3.48218844459003,2.9,5.5,8.85,10.1,0.7,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2000-04-03,"DATE: Apr-03<br>Value: 0.7 °C<br>Anomaly: -6.1 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>2.9 to 10.1 °C","Historical daily maximum<br>13.0 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: 6.8 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-03","TMIN",2001-04-03,-0.963636363636364,-9,6,3.71248507802327,-4.3,-2.15,0.4,1.3,-3.6,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2000-04-03,"DATE: Apr-03<br>Value: -3.6 °C<br>Anomaly: -2.6 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.3 to 1.3 °C","Historical daily maximum<br>6.0 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: -1.0 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-03","VPD",2001-04-03,0.426091943448069,0.0436077058072644,0.706511038198357,0.20046719164358,0.207355000864463,0.325083480912541,0.584036162054469,0.616467654167428,0.17450110953401,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2022-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.7 kPa<br>2022-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-04","TMAX",2001-04-04,7.55454545454545,1.4,13.2,4.31633261840735,2,3.7,11,12.3,3,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2023-04-04,"DATE: Apr-04<br>Value: 3.0 °C<br>Anomaly: -4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.0 to 12.3 °C","Historical daily maximum<br>13.2 °C<br>2023-04-04","DATE: Apr-04</b><br>Normal: 7.6 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-04","TMIN",2001-04-04,-0.681818181818182,-8.6,6,4.76819005112384,-6,-3.5,2.35,5.9,-4.2,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2002-04-04,"DATE: Apr-04<br>Value: -4.2 °C<br>Anomaly: -3.5 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.0 to 5.9 °C","Historical daily maximum<br>6.0 °C<br>2002-04-04","DATE: Apr-04</b><br>Normal: -0.7 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-04","VPD",2001-04-04,0.466758522646061,0.166404086982945,0.679327145110789,0.173394890992707,0.284067251035112,0.35156699253598,0.611466716882688,0.672647196043572,0.310301294386631,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2023-04-04,"DATE: Apr-04<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.7 kPa","Historical daily maximum<br>0.7 kPa<br>2023-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-05","TMAX",2001-04-05,7.55454545454545,0.2,13.1,3.51834155145962,2.7,7.25,9.2,10.5,8.5,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2005-04-05,"DATE: Apr-05<br>Value: 8.5 °C<br>Anomaly: +0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>2.7 to 10.5 °C","Historical daily maximum<br>13.1 °C<br>2005-04-05","DATE: Apr-05</b><br>Normal: 7.6 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-05","TMIN",2001-04-05,-2.76363636363636,-9.3,5,4.46033019568568,-9,-5.2,0.35,1.2,-2.8,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2000-04-05,"DATE: Apr-05<br>Value: -2.8 °C<br>Anomaly: 0.0 °C<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.0 to 1.2 °C","Historical daily maximum<br>5.0 °C<br>2000-04-05","DATE: Apr-05</b><br>Normal: -2.8 °C<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
"04-05","VPD",2001-04-05,0.543110899370145,0.148536982138925,0.8967965447621,0.229414633950504,0.310558214184839,0.383968702269155,0.707421132443823,0.804186784016648,0.612867506438217,"NA (ECCC AES NA; station_id 30668)",NA,30668,"",4,2005-04-05,"DATE: Apr-05<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 30668)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.8 kPa","Historical daily maximum<br>0.9 kPa<br>2005-04-05","DATE: Apr-05</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8203405","MALAY+FALLS",2000,2026
