"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"8204402","PARRSBORO","04-01","BUI",2004,2026,14.1,NA,14.1,2012-04-01,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-02","BUI",2004,2026,15,NA,15,2012-04-02,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-03","BUI",2004,2026,15.2,NA,15.2,2012-04-03,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-04","BUI",2004,2026,15.7,NA,15.7,2012-04-04,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-05","BUI",2004,2026,16.2,NA,16.2,2012-04-05,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-06","BUI",2004,2026,10.5,8.9095454429505,16.8,2012-04-06,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-07","BUI",2004,2026,11.45,9.26309883354377,18,2012-04-07,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-08","BUI",2004,2026,5.6,NA,5.6,2011-04-08,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-09","BUI",2004,2026,6.9,0,6.9,2009-04-09,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-10","BUI",2004,2026,6.76666666666667,1.96553639837408,8,2011-04-10,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-11","BUI",2004,2026,7.43333333333333,1.06926766215636,8.1,2009-04-11,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-12","BUI",2004,2026,5.2,2.25388553391693,6.6,2012-04-12,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-13","BUI",2004,2026,7.6,0.424264068711929,7.9,2011-04-13,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-14","BUI",2004,2026,7.23333333333333,1.98578280114753,9.4,2012-04-14,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-15","BUI",2004,2026,6.6,3.47203110585144,11.6,2012-04-15,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-16","BUI",2004,2026,5.46,4.65274112755051,12.3,2012-04-16,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-17","BUI",2004,2026,6.13333333333333,4.98544548327095,13.7,2012-04-17,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-18","BUI",2004,2026,6.11428571428571,4.86190242992342,15.1,2012-04-18,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-19","BUI",2004,2026,7.11666666666667,5.53585284004792,15.9,2012-04-19,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-20","BUI",2004,2026,8.18333333333334,5.81323203275653,17.3,2012-04-20,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-21","BUI",2004,2026,7.94,6.75965975475097,18.5,2012-04-21,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-22","BUI",2004,2026,5.76,4.40204497932495,13.1,2012-04-22,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-23","BUI",2004,2026,5.8,1.61864140562386,8.1,2012-04-23,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-24","BUI",2004,2026,4.31428571428571,1.85151160895503,8.5,2025-04-24,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-25","BUI",2004,2026,3.3875,3.15931163388482,9.2,2025-04-25,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-26","BUI",2004,2026,3.7375,3.18430862646375,10.1,2025-04-26,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-27","BUI",2004,2026,4.025,3.9517627169946,11.7,2009-04-27,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-28","BUI",2004,2026,3.8875,4.72272242915642,12.4,2009-04-28,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-29","BUI",2004,2026,4.13333333333333,4.6284446631671,14.3,2009-04-29,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","04-30","BUI",2004,2026,4.97,4.42393741165291,15.8,2009-04-30,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","05-01","BUI",2004,2026,5.6,4.48355018062943,16.4,2009-05-01,NA,100.4,2025-08-14,NA
"8204402","PARRSBORO","05-02","BUI",2004,2026,6.78,5.07888876734972,16.9,2009-05-02,NA,100.4,2025-08-14,NA
