"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,85.3,2025-08-14,NA,4,"Daily record reached in NA","8205700","SYDNEY+A",1953,2026
"BUI","04-02",2001-04-02,NA,NA,3.4,2021-04-02,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2021","8205700","SYDNEY+A",1953,2026
"BUI","04-03",2001-04-03,NA,NA,0.5,2021-04-03,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2021","8205700","SYDNEY+A",1953,2026
"BUI","04-04",2001-04-04,NA,NA,6.6,1966-04-04,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1966","8205700","SYDNEY+A",1953,2026
"BUI","04-05",2001-04-05,7.3,NA,7.3,2010-04-05,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2010","8205700","SYDNEY+A",1953,2026
"BUI","04-06",2001-04-06,9.1,NA,9.1,2010-04-06,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2010","8205700","SYDNEY+A",1953,2026
"BUI","04-07",2001-04-07,10.4,NA,10.4,2010-04-07,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2010","8205700","SYDNEY+A",1953,2026
"BUI","04-08",2001-04-08,6.8,NA,7.4,1981-04-08,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-09",2001-04-09,7.6,NA,9,1981-04-09,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-10",2001-04-10,5,NA,9.5,1981-04-10,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-11",2001-04-11,6.3,NA,10.4,1981-04-11,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-12",2001-04-12,7.6,NA,10.6,1981-04-12,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-13",2001-04-13,8.2,NA,10.9,1981-04-13,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-14",2001-04-14,7.45,2.05060966544099,11.6,1981-04-14,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1981","8205700","SYDNEY+A",1953,2026
"BUI","04-15",2001-04-15,6.2,0.989949493661167,8.3,1964-04-15,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1964","8205700","SYDNEY+A",1953,2026
"BUI","04-16",2001-04-16,6.3,1.802775637732,8.3,1994-04-16,6.1,85.3,2025-08-14,NA,4,"Daily record reached in 1994","8205700","SYDNEY+A",1953,2026
"BUI","04-17",2001-04-17,5.65,3.18198051533946,8.9,1959-04-17,5.9,85.3,2025-08-14,NA,4,"Daily record reached in 1959","8205700","SYDNEY+A",1953,2026
"BUI","04-18",2001-04-18,5.025,2.33719917850405,9.7,1959-04-18,6.4,85.3,2025-08-14,NA,4,"Daily record reached in 1959","8205700","SYDNEY+A",1953,2026
"BUI","04-19",2001-04-19,5.675,2.44727739879783,10.6,1959-04-19,6.7,85.3,2025-08-14,NA,4,"Daily record reached in 1959","8205700","SYDNEY+A",1953,2026
"BUI","04-20",2001-04-20,5,3.9640047090453,10.3,2012-04-20,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2012","8205700","SYDNEY+A",1953,2026
"BUI","04-21",2001-04-21,5.075,5.16938100743213,12.5,2012-04-21,0,85.3,2025-08-14,NA,4,"Daily record reached in 2012","8205700","SYDNEY+A",1953,2026
"BUI","04-22",2001-04-22,5.925,4.89378858009484,13.1,2012-04-22,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2012","8205700","SYDNEY+A",1953,2026
"BUI","04-23",2001-04-23,6.58,4.67086715717756,13.6,2012-04-23,NA,85.3,2025-08-14,NA,4,"Daily record reached in 2012","8205700","SYDNEY+A",1953,2026
"BUI","04-24",2001-04-24,6.06,4.75688974015585,14.1,2012-04-24,0,85.3,2025-08-14,NA,4,"Daily record reached in 2012","8205700","SYDNEY+A",1953,2026
"BUI","04-25",2001-04-25,4.6,1.38021737418423,12.3,1987-04-25,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1987","8205700","SYDNEY+A",1953,2026
"BUI","04-26",2001-04-26,5.35714285714286,1.51641808533261,12.7,1987-04-26,1.4,85.3,2025-08-14,NA,4,"Daily record reached in 1987","8205700","SYDNEY+A",1953,2026
"BUI","04-27",2001-04-27,4.7625,1.89581305588319,12.2,1960-04-27,NA,85.3,2025-08-14,NA,4,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","04-28",2001-04-28,4.1625,2.80455624195446,13.5,1960-04-28,6,85.3,2025-08-14,NA,4,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","04-29",2001-04-29,4.4125,3.55103103739906,13.8,1960-04-29,6.6,85.3,2025-08-14,NA,4,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","04-30",2001-04-30,3.9,3.77844765302719,14.3,1957-04-30,6.7,85.3,2025-08-14,NA,4,"Daily record reached in 1957","8205700","SYDNEY+A",1953,2026
"BUI","05-01",2001-05-01,5.42222222222222,4.52155332208351,15,1960-05-01,NA,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-02",2001-05-02,5.74444444444444,4.4110971172462,16,1960-05-02,NA,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-03",2001-05-03,5.2,3.50356960827097,17.2,1960-05-03,1.8,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-04",2001-05-04,5.27,3.76033390952334,19,1960-05-04,0.5,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-05",2001-05-05,6.14545454545455,3.74682896229962,20.8,1960-05-05,3,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-06",2001-05-06,5.80769230769231,4.45542020810262,23.8,1960-05-06,5.1,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-07",2001-05-07,5.90769230769231,4.89650581851684,25.9,1960-05-07,5.7,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-08",2001-05-08,5.53846153846154,5.9254449145948,28.3,1960-05-08,1.9,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-09",2001-05-09,7.225,6.94708899140823,23,1960-05-09,3.7,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-10",2001-05-10,5.25714285714286,3.91853863767413,24.9,1960-05-10,5.1,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-11",2001-05-11,4.00714285714286,3.65964779425862,26.4,1960-05-11,1.8,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-12",2001-05-12,5.17142857142857,3.93513338087475,27.8,1960-05-12,0.6,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-13",2001-05-13,6.21428571428571,4.42107838269512,29.2,1960-05-13,1.1,85.3,2025-08-14,NA,5,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","05-14",2001-05-14,6.13125,4.66815006185534,17.4,1999-05-14,3.1,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-15",2001-05-15,6.81875,5.64248393883403,18.9,1999-05-15,0.9,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-16",2001-05-16,7.85625,6.12241442025394,21.8,1999-05-16,1.6,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-17",2001-05-17,8.63529411764706,6.50998667207455,24.9,1999-05-17,4.1,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-18",2001-05-18,9.49411764705882,7.3398288968677,27.6,1999-05-18,6.4,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-19",2001-05-19,10.8833333333333,7.84431228943096,30.3,1999-05-19,6.6,85.3,2025-08-14,NA,5,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","05-20",2001-05-20,11.0588235294118,6.41843622149599,27.5,1979-05-20,5.5,85.3,2025-08-14,NA,5,"Daily record reached in 1979","8205700","SYDNEY+A",1953,2026
"BUI","05-21",2001-05-21,11.0111111111111,6.5357738538968,22.5,1989-05-21,7.1,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-22",2001-05-22,11.0222222222222,6.47761353618623,25.2,1989-05-22,8.6,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-23",2001-05-23,10.85,6.34417287057696,26.7,1989-05-23,9.9,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-24",2001-05-24,11.2944444444444,6.82870000738425,28.2,1989-05-24,13.4,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-25",2001-05-25,11.6333333333333,7.7257400178578,29.7,1989-05-25,16.5,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-26",2001-05-26,11.2111111111111,8.61830397460503,31.1,1989-05-26,6.6,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-27",2001-05-27,10.4315789473684,8.03063942601355,31.6,1989-05-27,7.2,85.3,2025-08-14,NA,5,"Daily record reached in 1989","8205700","SYDNEY+A",1953,2026
"BUI","05-28",2001-05-28,10.0052631578947,7.22875997389828,53.9,2024-05-28,7.7,85.3,2025-08-14,NA,5,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","05-29",2001-05-29,11.3684210526316,7.15984579532726,33.9,2024-05-29,NA,85.3,2025-08-14,NA,5,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","05-30",2001-05-30,12.6421052631579,7.48749444737124,35.9,2024-05-30,NA,85.3,2025-08-14,NA,5,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","05-31",2001-05-31,11.8473684210526,6.0695385529391,37.2,2024-05-31,1.4,85.3,2025-08-14,NA,5,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","06-01",2001-06-01,12.2,5.34415568635495,38.6,1959-06-01,2.7,85.3,2025-08-14,NA,6,"Daily record reached in 1959","8205700","SYDNEY+A",1953,2026
"BUI","06-02",2001-06-02,12.4315789473684,6.38757932167134,37.4,2024-06-02,3.5,85.3,2025-08-14,NA,6,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","06-03",2001-06-03,11.615,6.47515697838569,38.3,2024-06-03,NA,85.3,2025-08-14,NA,6,"Daily record reached in 2024","8205700","SYDNEY+A",1953,2026
"BUI","06-04",2001-06-04,11.2894736842105,7.94752894768361,33.9,1960-06-04,NA,85.3,2025-08-14,NA,6,"Daily record reached in 1960","8205700","SYDNEY+A",1953,2026
"BUI","06-05",2001-06-05,9.925,6.98689562869775,31.4,1999-06-05,NA,85.3,2025-08-14,NA,6,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","06-06",2001-06-06,10.025,7.85907956308799,33.4,1999-06-06,NA,85.3,2025-08-14,NA,6,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
"BUI","06-07",2001-06-07,7.925,7.73215262462701,35.1,1999-06-07,NA,85.3,2025-08-14,NA,6,"Daily record reached in 1999","8205700","SYDNEY+A",1953,2026
