"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,7.10666666666667,0,29.3,0,0.2,9.65,14.62,6,6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 6.0 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",84.4277673545966,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 6.0 mm<br>Anomaly: -1.1 mm<br>Percent of normal: <b>84%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>7.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.2 to 9.6 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 14.6 mm","8205702","SYDNEY+CS",2006,2026
"04-02",2001-04-02,9.22,0,39.5,0.2,0.45,12.3,20.92,1.4,7.4,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 1.4 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",80.2603036876356,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 7.4 mm<br>Anomaly: -1.8 mm<br>Percent of normal: <b>80%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>9.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.4 to 12.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.2 to 20.9 mm","8205702","SYDNEY+CS",2006,2026
"04-03",2001-04-03,12.1266666666667,0.5,39.5,0.8,1.35,15.45,33.98,8.2,15.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 8.2 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",128.642111050027,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 15.6 mm<br>Anomaly: +3.5 mm<br>Percent of normal: <b>129%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>12.1 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>1.4 to 15.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.8 to 34.0 mm","8205702","SYDNEY+CS",2006,2026
"04-04",2001-04-04,15.14,1.4,39.5,2.34,7.75,18.8,34.16,3.8,19.4,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 3.8 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",128.137384412153,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 19.4 mm<br>Anomaly: +4.3 mm<br>Percent of normal: <b>128%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>15.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>7.8 to 18.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>2.3 to 34.2 mm","8205702","SYDNEY+CS",2006,2026
"04-05",2001-04-05,19.14,1.4,55.3,4.74,10.45,21.35,34.28,13.7,33.1,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 13.7 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",172.936259143156,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 33.1 mm<br>Anomaly: +14.0 mm<br>Percent of normal: <b>173%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>19.1 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>10.4 to 21.4 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>4.7 to 34.3 mm","8205702","SYDNEY+CS",2006,2026
"04-06",2001-04-06,20.12,1.4,55.5,4.74,10.55,24,34.6,0.5,33.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.5 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",166.998011928429,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 33.6 mm<br>Anomaly: +13.5 mm<br>Percent of normal: <b>167%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>20.1 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>10.6 to 24.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>4.7 to 34.6 mm","8205702","SYDNEY+CS",2006,2026
"04-07",2001-04-07,26.28,8.4,55.5,11.28,17.6,33.2,39.62,0,33.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",127.853881278539,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 33.6 mm<br>Anomaly: +7.3 mm<br>Percent of normal: <b>128%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>26.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>17.6 to 33.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>11.3 to 39.6 mm","8205702","SYDNEY+CS",2006,2026
"04-08",2001-04-08,32.9933333333333,8.4,100.7,11.84,18.85,38.85,59.18,1,34.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 1.0 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",104.869670640533,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 34.6 mm<br>Anomaly: +1.6 mm<br>Percent of normal: <b>105%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>33.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>18.8 to 38.8 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>11.8 to 59.2 mm","8205702","SYDNEY+CS",2006,2026
"04-09",2001-04-09,35.28,8.6,102.9,13.08,21.55,39.55,68.24,0,34.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",98.0725623582766,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 34.6 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>98%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>35.3 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>21.6 to 39.5 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>13.1 to 68.2 mm","8205702","SYDNEY+CS",2006,2026
"04-10",2001-04-10,38.5066666666667,20.2,102.9,21.8,23.05,39.55,77.24,0,34.6,"NA (ECCC AES NA; station_id 44503)",NA,44503,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 44503)",89.8545706371191,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 34.6 mm<br>Anomaly: -3.9 mm<br>Percent of normal: <b>90%</b><br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>38.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>23.0 to 39.5 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>21.8 to 77.2 mm","8205702","SYDNEY+CS",2006,2026
