"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.83333333333333,-1.5,14.6,4.89061297161156,-0.78,1.5,7.4,11.74,-0.7,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2021-04-01,"DATE: Apr-01<br>Value: -0.7 °C<br>Anomaly: -5.5 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.8 to 11.7 °C","Historical daily maximum<br>14.6 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 4.8 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-01","TMIN",2001-04-01,-2.68666666666667,-8.3,7.1,3.97238083821397,-6.7,-5.55,-1.3,1.54,-2.8,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2016-04-01,"DATE: Apr-01<br>Value: -2.8 °C<br>Anomaly: -0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.7 to 1.5 °C","Historical daily maximum<br>7.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: -2.7 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-01","VPD",2001-04-01,0.385681192928459,0.0433743897697616,0.971287993186585,0.272206277911137,0.0944113948281051,0.141094577537215,0.519276463179415,0.71151042482525,0.083389878138851,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2006-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>1.0 kPa<br>2006-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-02","TMAX",2001-04-02,5.06,-1.9,12.3,4.77520381016051,-0.66,1.05,9.15,11.04,-1.8,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-02,"DATE: Apr-02<br>Value: -1.8 °C<br>Anomaly: -6.9 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.7 to 11.0 °C","Historical daily maximum<br>12.3 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 5.1 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-02","TMIN",2001-04-02,-2.52,-10.6,6.2,4.20292415213164,-7.14,-5.2,0.4,1.22,-8.2,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2021-04-02,"DATE: Apr-02<br>Value: -8.2 °C<br>Anomaly: -5.7 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.1 to 1.2 °C","Historical daily maximum<br>6.2 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: -2.5 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-02","VPD",2001-04-02,0.388148086404082,0.087652491747956,0.769087790889862,0.237690237429729,0.107043072132418,0.194085158858146,0.560289507841828,0.724454143233396,0.206078203651565,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>0.8 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-03","TMAX",2001-04-03,4.75333333333333,-0.3,21.7,6.14129659025876,-0.2,0.6,5.55,12.22,-0.2,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-03,"DATE: Apr-03<br>Value: -0.2 °C<br>Anomaly: -5.0 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.2 to 12.2 °C","Historical daily maximum<br>21.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 4.8 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-03","TMIN",2001-04-03,-3.03333333333333,-8,5.8,3.73586223871634,-6.72,-5.55,-1.55,1.7,-7.8,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-03,"DATE: Apr-03<br>Value: -7.8 °C<br>Anomaly: -4.8 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.7 to 1.7 °C","Historical daily maximum<br>5.8 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -3.0 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-03","VPD",2001-04-03,0.430873951135743,0.10060695438553,1.67372973685222,0.407306077011938,0.163374812276807,0.207228626609162,0.416887334584095,0.829635850057574,0.262350633238079,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-04","TMAX",2001-04-04,4.82666666666667,-3.4,19.7,5.74573962249629,-0.36,1.15,7.45,10.46,-0.1,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-04,"DATE: Apr-04<br>Value: -0.1 °C<br>Anomaly: -4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.4 to 10.5 °C","Historical daily maximum<br>19.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 4.8 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-04","TMIN",2001-04-04,-2.69333333333333,-8.1,2.1,2.79143247063138,-5.66,-4.55,-1.1,0.819999999999999,-7.1,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-04,"DATE: Apr-04<br>Value: -7.1 °C<br>Anomaly: -4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.7 to 0.8 °C","Historical daily maximum<br>2.1 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -2.7 °C<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
"04-04","VPD",2001-04-04,0.416637868833629,0.0815593565533267,1.58450097862314,0.376546804377318,0.117936530380941,0.165301186987074,0.468645798411539,0.70725733280192,0.247802114087604,"NA (ECCC AES NA; station_id 44503)",NA,44503,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 44503)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>1.6 kPa<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","8205702","SYDNEY+CS",2006,2026
