"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,8.4,NA,8.4,2012-04-01,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-02",2001-04-02,8.9,NA,8.9,2012-04-02,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-03",2001-04-03,7.95,1.62634559672906,9.1,2012-04-03,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-04",2001-04-04,NA,NA,0,2021-04-04,NA,109,2025-08-14,NA,4,"Daily record reached in 2021","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-05",2001-04-05,10.5,NA,10.5,2012-04-05,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-06",2001-04-06,12.35,1.34350288425444,13.3,2010-04-06,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-07",2001-04-07,13.15,1.20208152801713,14,2010-04-07,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-08",2001-04-08,9.65,8.1317279836453,15.4,2010-04-08,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-09",2001-04-09,6,1.69705627484771,7.2,2012-04-09,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-10",2001-04-10,8.45,2.20680764907139,11.2,2010-04-10,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-11",2001-04-11,9.25,3.13315602335196,12.7,2010-04-11,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-12",2001-04-12,8.28,4.70287146326582,13.9,2010-04-12,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-13",2001-04-13,8.25,4.92818424980235,14.9,2010-04-13,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-14",2001-04-14,9.025,4.22640509180083,14,2012-04-14,4.2,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-15",2001-04-15,9.975,5.97906068431043,16.8,2012-04-15,1.6,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-16",2001-04-16,11.12,5.49153894641566,18.2,2012-04-16,2.3,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-17",2001-04-17,11.02,5.18671379584415,18.8,2012-04-17,2.2,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-18",2001-04-18,10.04,6.60174219429993,20,2012-04-18,4.1,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-19",2001-04-19,8.65,8.59670479505568,21.3,2012-04-19,4.5,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-20",2001-04-20,9.65,9.78519289539046,23.6,2012-04-20,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-21",2001-04-21,10.8333333333333,8.75617877082616,25.3,2012-04-21,5,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-22",2001-04-22,11.6666666666667,8.64769718865472,25.8,2012-04-22,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-23",2001-04-23,10.1125,6.87405837707453,24.4,2012-04-23,NA,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-24",2001-04-24,7.62857142857143,4.18477967787803,13.1,2012-04-24,8.4,109,2025-08-14,NA,4,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-25",2001-04-25,7.175,3.80554107284928,13.6,2017-04-25,NA,109,2025-08-14,NA,4,"Daily record reached in 2017","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-26",2001-04-26,8.25714285714286,4.31078382000967,14.3,2017-04-26,10.5,109,2025-08-14,NA,4,"Daily record reached in 2017","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-27",2001-04-27,8.71428571428571,4.60413892471711,14.3,2010-04-27,NA,109,2025-08-14,NA,4,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-28",2001-04-28,6.8375,4.8934175904255,14.1,2026-04-28,14.1,109,2025-08-14,NA,4,"Daily record reached in 2026","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-29",2001-04-29,8.27142857142857,4.95066133148367,15.1,2026-04-29,15.1,109,2025-08-14,NA,4,"Daily record reached in 2026","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","04-30",2001-04-30,7.475,5.50058438453848,16.2,2009-04-30,16.1,109,2025-08-14,NA,4,"Daily record reached in 2009","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-01",2001-05-01,7.75,6.1803837143937,16.7,2009-05-01,NA,109,2025-08-14,NA,5,"Daily record reached in 2009","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-02",2001-05-02,7.62,5.71252036222969,18.7,2016-05-02,NA,109,2025-08-14,NA,5,"Daily record reached in 2016","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-03",2001-05-03,8,4.77586525028595,17.5,2009-05-03,8.9,109,2025-08-14,NA,5,"Daily record reached in 2009","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-04",2001-05-04,9.96,4.97174237287314,20.1,2009-05-04,5,109,2025-08-14,NA,5,"Daily record reached in 2009","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-05",2001-05-05,10.6909090909091,6.01306154058888,22.5,2009-05-05,8,109,2025-08-14,NA,5,"Daily record reached in 2009","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-06",2001-05-06,10.5272727272727,5.87181248152407,18.4,2010-05-06,10.1,109,2025-08-14,NA,5,"Daily record reached in 2010","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-07",2001-05-07,9.99166666666667,5.45168169772716,19.1,2015-05-07,4.3,109,2025-08-14,NA,5,"Daily record reached in 2015","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-08",2001-05-08,11.1166666666667,6.43256393577855,20.8,2015-05-08,2.8,109,2025-08-14,NA,5,"Daily record reached in 2015","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-09",2001-05-09,12.2416666666667,5.60234664036311,22,2015-05-09,4.8,109,2025-08-14,NA,5,"Daily record reached in 2015","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-10",2001-05-10,10.7384615384615,6.16908130134172,21.5,2015-05-10,7.3,109,2025-08-14,NA,5,"Daily record reached in 2015","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-11",2001-05-11,9.63076923076923,6.6212265499408,23.2,2015-05-11,3.4,109,2025-08-14,NA,5,"Daily record reached in 2015","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-12",2001-05-12,9.36153846153846,5.48460549501032,26.1,2022-05-12,1.4,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-13",2001-05-13,10.3583333333333,5.03396795116271,28,2022-05-13,2.8,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-14",2001-05-14,11.5307692307692,6.35405180644401,30.4,2022-05-14,5.1,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-15",2001-05-15,12.2214285714286,7.15500670014507,31.3,2022-05-15,2.3,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-16",2001-05-16,12.1928571428571,8.13099145110988,29.7,2022-05-16,5.2,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-17",2001-05-17,10.6928571428571,6.83998023903064,27.9,2022-05-17,7.6,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-18",2001-05-18,11.1214285714286,7.22124840809597,26.1,2014-05-18,10.6,109,2025-08-14,NA,5,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-19",2001-05-19,12.2785714285714,7.96735440806647,27.3,2014-05-19,13.2,109,2025-08-14,NA,5,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-20",2001-05-20,10.2214285714286,7.52811944761654,28.5,2014-05-20,16.7,109,2025-08-14,NA,5,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-21",2001-05-21,10.9357142857143,9.15730957657972,31.1,2014-05-21,18.8,109,2025-08-14,NA,5,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-22",2001-05-22,11.68,8.9319010934323,30.3,2022-05-22,20.9,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-23",2001-05-23,12.24,9.46375038917296,31.2,2022-05-23,23,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-24",2001-05-24,13.36,9.68118941925157,33.9,2022-05-24,26.4,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-25",2001-05-25,14.3266666666667,9.83364971242451,36.5,2022-05-25,27.7,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-26",2001-05-26,14.1133333333333,9.99348835611517,39.6,2022-05-26,16.5,109,2025-08-14,NA,5,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-27",2001-05-27,13.3866666666667,9.80756753493857,34.1,2016-05-27,10,109,2025-08-14,NA,5,"Daily record reached in 2016","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-28",2001-05-28,13.4333333333333,8.48887226791359,35.2,2023-05-28,5.6,109,2025-08-14,NA,5,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-29",2001-05-29,15.54,8.65462716866367,36,2023-05-29,3,109,2025-08-14,NA,5,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-30",2001-05-30,14.9933333333333,7.58075256975253,39,2023-05-30,3.7,109,2025-08-14,NA,5,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","05-31",2001-05-31,15.9928571428571,8.31055531660368,42.2,2023-05-31,4.2,109,2025-08-14,NA,5,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-01",2001-06-01,16.0642857142857,10.1025211737434,46.5,2023-06-01,5.7,109,2025-08-14,NA,6,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-02",2001-06-02,15.7733333333333,11.4600216072264,49.1,2023-06-02,7.2,109,2025-08-14,NA,6,"Daily record reached in 2023","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-03",2001-06-03,16.2133333333333,12.0335166850561,45.5,2014-06-03,5.6,109,2025-08-14,NA,6,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-04",2001-06-04,15.8857142857143,13.1136955504164,47.2,2014-06-04,10.9,109,2025-08-14,NA,6,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-05",2001-06-05,15.2533333333333,12.9792068141243,49.1,2014-06-05,13.9,109,2025-08-14,NA,6,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-06",2001-06-06,14.16,10.1004101755466,30.7,2012-06-06,17.2,109,2025-08-14,NA,6,"Daily record reached in 2012","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-07",2001-06-07,12.86,8.49275321334943,27.4,2022-06-07,18.3,109,2025-08-14,NA,6,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-08",2001-06-08,12.24,8.69563108693095,30.8,2022-06-08,10.4,109,2025-08-14,NA,6,"Daily record reached in 2022","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-09",2001-06-09,12.88,8.56197573994628,28.9,2014-06-09,12.7,109,2025-08-14,NA,6,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
"BUI","06-10",2001-06-10,13.8714285714286,8.64944894389042,33.1,2014-06-10,17,109,2025-08-14,NA,6,"Daily record reached in 2014","8204193","UPPER+STEWIACKE+RCS",2005,2026
