"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.94666666666667,-0.7,17.8,4.94265207391837,3.24,5,9.6,15.06,6.1,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2006-04-01,"DATE: Apr-01<br>Value: 6.1 °C<br>Anomaly: -1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>3.2 to 15.1 °C","Historical daily maximum<br>17.8 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: 7.9 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-01","TMIN",2001-04-01,-3.22666666666667,-10.8,9.1,5.70043440282865,-10.26,-7.1,-1.45,3.78,-1.7,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2016-04-01,"DATE: Apr-01<br>Value: -1.7 °C<br>Anomaly: +1.5 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.3 to 3.8 °C","Historical daily maximum<br>9.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: -3.2 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-01","VPD",2001-04-01,0.600565824959661,0.0759331964463299,1.4535384589674,0.293070784173151,0.423770554952703,0.510674629827998,0.645981283356824,0.820694986310968,0.402365774107945,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2006-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 0.8 kPa","Historical daily maximum<br>1.5 kPa<br>2006-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-02","TMAX",2001-04-02,7.08666666666667,1.4,19.5,4.8219537632829,2.44,2.9,9.95,10.8,3.6,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-02,"DATE: Apr-02<br>Value: 3.6 °C<br>Anomaly: -3.5 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.4 to 10.8 °C","Historical daily maximum<br>19.5 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 7.1 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-02","TMIN",2001-04-02,-2.36666666666667,-14.3,6.1,5.98327032729792,-9.62,-5.85,1.15,5.7,-2.6,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-02,"DATE: Apr-02<br>Value: -2.6 °C<br>Anomaly: -0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.6 to 5.7 °C","Historical daily maximum<br>6.1 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -2.4 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-02","VPD",2001-04-02,0.503050105784049,0.0972870990985529,1.32527697971142,0.322460600993537,0.160116067830938,0.266403366448019,0.698398438029144,0.759038614055277,0.28620506629763,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-03","TMAX",2001-04-03,7.31333333333333,1.1,22.1,5.37133485227258,3.04,4,7.25,13.72,1.1,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.1 °C<br>Anomaly: -6.2 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>3.0 to 13.7 °C","Historical daily maximum<br>22.1 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 7.3 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-03","TMIN",2001-04-03,-3.45333333333333,-9.4,4.1,3.78452991356478,-7.64,-5.95,-1.8,1.62,-2.4,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2009-04-03,"DATE: Apr-03<br>Value: -2.4 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.6 to 1.6 °C","Historical daily maximum<br>4.1 °C<br>2009-04-03","DATE: Apr-03</b><br>Normal: -3.5 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-03","VPD",2001-04-03,0.600320645353388,0.259095344782656,1.96945494749049,0.437383744020987,0.297604327261036,0.363686101449701,0.654139193502815,0.966144004221911,0.149465971121427,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: -0.5 kPa<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>2.0 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-04","TMAX",2001-04-04,8.28666666666667,0.2,25.1,6.28500104178497,0.960000000000001,4.45,10.45,13.52,3.6,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2010-04-04,"DATE: Apr-04<br>Value: 3.6 °C<br>Anomaly: -4.7 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>1.0 to 13.5 °C","Historical daily maximum<br>25.1 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 8.3 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
"04-04","TMIN",2001-04-04,-4.07333333333333,-8.6,3.3,3.33797771683623,-8.16,-6.25,-2.45,-0.220000000000001,-4.5,"NA (ECCC AES NA; station_id 44363)",NA,44363,"",4,2009-04-04,"DATE: Apr-04<br>Value: -4.5 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 44363)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.2 to -0.2 °C","Historical daily maximum<br>3.3 °C<br>2009-04-04","DATE: Apr-04</b><br>Normal: -4.1 °C<br>Period: 1991-2020","8204193","UPPER+STEWIACKE+RCS",2005,2026
