"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,4.5,NA,4.5,2012-04-01,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-02",2001-04-02,5.2,NA,5.2,2012-04-02,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-03",2001-04-03,5.8,NA,5.8,2012-04-03,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-04",2001-04-04,6.9,NA,6.9,2012-04-04,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-05",2001-04-05,7.8,NA,7.8,2012-04-05,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-06",2001-04-06,8.4,NA,8.4,2012-04-06,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-07",2001-04-07,9,NA,9,2012-04-07,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-08",2001-04-08,9.3,NA,9.3,2012-04-08,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-09",2001-04-09,9.7,NA,9.7,2012-04-09,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-10",2001-04-10,10.2,NA,10.2,2012-04-10,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-11",2001-04-11,10.6,NA,10.6,2012-04-11,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-12",2001-04-12,7.3,NA,7.3,2012-04-12,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-13",2001-04-13,7.8,NA,7.8,2012-04-13,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
"BUI","04-14",2001-04-14,10.4,NA,10.4,2012-04-14,NA,99.4,1997-07-27,NA,4,"Daily record reached in 2012","8206240","WESTERN+HEAD",1990,2026
