"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,214.5,2002-08-13,NA,4,"Daily record reached in NA","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-10",2001-04-10,NA,NA,13.9,2024-04-10,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2024","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-11",2001-04-11,NA,NA,16.2,2024-04-11,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2024","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-12",2001-04-12,NA,NA,18.6,2024-04-12,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2024","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-13",2001-04-13,NA,NA,20.8,2024-04-13,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2024","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-14",2001-04-14,NA,NA,18.6,2025-04-14,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-15",2001-04-15,NA,NA,21.6,2025-04-15,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-16",2001-04-16,NA,NA,24.8,2025-04-16,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-17",2001-04-17,NA,NA,27.6,2025-04-17,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-18",2001-04-18,13.8,NA,31.6,2025-04-18,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-19",2001-04-19,NA,NA,31.9,2025-04-19,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2025","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-20",2001-04-20,30.6,23.1931024229188,47,2015-04-20,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-21",2001-04-21,32.7,22.9102597104441,48.9,2015-04-21,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-22",2001-04-22,25.975,15.877106159499,49.6,2015-04-22,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-23",2001-04-23,27.9,15.0777982477549,50.5,2015-04-23,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-24",2001-04-24,29.875,14.6281406884129,51.8,2015-04-24,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-25",2001-04-25,26.1666666666667,14.1833235409289,53.5,2015-04-25,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
"BUI","04-26",2001-04-26,30.7,15.0421313079535,56.1,2015-04-26,NA,214.5,2002-08-13,NA,4,"Daily record reached in 2015","22010H0","DEADMEN+VALLEY",2001,2026
