"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-8.1,-15.5,2.2,5.51690044102578,-14.24,-12.75,-5.725,0.750000000000001,-8.2,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2024-04-01,"DATE: Apr-01<br>Value: -8.2 °C<br>Anomaly: -0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.2 to 0.8 °C","Historical daily maximum<br>2.2 °C<br>2024-04-01","DATE: Apr-01</b><br>Normal: -8.1 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-01","TMIN",2001-04-01,-19.9409090909091,-34.3,-7.9,7.34980784270414,-29.74,-26.075,-14.65,-12.07,-26.5,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2017-04-01,"DATE: Apr-01<br>Value: -26.5 °C<br>Anomaly: -6.6 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.7 to -12.1 °C","Historical daily maximum<br>-7.9 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -19.9 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-01","VPD",2001-04-01,0.212984797314804,0.0399595896451579,0.490719980022225,0.125580354726844,0.0960187831508822,0.143111292594392,0.282943904295933,0.414090647180771,0.259523602633953,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2018-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2018-04-01","DATE: Apr-01</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-02","TMAX",2001-04-02,-9.28636363636364,-15.1,4,4.85693372353435,-14.39,-12.125,-8.3,-2.23999999999999,-6.1,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2017-04-02,"DATE: Apr-02<br>Value: -6.1 °C<br>Anomaly: +3.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.4 to -2.2 °C","Historical daily maximum<br>4.0 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -9.3 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-02","TMIN",2001-04-02,-20.4909090909091,-33.3,-7.2,7.30328752398594,-28.88,-26.175,-16.65,-9.91999999999999,-18.8,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2017-04-02,"DATE: Apr-02<br>Value: -18.8 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-28.9 to -9.9 °C","Historical daily maximum<br>-7.2 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -20.5 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-02","VPD",2001-04-02,0.182649504501465,0.0909925347145635,0.457457657421308,0.0941285367412576,0.0951787625521971,0.116340242164702,0.195860300075644,0.280195165536795,0.249048966522298,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2017-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.5 kPa<br>2017-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-03","TMAX",2001-04-03,-7.70909090909091,-14.7,2.5,4.85464030259014,-13.05,-11.25,-3.8,-1.36,-8.8,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2006-04-03,"DATE: Apr-03<br>Value: -8.8 °C<br>Anomaly: -1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-13.0 to -1.4 °C","Historical daily maximum<br>2.5 °C<br>2006-04-03","DATE: Apr-03</b><br>Normal: -7.7 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-03","TMIN",2001-04-03,-19.8545454545455,-30.6,-9.4,6.04945706125192,-27.79,-23.3,-14.975,-11.73,-20.6,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2017-04-03,"DATE: Apr-03<br>Value: -20.6 °C<br>Anomaly: -0.7 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.8 to -11.7 °C","Historical daily maximum<br>-9.4 °C<br>2017-04-03","DATE: Apr-03</b><br>Normal: -19.9 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-03","VPD",2001-04-03,0.222033996180973,0.0887970150641472,0.638122790663301,0.122144216431431,0.101339121598924,0.167841527958072,0.252276593085704,0.339817768393536,0.195807269255684,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2006-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.6 kPa<br>2006-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-04","TMAX",2001-04-04,-7.16666666666667,-18,3.6,5.84031962595656,-15.2,-10.7,-3.4,-2.3,-12.3,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2001-04-04,"DATE: Apr-04<br>Value: -12.3 °C<br>Anomaly: -5.1 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-15.2 to -2.3 °C","Historical daily maximum<br>3.6 °C<br>2001-04-04","DATE: Apr-04</b><br>Normal: -7.2 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-04","TMIN",2001-04-04,-19.1761904761905,-30,-8.1,6.46899565326062,-27.6,-24.1,-15.7,-10.4,-25.6,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2025-04-04,"DATE: Apr-04<br>Value: -25.6 °C<br>Anomaly: -6.4 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.6 to -10.4 °C","Historical daily maximum<br>-8.1 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: -19.2 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-04","VPD",2001-04-04,0.235592646749061,0.0953888076849439,0.590495260635323,0.13203641060441,0.0979054394956081,0.124413322810674,0.357403436533382,0.36645755216808,0.161950935920463,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2001-04-04,"DATE: Apr-04<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2001-04-04","DATE: Apr-04</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-05","TMAX",2001-04-05,-5.86363636363636,-18.8,4.4,5.07369926606064,-13.77,-7.275,-3.675,-0.339999999999997,-4.6,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2010-04-05,"DATE: Apr-05<br>Value: -4.6 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-13.8 to -0.3 °C","Historical daily maximum<br>4.4 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -5.9 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
"04-05","TMIN",2001-04-05,-19.0363636363636,-29.9,-4.4,7.41000259973899,-29.41,-23.825,-13.75,-10.42,-28.2,"NA (ECCC AES NA; station_id 27749)",NA,27749,"",4,2010-04-05,"DATE: Apr-05<br>Value: -28.2 °C<br>Anomaly: -9.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27749)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.4 to -10.4 °C","Historical daily maximum<br>-4.4 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -19.0 °C<br>Period: 1991-2020","2201022","DELINE+CS",1999,2026
