"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-0.406666666666667,-16.1,11.2,7.32656636581173,-10.8,-3.75,3.8,8.78,-0.9,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1984-04-01,"DATE: Apr-01<br>Value: -0.9 °C<br>Anomaly: -0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-10.8 to 8.8 °C","Historical daily maximum<br>11.2 °C<br>1984-04-01","DATE: Apr-01</b><br>Normal: -0.4 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-01","TMIN",2001-04-01,-11.8266666666667,-30.1,1.4,8.38750850077511,-21.62,-18.6,-4.525,-1.76,-20.4,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,2005-04-01,"DATE: Apr-01<br>Value: -20.4 °C<br>Anomaly: -8.6 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-21.6 to -1.8 °C","Historical daily maximum<br>1.4 °C<br>2005-04-01","DATE: Apr-01</b><br>Normal: -11.8 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-01","VPD",2001-04-01,0.367336920711991,0.063503567498561,0.82775516179247,0.197744446936121,0.138471652607779,0.224982058577883,0.486230298659037,0.566092196397882,0.451573068926913,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1984-04-01,"DATE: Apr-01<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>0.8 kPa<br>1984-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-02","TMAX",2001-04-02,-0.98,-18.5,14.6,7.96450747443587,-9.71,-7,3.5,8.66000000000001,-1,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1993-04-02,"DATE: Apr-02<br>Value: -1.0 °C<br>Anomaly: 0.0 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-9.7 to 8.7 °C","Historical daily maximum<br>14.6 °C<br>1993-04-02","DATE: Apr-02</b><br>Normal: -1.0 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-02","TMIN",2001-04-02,-13.01,-29,-1.2,8.03674106193249,-23.99,-20.3,-6.25,-3.29,-17.7,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1992-04-02,"DATE: Apr-02<br>Value: -17.7 °C<br>Anomaly: -4.7 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-24.0 to -3.3 °C","Historical daily maximum<br>-1.2 °C<br>1992-04-02","DATE: Apr-02</b><br>Normal: -13.0 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-02","VPD",2001-04-02,0.389524038091365,0.053532321869241,1.1902726382591,0.267933709946672,0.138391756948733,0.207750320312664,0.472904801472251,0.745386022647777,0.415917757527926,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1993-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>1.2 kPa<br>1993-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-03","TMAX",2001-04-03,-0.13,-15.2,13.4,8.54965819038479,-11.65,-7.65,6.85,10.88,-0.7,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,2004-04-03,"DATE: Apr-03<br>Value: -0.7 °C<br>Anomaly: -0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-11.6 to 10.9 °C","Historical daily maximum<br>13.4 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -0.1 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-03","TMIN",2001-04-03,-14.1733333333333,-31.4,0.7,9.60042863027779,-27.77,-20.975,-6.275,-2.99,-6.3,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1999-04-03,"DATE: Apr-03<br>Value: -6.3 °C<br>Anomaly: +7.9 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.8 to -3.0 °C","Historical daily maximum<br>0.7 °C<br>1999-04-03","DATE: Apr-03</b><br>Normal: -14.2 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-03","VPD",2001-04-03,0.449662708458432,0.11767223687031,1.10979692048278,0.292826259656249,0.177385071055669,0.215491513393685,0.707095711018162,0.858068556038478,0.199005437695981,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-04","TMAX",2001-04-04,0.356666666666667,-11.4,12.1,7.6084201692115,-9.16,-5.6,7,10.17,-0.2,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1984-04-04,"DATE: Apr-04<br>Value: -0.2 °C<br>Anomaly: -0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-9.2 to 10.2 °C","Historical daily maximum<br>12.1 °C<br>1984-04-04","DATE: Apr-04</b><br>Normal: 0.4 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-04","TMIN",2001-04-04,-12.4433333333333,-28.4,2.2,9.26977600195586,-26.05,-20.15,-3.65,-2.67,-12.8,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,2004-04-04,"DATE: Apr-04<br>Value: -12.8 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-26.0 to -2.7 °C","Historical daily maximum<br>2.2 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -12.4 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-04","VPD",2001-04-04,0.41880693178118,0.0943714097337166,0.883472349570119,0.231078519749249,0.180663357994975,0.224830532696253,0.60790228949717,0.70311191927119,0.373792132195049,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1984-04-04,"DATE: Apr-04<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>1984-04-04","DATE: Apr-04</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-05","TMAX",2001-04-05,0.116666666666667,-13.4,11.5,7.26422900165639,-9.51,-5.75,6.7,9.54,-5,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1996-04-05,"DATE: Apr-05<br>Value: -5.0 °C<br>Anomaly: -5.1 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-9.5 to 9.5 °C","Historical daily maximum<br>11.5 °C<br>1996-04-05","DATE: Apr-05</b><br>Normal: 0.1 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-05","TMIN",2001-04-05,-12.9233333333333,-26.5,-1.5,8.79379418066821,-23.99,-22.225,-4.9,-2.74,-18.6,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1953-04-05,"DATE: Apr-05<br>Value: -18.6 °C<br>Anomaly: -5.7 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-24.0 to -2.7 °C","Historical daily maximum<br>-1.5 °C<br>1953-04-05","DATE: Apr-05</b><br>Normal: -12.9 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-05","VPD",2001-04-05,0.415440111396032,0.111175647657774,0.889913819876021,0.218496661534585,0.160469576448241,0.234932932109928,0.534210867682772,0.748694272195276,0.280566446579038,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,2011-04-05,"DATE: Apr-05<br>Value: 0.3 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>2011-04-05","DATE: Apr-05</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-06","TMAX",2001-04-06,1.26,-9.7,14.1,6.8218513009603,-6.51,-3.2,4.525,12.53,2.3,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1996-04-06,"DATE: Apr-06<br>Value: 2.3 °C<br>Anomaly: +1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.5 to 12.5 °C","Historical daily maximum<br>14.1 °C<br>1996-04-06","DATE: Apr-06</b><br>Normal: 1.3 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-06","TMIN",2001-04-06,-11.6233333333333,-25.3,-0.2,7.68530542920904,-22.61,-18.65,-4.85,-3.4,-19.8,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1987-04-06,"DATE: Apr-06<br>Value: -19.8 °C<br>Anomaly: -8.2 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>-22.6 to -3.4 °C","Historical daily maximum<br>-0.2 °C<br>1987-04-06","DATE: Apr-06</b><br>Normal: -11.6 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-06","VPD",2001-04-06,0.452076565463683,0.102342414235217,1.03752800234233,0.276638682519362,0.175395821834966,0.235501163557524,0.522325944085021,0.957478966037582,0.594136650097961,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1976-04-06,"DATE: Apr-06<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.0 kPa<br>1976-04-06","DATE: Apr-06</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-07","TMAX",2001-04-07,2.22333333333333,-9.1,13.3,6.58072856952383,-5.97,-2.525,7,10.49,4.1,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1976-04-07,"DATE: Apr-07<br>Value: 4.1 °C<br>Anomaly: +1.9 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.0 to 10.5 °C","Historical daily maximum<br>13.3 °C<br>1976-04-07","DATE: Apr-07</b><br>Normal: 2.2 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
"04-07","TMIN",2001-04-07,-9.72333333333333,-24.1,1.4,7.50180131625103,-20.56,-14.8,-4,-0.0799999999999997,-9.4,"NA (ECCC AES NA; station_id 53119)",NA,53119,"",4,1998-04-07,"DATE: Apr-07<br>Value: -9.4 °C<br>Anomaly: +0.3 °C<br>Weather station: NA (ECCC AES NA; station_id 53119)","DATE: Apr-07<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.6 to -0.1 °C","Historical daily maximum<br>1.4 °C<br>1998-04-07","DATE: Apr-07</b><br>Normal: -9.7 °C<br>Period: 1991-2020","2202200","FORT+SMITH+A",1953,2026
