"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-3.96470588235294,-17.5,9.2,7.18530976858954,-12.8,-9.6,0.9,4.24,-8.4,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2017-04-01,"DATE: Apr-01<br>Value: -8.4 °C<br>Anomaly: -4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-12.8 to 4.2 °C","Historical daily maximum<br>9.2 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -4.0 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-01","TMIN",2001-04-01,-14.6529411764706,-30.2,2.1,9.12298728809942,-23.66,-22.1,-8,-3.18,-21.8,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2017-04-01,"DATE: Apr-01<br>Value: -21.8 °C<br>Anomaly: -7.1 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-23.7 to -3.2 °C","Historical daily maximum<br>2.1 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -14.7 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-01","VPD",2001-04-01,0.264281609988694,0.0704664462765242,0.564662672523208,0.142538806881961,0.104779946160298,0.117222020123215,0.374923879550495,0.421842166115439,0.217629417287092,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2021-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-02","TMAX",2001-04-02,-6.39411764705882,-19.3,9.2,8.31019483738463,-17.22,-12.1,-0.5,2.92,-9.1,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2006-04-02,"DATE: Apr-02<br>Value: -9.1 °C<br>Anomaly: -2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-17.2 to 2.9 °C","Historical daily maximum<br>9.2 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: -6.4 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-02","TMIN",2001-04-02,-15.9823529411765,-30.4,-3.4,8.38937090118485,-24.4,-23.7,-9.3,-4.58,-23.1,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2017-04-02,"DATE: Apr-02<br>Value: -23.1 °C<br>Anomaly: -7.1 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-24.4 to -4.6 °C","Historical daily maximum<br>-3.4 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -16.0 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-02","VPD",2001-04-02,0.232392281648794,0.0349745364216951,0.914249612929081,0.221678087779014,0.0792366145528552,0.107457067304157,0.313287230870452,0.466303103636726,0.211914950687633,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2006-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.9 kPa<br>2006-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-03","TMAX",2001-04-03,-5.18235294117647,-19.9,11.5,9.7256899044565,-13,-12.3,1.2,9.62,-7.1,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2004-04-03,"DATE: Apr-03<br>Value: -7.1 °C<br>Anomaly: -1.9 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-13.0 to 9.6 °C","Historical daily maximum<br>11.5 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -5.2 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-03","TMIN",2001-04-03,-17.2529411764706,-31.8,-1.4,9.67103391881259,-27.92,-27.1,-8.7,-3.78,-22.3,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2004-04-03,"DATE: Apr-03<br>Value: -22.3 °C<br>Anomaly: -5.0 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.9 to -3.8 °C","Historical daily maximum<br>-1.4 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -17.3 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-03","VPD",2001-04-03,0.319077193481929,0.0835086276191814,1.08566165380015,0.293751587605825,0.0940175830186086,0.121530702391782,0.359426480901447,0.717675757668566,0.256716126751984,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2012-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.7 kPa","Historical daily maximum<br>1.1 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-04","TMAX",2001-04-04,-5.55882352941176,-15.9,6.6,7.16502432162039,-15.36,-10.7,-1.2,3.3,-1.7,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2025-04-04,"DATE: Apr-04<br>Value: -1.7 °C<br>Anomaly: +3.9 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-15.4 to 3.3 °C","Historical daily maximum<br>6.6 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: -5.6 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
"04-04","TMIN",2001-04-04,-15.8235294117647,-28.9,-2,7.97562923942092,-24.84,-23.1,-9.4,-7.22,-22.2,"NA (ECCC AES NA; station_id 41885)",NA,41885,"",4,2004-04-04,"DATE: Apr-04<br>Value: -22.2 °C<br>Anomaly: -6.4 °C<br>Weather station: NA (ECCC AES NA; station_id 41885)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-24.8 to -7.2 °C","Historical daily maximum<br>-2.0 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -15.8 °C<br>Period: 1991-2020","2202402","HAY+RIVER+CLIMATE",2003,2026
