"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-14",2001-04-14,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-15",2001-04-15,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-16",2001-04-16,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-17",2001-04-17,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-18",2001-04-18,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-19",2001-04-19,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-20",2001-04-20,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-21",2001-04-21,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-22",2001-04-22,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-23",2001-04-23,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-24",2001-04-24,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-25",2001-04-25,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-26",2001-04-26,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-27",2001-04-27,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-28",2001-04-28,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-29",2001-04-29,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","04-30",2001-04-30,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,4,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","05-01",2001-05-01,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,5,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","05-02",2001-05-02,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,5,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","05-03",2001-05-03,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,5,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","05-04",2001-05-04,NA,NA,NA,NA,NA,164.1,2014-07-26,NA,5,"Daily record reached in NA","2203359","RAE+LAKES",1994,2026
"BUI","05-05",2001-05-05,NA,NA,15.2,2023-05-05,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-06",2001-05-06,8,NA,19.8,2023-05-06,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-07",2001-05-07,9.1,NA,24.6,2023-05-07,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-08",2001-05-08,10.3,NA,27.9,2023-05-08,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-09",2001-05-09,11,NA,28.9,2023-05-09,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-10",2001-05-10,12.9,NA,31.1,2023-05-10,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-11",2001-05-11,13.8,NA,35.7,2023-05-11,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-12",2001-05-12,14.6,NA,41.2,2023-05-12,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-13",2001-05-13,13.8,0.989949493661167,45.2,2023-05-13,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-14",2001-05-14,15.65,2.75771644662754,49.6,2023-05-14,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-15",2001-05-15,17.5,3.11126983722081,52.4,2023-05-15,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-16",2001-05-16,18.6666666666667,2.93995464817628,57,2023-05-16,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-17",2001-05-17,21.0666666666667,3.1374086972107,61.8,2023-05-17,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-18",2001-05-18,21.6333333333333,4.64901423242964,64.5,2023-05-18,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-19",2001-05-19,20.84,6.54889303623139,65.6,2023-05-19,NA,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-20",2001-05-20,23.22,7.5998026290161,67.6,2023-05-20,16.2,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-21",2001-05-21,23.2833333333333,9.16633332727251,70.8,2023-05-21,20.1,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-22",2001-05-22,24.6333333333333,10.2718385241721,72.8,2023-05-22,23.9,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-23",2001-05-23,26.4666666666667,10.6949832476104,76.5,2023-05-23,27.4,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-24",2001-05-24,26.8285714285714,11.807584326146,79.5,2023-05-24,15.2,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-25",2001-05-25,27.0625,13.0358776897782,81.9,2023-05-25,13.6,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-26",2001-05-26,26.64,13.2983039854295,83,2023-05-26,14.2,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-27",2001-05-27,28.3454545454545,13.4140496224193,83.5,2023-05-27,18.3,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-28",2001-05-28,29.1833333333333,14.4385741762275,85.6,2023-05-28,19.3,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-29",2001-05-29,31.3166666666667,14.406238126926,87.3,2023-05-29,21.3,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-30",2001-05-30,32.7923076923077,15.0420223340293,89,2023-05-30,10.8,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","05-31",2001-05-31,36.1153846153846,15.282934172569,82.5,2023-05-31,15.2,164.1,2014-07-26,NA,5,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-01",2001-06-01,36.6266666666667,16.2172072048121,86.9,2023-06-01,21.7,164.1,2014-07-26,NA,6,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-02",2001-06-02,36.6333333333333,16.2881493584695,91.7,2023-06-02,29.2,164.1,2014-07-26,NA,6,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-03",2001-06-03,37.7,18.4722571905624,95.7,2023-06-03,35.7,164.1,2014-07-26,NA,6,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-04",2001-06-04,36.45625,21.4911755146153,99.2,2023-06-04,39.4,164.1,2014-07-26,NA,6,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-05",2001-06-05,36.74375,24.1276596116021,103.4,2023-06-05,23.2,164.1,2014-07-26,NA,6,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","06-06",2001-06-06,39.2647058823529,23.7593913320731,87.1,1998-06-06,26.5,164.1,2014-07-26,NA,6,"Daily record reached in 1998","2203359","RAE+LAKES",1994,2026
"BUI","06-07",2001-06-07,40.9058823529412,22.8159064741091,85.6,2012-06-07,30.5,164.1,2014-07-26,NA,6,"Daily record reached in 2012","2203359","RAE+LAKES",1994,2026
"BUI","06-08",2001-06-08,42.3888888888889,22.663053345216,89,2012-06-08,35.1,164.1,2014-07-26,NA,6,"Daily record reached in 2012","2203359","RAE+LAKES",1994,2026
"BUI","06-09",2001-06-09,41.715,23.7465847960014,92.9,2012-06-09,38,164.1,2014-07-26,NA,6,"Daily record reached in 2012","2203359","RAE+LAKES",1994,2026
"BUI","06-10",2001-06-10,43.73,24.3974782993739,95.9,2012-06-10,40.8,164.1,2014-07-26,NA,6,"Daily record reached in 2012","2203359","RAE+LAKES",1994,2026
"BUI","06-11",2001-06-11,43.015,18.3885054199341,93.9,2024-06-11,44.5,164.1,2014-07-26,NA,6,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","06-12",2001-06-12,43.605,18.833019016163,87.1,2000-06-12,48.7,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-13",2001-06-13,45.36,19.893490075108,91.5,2000-06-13,52.9,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-14",2001-06-14,47.92,21.0521307835173,96,2000-06-14,59.4,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-15",2001-06-15,49.27,21.2659871749777,100.6,2000-06-15,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-16",2001-06-16,52.32,21.7245337906491,106.2,2000-06-16,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-17",2001-06-17,55.5,22.5043855375136,110.6,2000-06-17,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-18",2001-06-18,56.725,23.1975242553801,114.1,2000-06-18,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-19",2001-06-19,55.0952380952381,26.7112612242566,118.5,2000-06-19,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-20",2001-06-20,56.4714285714286,25.6858938496822,108.6,2000-06-20,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-21",2001-06-21,57.7045454545455,27.0494692716657,113.4,2000-06-21,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-22",2001-06-22,61.4238095238095,27.1278252862611,118.3,2000-06-22,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","06-23",2001-06-23,60.5095238095238,26.4830116256045,102.4,2025-06-23,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","06-24",2001-06-24,62.4190476190476,27.4600003468248,106.3,2025-06-24,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","06-25",2001-06-25,65.4285714285714,28.0819896527497,110.9,2012-06-25,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2012","2203359","RAE+LAKES",1994,2026
"BUI","06-26",2001-06-26,64.3619047619048,27.9346286209514,114.6,2025-06-26,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","06-27",2001-06-27,65.4476190476191,28.9703058155695,118.8,2024-06-27,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","06-28",2001-06-28,67.9809523809524,29.6969462916243,123.9,2024-06-28,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","06-29",2001-06-29,67.9380952380952,29.0030425333356,128.2,2024-06-29,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","06-30",2001-06-30,64.4727272727273,30.2925762054034,132.6,2024-06-30,NA,164.1,2014-07-26,NA,6,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","07-01",2001-07-01,65.9227272727273,33.235436220685,137.4,2024-07-01,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","07-02",2001-07-02,66.2454545454545,34.3103722658564,140.5,2024-07-02,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","07-03",2001-07-03,66.7454545454545,35.0553810457074,143.6,2024-07-03,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","07-04",2001-07-04,64.5454545454546,31.1817823381466,140.3,2025-07-04,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-05",2001-07-05,63.7090909090909,30.3443084659555,142.3,2024-07-05,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","07-06",2001-07-06,65.6045454545455,30.0721113844187,145.2,2025-07-06,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-07",2001-07-07,65.7909090909091,28.4285220474239,149.2,2025-07-07,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-08",2001-07-08,66.9045454545455,27.8840537681567,153.6,2022-07-08,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2022","2203359","RAE+LAKES",1994,2026
"BUI","07-09",2001-07-09,70.7238095238095,28.9862364711583,157.2,2022-07-09,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2022","2203359","RAE+LAKES",1994,2026
"BUI","07-10",2001-07-10,71.7666666666667,27.5443521131526,159.9,2022-07-10,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2022","2203359","RAE+LAKES",1994,2026
"BUI","07-11",2001-07-11,73.3809523809524,28.2724003057331,163,2022-07-11,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2022","2203359","RAE+LAKES",1994,2026
"BUI","07-12",2001-07-12,68.0047619047619,27.8173592598305,143.4,2025-07-12,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-13",2001-07-13,67.1666666666667,28.5596626964209,146,2025-07-13,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-14",2001-07-14,66.3666666666667,27.939458357909,150.2,2025-07-14,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-15",2001-07-15,64.7380952380952,28.0305097383276,154.6,2025-07-15,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-16",2001-07-16,65.652380952381,30.014523468608,158.8,2025-07-16,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2025","2203359","RAE+LAKES",1994,2026
"BUI","07-17",2001-07-17,67.1333333333333,29.382789747288,125,2014-07-17,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-18",2001-07-18,67.2523809523809,29.3353476040019,127.8,2014-07-18,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-19",2001-07-19,68.0285714285714,27.8620556107611,132,2014-07-19,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-20",2001-07-20,69.1142857142857,27.3668281997437,137.4,2014-07-20,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-21",2001-07-21,71.1380952380952,28.3423089424711,141.3,2014-07-21,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-22",2001-07-22,70.5619047619047,28.8367903240024,145.5,2014-07-22,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-23",2001-07-23,71.7571428571429,30.5252284418736,150.9,2014-07-23,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-24",2001-07-24,72.3571428571429,31.3384040983036,155.9,2014-07-24,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-25",2001-07-25,73.4238095238095,32.3794673328933,161.1,2014-07-25,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-26",2001-07-26,74.0619047619048,31.944678370434,164.1,2014-07-26,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-27",2001-07-27,74.4809523809524,28.8109461671709,135,2014-07-27,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-28",2001-07-28,71.947619047619,31.1276182681493,140,2000-07-28,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","07-29",2001-07-29,72.1857142857143,32.8541821647456,142.7,2014-07-29,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-30",2001-07-30,71.0190476190476,32.2804525843059,143.8,2014-07-30,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","07-31",2001-07-31,70.8761904761905,30.9575338934145,133.5,2000-07-31,NA,164.1,2014-07-26,NA,7,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","08-01",2001-08-01,67.8954545454545,34.1628798450505,138.5,2000-08-01,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","08-02",2001-08-02,64.2636363636364,34.3970589198795,139.9,2000-08-02,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","08-03",2001-08-03,66.3227272727273,35.752454884987,143.5,2000-08-03,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","08-04",2001-08-04,67.9318181818182,37.297228115615,147.7,2000-08-04,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2000","2203359","RAE+LAKES",1994,2026
"BUI","08-05",2001-08-05,65.5545454545455,33.4890277308103,138,2014-08-05,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2014","2203359","RAE+LAKES",1994,2026
"BUI","08-06",2001-08-06,63.6590909090909,32.0782177852364,128.8,2006-08-06,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2006","2203359","RAE+LAKES",1994,2026
"BUI","08-07",2001-08-07,59.2272727272727,31.9130840732283,135.3,2024-08-07,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-08",2001-08-08,56.7227272727273,33.3599407875771,139.4,2024-08-08,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-09",2001-08-09,55.5136363636364,31.0586127224386,143.1,2024-08-09,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-10",2001-08-10,51.1636363636364,27.56594768662,147.6,2024-08-10,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-11",2001-08-11,47.5409090909091,27.9818250381838,150.8,2024-08-11,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-12",2001-08-12,48.3545454545455,28.6454139481303,153.3,2024-08-12,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2024","2203359","RAE+LAKES",1994,2026
"BUI","08-13",2001-08-13,46.8136363636364,29.9039143074797,136.2,2023-08-13,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","08-14",2001-08-14,44.2818181818182,27.7082012332886,138.3,2023-08-14,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","08-15",2001-08-15,43.25,25.7987771950902,139.7,2023-08-15,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","08-16",2001-08-16,44.2318181818182,25.3135835239207,142.7,2023-08-16,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
"BUI","08-17",2001-08-17,43.2727272727273,24.3439281921969,144.3,2023-08-17,NA,164.1,2014-07-26,NA,8,"Daily record reached in 2023","2203359","RAE+LAKES",1994,2026
