"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-6.4,-16.3,0.4,5.56554526687611,-14.82,-9.625,-1.875,-0.34,-9.2,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2000-04-01,"DATE: Apr-01<br>Value: -9.2 °C<br>Anomaly: -2.8 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.8 to -0.3 °C","Historical daily maximum<br>0.4 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: -6.4 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-01","TMIN",2001-04-01,-21.3722222222222,-33.6,-7.8,7.91467776874122,-29.23,-27.7,-15.65,-9.94,-28.9,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2011-04-01,"DATE: Apr-01<br>Value: -28.9 °C<br>Anomaly: -7.5 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.2 to -9.9 °C","Historical daily maximum<br>-7.8 °C<br>2011-04-01","DATE: Apr-01</b><br>Normal: -21.4 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-01","VPD",2001-04-01,0.270749221755333,0.0806615097589841,0.522933814868479,0.139706557027504,0.114866501464935,0.141579355007176,0.346014351242174,0.482093645902599,0.248669003429836,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2008-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.5 kPa<br>2008-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-02","TMAX",2001-04-02,-8.70555555555556,-17.8,1.7,4.94457185706439,-14.03,-12.525,-6,-2.64,-8.2,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2006-04-02,"DATE: Apr-02<br>Value: -8.2 °C<br>Anomaly: +0.5 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.0 to -2.6 °C","Historical daily maximum<br>1.7 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: -8.7 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-02","TMIN",2001-04-02,-24.8222222222222,-35.4,-10.3,7.32791243490223,-32.72,-29.975,-20.875,-14.87,-26.6,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2010-04-02,"DATE: Apr-02<br>Value: -26.6 °C<br>Anomaly: -1.8 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-32.7 to -14.9 °C","Historical daily maximum<br>-10.3 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -24.8 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-02","VPD",2001-04-02,0.238777596466999,0.105830164593133,0.577417307507769,0.133477767185937,0.125597659655027,0.144670730474685,0.285550545670499,0.436004415807358,0.260163457823666,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2006-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2006-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-03","TMAX",2001-04-03,-6.1,-15.7,0.3,4.81126129971317,-14.43,-7.45,-2.525,-1.38,-7,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2000-04-03,"DATE: Apr-03<br>Value: -7.0 °C<br>Anomaly: -0.9 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.4 to -1.4 °C","Historical daily maximum<br>0.3 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: -6.1 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-03","TMIN",2001-04-03,-23.7444444444444,-35.6,-11.6,7.73549665482004,-32.12,-29.475,-16.725,-13.16,-17.7,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2004-04-03,"DATE: Apr-03<br>Value: -17.7 °C<br>Anomaly: +6.0 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-32.1 to -13.2 °C","Historical daily maximum<br>-11.6 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -23.7 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-03","VPD",2001-04-03,0.298817080112081,0.117358289010889,0.465639059085662,0.109118953086493,0.160498281059039,0.225217137345826,0.388692016721932,0.421854397164644,0.209515340030447,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2001-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2001-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
"04-04","TMAX",2001-04-04,-4.9,-15.2,9.3,7.16815875940258,-12.7,-10.6,-0.8,4.14,-8.3,"GAMETI (ECCC AES 2203359; station_id 10926)","2203359",10926,"GAMETI",4,2001-04-04,"DATE: Apr-04<br>Value: -8.3 °C<br>Anomaly: -3.4 °C<br>Weather station: GAMETI (ECCC AES 2203359; station_id 10926)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-12.7 to 4.1 °C","Historical daily maximum<br>9.3 °C<br>2001-04-04","DATE: Apr-04</b><br>Normal: -4.9 °C<br>Period: 1991-2020","2203359","RAE+LAKES",2000,2026
