"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-17.7625,-26.8,-9.5,4.70169372812006,-22.7,-21.3,-14.95,-11.15,-18.7,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,2025-04-01,"DATE: Apr-01<br>Value: -18.7 °C<br>Anomaly: -0.9 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-22.7 to -11.2 °C","Historical daily maximum<br>-9.5 °C<br>2025-04-01","DATE: Apr-01</b><br>Normal: -17.8 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-01","TMIN",2001-04-01,-26.2958333333333,-36.8,-17.2,4.80556553851131,-30.84,-29.375,-23.1,-19.36,-28.5,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,2025-04-01,"DATE: Apr-01<br>Value: -28.5 °C<br>Anomaly: -2.2 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.8 to -19.4 °C","Historical daily maximum<br>-17.2 °C<br>2025-04-01","DATE: Apr-01</b><br>Normal: -26.3 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-01","VPD",2001-04-01,0.0843322912780087,0.0388137094316698,0.182026337625593,0.0406245579824905,0.0417491630577337,0.0462295463077572,0.11145005557608,0.126536060014338,0.0815795067853294,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,2025-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: 0.0 kPa<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.1 kPa","Historical daily maximum<br>0.2 kPa<br>2025-04-01","DATE: Apr-01</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-02","TMAX",2001-04-02,-15.95,-28.6,-0.5,5.63614114057852,-22.15,-19.375,-12.55,-10.9,-18.2,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-02,"DATE: Apr-02<br>Value: -18.2 °C<br>Anomaly: -2.2 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-22.1 to -10.9 °C","Historical daily maximum<br>-0.5 °C<br>1998-04-02","DATE: Apr-02</b><br>Normal: -15.9 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-02","TMIN",2001-04-02,-25.0208333333333,-33.6,-15.1,4.59053650048868,-31.02,-27.2,-22.375,-19.02,-23.8,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-02,"DATE: Apr-02<br>Value: -23.8 °C<br>Anomaly: +1.2 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-31.0 to -19.0 °C","Historical daily maximum<br>-15.1 °C<br>1998-04-02","DATE: Apr-02</b><br>Normal: -25.0 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-02","VPD",2001-04-02,0.108128100886439,0.0219103437613131,0.400039880277577,0.0753379218382093,0.0425402226947436,0.0717475050562369,0.117204199896428,0.174825016082346,0.0564187615966592,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.2 kPa","Historical daily maximum<br>0.4 kPa<br>1998-04-02","DATE: Apr-02</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-03","TMAX",2001-04-03,-15.475,-24.9,-2.5,5.1082414229148,-21.61,-18.125,-14.35,-8.5,-17.2,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-03,"DATE: Apr-03<br>Value: -17.2 °C<br>Anomaly: -1.7 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-21.6 to -8.5 °C","Historical daily maximum<br>-2.5 °C<br>1998-04-03","DATE: Apr-03</b><br>Normal: -15.5 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-03","TMIN",2001-04-03,-24.8125,-34,-15.4,4.24871463938878,-28.75,-27.25,-22.875,-19.62,-21.8,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,2008-04-03,"DATE: Apr-03<br>Value: -21.8 °C<br>Anomaly: +3.0 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-28.7 to -19.6 °C","Historical daily maximum<br>-15.4 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -24.8 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-03","VPD",2001-04-03,0.111720332777622,0.0374528540898206,0.338747787947028,0.0706650040549913,0.0486010105517379,0.0690349300447714,0.120925365876483,0.195574060150924,0.0519531106907078,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.2 kPa","Historical daily maximum<br>0.3 kPa<br>1998-04-03","DATE: Apr-03</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-04","TMAX",2001-04-04,-14.4541666666667,-24.2,0.7,6.13556837427164,-21.56,-18.575,-10.75,-8.96,-13.6,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-04,"DATE: Apr-04<br>Value: -13.6 °C<br>Anomaly: +0.9 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-21.6 to -9.0 °C","Historical daily maximum<br>0.7 °C<br>1998-04-04","DATE: Apr-04</b><br>Normal: -14.5 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-04","TMIN",2001-04-04,-25.0958333333333,-37.2,-9.3,5.84952463075395,-29.12,-28.425,-22.8,-18.93,-25.3,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-04,"DATE: Apr-04<br>Value: -25.3 °C<br>Anomaly: -0.2 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.1 to -18.9 °C","Historical daily maximum<br>-9.3 °C<br>1998-04-04","DATE: Apr-04</b><br>Normal: -25.1 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-04","VPD",2001-04-04,0.133779282806075,0.0247563799103449,0.376078004704114,0.086756854366188,0.0514808603437099,0.0792660557540995,0.160224832013939,0.221713620252995,0.135982957138042,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,2008-04-04,"DATE: Apr-04<br>Value: 0.1 kPa<br>Anomaly: +0.0 kPa<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.2 kPa","Historical daily maximum<br>0.4 kPa<br>2008-04-04","DATE: Apr-04</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
"04-05","TMAX",2001-04-05,-13.4625,-26.5,1.7,6.42852424068258,-18.01,-16.325,-9.55,-5.33,-10.6,"TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","2203914",26987,"TUKTOYAKTUK",4,1998-04-05,"DATE: Apr-05<br>Value: -10.6 °C<br>Anomaly: +2.9 °C<br>Weather station: TUKTOYAKTUK (ECCC AES 2203914; station_id 26987)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-18.0 to -5.3 °C","Historical daily maximum<br>1.7 °C<br>1998-04-05","DATE: Apr-05</b><br>Normal: -13.5 °C<br>Period: 1991-2020","2203914","TUKTOYAKTUK",1995,2026
