"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-5.43793103448276,-17.2,7.6,6.64048265205299,-14.18,-11.2,-1.1,2.44,-6.1,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2017-04-01,"DATE: Apr-01<br>Value: -6.1 °C<br>Anomaly: -0.7 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-14.2 to 2.4 °C","Historical daily maximum<br>7.6 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -5.4 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-01","TMIN",2001-04-01,-17.9,-30.4,-3.2,8.10665511434014,-27.02,-24.6,-12.7,-5.48,-21.7,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2011-04-01,"DATE: Apr-01<br>Value: -21.7 °C<br>Anomaly: -3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.0 to -5.5 °C","Historical daily maximum<br>-3.2 °C<br>2011-04-01","DATE: Apr-01</b><br>Normal: -17.9 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-01","VPD",2001-04-01,0.2699452994284,0.0648068538552384,0.606450254087919,0.147357440220915,0.0980647014608011,0.156867284759557,0.32605313191124,0.465759622305929,0.279868331772455,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2017-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2017-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-02","TMAX",2001-04-02,-7.35,-21.1,6.6,6.78826319770966,-15.44,-12.35,-2.5,1.67,-3.6,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,1999-04-02,"DATE: Apr-02<br>Value: -3.6 °C<br>Anomaly: +3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-15.4 to 1.7 °C","Historical daily maximum<br>6.6 °C<br>1999-04-02","DATE: Apr-02</b><br>Normal: -7.3 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-02","TMIN",2001-04-02,-19.0866666666667,-35.3,-1.5,8.20658832609648,-27.76,-25.4,-12.5,-8.88,-23.6,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,1999-04-02,"DATE: Apr-02<br>Value: -23.6 °C<br>Anomaly: -4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.8 to -8.9 °C","Historical daily maximum<br>-1.5 °C<br>1999-04-02","DATE: Apr-02</b><br>Normal: -19.1 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-02","VPD",2001-04-02,0.229309275194664,0.070194657094395,0.573709746430753,0.114673117864812,0.115487649130903,0.148454356320476,0.26888271921247,0.372909037967475,0.377425712667939,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,1998-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>1998-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-03","TMAX",2001-04-03,-5.93,-17.4,6.1,6.57488166931674,-13.57,-11.075,-1.85,2.83,-1,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2012-04-03,"DATE: Apr-03<br>Value: -1.0 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-13.6 to 2.8 °C","Historical daily maximum<br>6.1 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: -5.9 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-03","TMIN",2001-04-03,-19.3433333333333,-36.7,-5.6,8.73205285866026,-30.32,-24.9,-12.75,-7.79,-18.4,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,1953-04-03,"DATE: Apr-03<br>Value: -18.4 °C<br>Anomaly: +0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.3 to -7.8 °C","Historical daily maximum<br>-5.6 °C<br>1953-04-03","DATE: Apr-03</b><br>Normal: -19.3 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-03","VPD",2001-04-03,0.271764905478698,0.10372842180121,0.788473769479448,0.154301619489964,0.128999925860931,0.160225000246432,0.31235864250452,0.505603164058811,0.424713754909181,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2012-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.8 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-04","TMAX",2001-04-04,-4.74333333333333,-18.2,7.7,6.54394604845253,-12.16,-9.875,-0.625,3.2,-3.6,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2010-04-04,"DATE: Apr-04<br>Value: -3.6 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-12.2 to 3.2 °C","Historical daily maximum<br>7.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -4.7 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
"04-04","TMIN",2001-04-04,-17.45,-33,-2.5,8.04940563237328,-27.35,-23.525,-10.525,-8.3,-20.2,"NA (ECCC AES NA; station_id 51058)",NA,51058,"",4,2004-04-04,"DATE: Apr-04<br>Value: -20.2 °C<br>Anomaly: -2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 51058)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-27.3 to -8.3 °C","Historical daily maximum<br>-2.5 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -17.4 °C<br>Period: 1991-2020","2204100","YELLOWKNIFE+A",1953,2026
