"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.11875,0,5.2,0,0,1.45,2.9,0,0,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 1.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 2.9 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-02",2001-04-02,1.98125,0,6.8,0,0.525,3.3,4.3,0,0,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.0 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.5 to 3.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 4.3 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-03",2001-04-03,2.75625,0,8.4,0,0.675,5.5,6.45,0.5,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.5 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",18.140589569161,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -2.3 mm<br>Percent of normal: <b>18%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.8 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.7 to 5.5 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 6.4 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-04",2001-04-04,3.825,0,12.3,0,0.675,6.15,8.15,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",13.0718954248366,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -3.3 mm<br>Percent of normal: <b>13%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.7 to 6.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 8.2 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-05",2001-04-05,7.28125,0,39,0.15,1.85,7.975,13.7,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",6.86695278969957,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -6.8 mm<br>Percent of normal: <b>7%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>7.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>1.8 to 8.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.1 to 13.7 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-06",2001-04-06,8.86875,0,44.4,0.15,1.85,10.075,17.65,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",5.63777307963354,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -8.4 mm<br>Percent of normal: <b>6%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>8.9 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>1.8 to 10.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.1 to 17.6 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-07",2001-04-07,10.20625,0,48.2,0.15,2.725,10.925,21.45,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",4.89895897121862,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -9.7 mm<br>Percent of normal: <b>5%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>10.2 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>2.7 to 10.9 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.1 to 21.5 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-08",2001-04-08,11.76875,0,48.4,0.15,3.175,13.025,29.7,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",4.24853956452469,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -11.3 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>11.8 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>3.2 to 13.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.1 to 29.7 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-09",2001-04-09,13.31875,0,48.7,0.15,3.175,17.8,33.6,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",3.75410605349601,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -12.8 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>13.3 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>3.2 to 17.8 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.1 to 33.6 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-10",2001-04-10,14.0875,0,49.5,0.15,3.175,22.175,33.95,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",3.54924578527063,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -13.6 mm<br>Percent of normal: <b>4%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>14.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>3.2 to 22.2 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.1 to 34.0 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-11",2001-04-11,16.08125,0,57.6,0.15,3.525,22.55,39.05,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",3.10921103769918,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -15.6 mm<br>Percent of normal: <b>3%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>16.1 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>3.5 to 22.5 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>0.1 to 39.0 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-12",2001-04-12,16.8625,0,62.5,0.15,3.525,23.05,40.1,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",2.96515937731653,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -16.4 mm<br>Percent of normal: <b>3%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>16.9 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>3.5 to 23.0 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>0.1 to 40.1 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-13",2001-04-13,17.95625,0,62.5,0.5,3.575,23.125,45.3,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-13<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",2.78454577097111,"DATE: Apr-13<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -17.5 mm<br>Percent of normal: <b>3%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-13<br><b>Normal cumulative precipitation</b><br>18.0 mm<br>Period: 1991-2020","DATE: Apr-13<br><b>25-75 percentile</b><br>3.6 to 23.1 mm","DATE: Apr-13<br><b>10-90 percentile</b><br>0.5 to 45.3 mm","2301153","ARVIAT+CLIMATE",2005,2026
"04-14",2001-04-14,18.58125,0,62.5,0.5,3.825,23.6,47.2,0,0.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"","DATE: Apr-14<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 41576)",2.69088462832156,"DATE: Apr-14<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -18.1 mm<br>Percent of normal: <b>3%</b><br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-14<br><b>Normal cumulative precipitation</b><br>18.6 mm<br>Period: 1991-2020","DATE: Apr-14<br><b>25-75 percentile</b><br>3.8 to 23.6 mm","DATE: Apr-14<br><b>10-90 percentile</b><br>0.5 to 47.2 mm","2301153","ARVIAT+CLIMATE",2005,2026
