"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-12.78125,-24.3,-1.2,8.16914673226851,-23.2,-22.275,-7.05,-2.55,-19,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2011-04-01,"DATE: Apr-01<br>Value: -19.0 °C<br>Anomaly: -6.2 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-23.2 to -2.5 °C","Historical daily maximum<br>-1.2 °C<br>2011-04-01","DATE: Apr-01</b><br>Normal: -12.8 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-01","TMIN",2001-04-01,-19.875,-32.8,-4.3,9.02636877893504,-30.6,-27.325,-14.35,-7.25,-29.5,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2010-04-01,"DATE: Apr-01<br>Value: -29.5 °C<br>Anomaly: -9.6 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.6 to -7.2 °C","Historical daily maximum<br>-4.3 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: -19.9 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-01","VPD",2001-04-01,0.109430194990921,0.0349938794744756,0.292141562119511,0.06726175603706,0.0405227933271357,0.0554533235268835,0.141500100075033,0.167447800580605,0.083245873986392,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2009-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.2 kPa","Historical daily maximum<br>0.3 kPa<br>2009-04-01","DATE: Apr-01</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-02","TMAX",2001-04-02,-12.64375,-28.6,-0.9,8.79052283238413,-23.5,-21.925,-6.575,-2.75,-20,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-02,"DATE: Apr-02<br>Value: -20.0 °C<br>Anomaly: -7.4 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-23.5 to -2.8 °C","Historical daily maximum<br>-0.9 °C<br>2005-04-02","DATE: Apr-02</b><br>Normal: -12.6 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-02","TMIN",2001-04-02,-21.43125,-33.9,-8.2,8.22627649669035,-31.4,-28.7,-16.025,-11,-30.9,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2011-04-02,"DATE: Apr-02<br>Value: -30.9 °C<br>Anomaly: -9.5 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-31.4 to -11.0 °C","Historical daily maximum<br>-8.2 °C<br>2011-04-02","DATE: Apr-02</b><br>Normal: -21.4 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-02","VPD",2001-04-02,0.143508615882321,0.0229447319627476,0.401044248254466,0.107807475776892,0.0393231934077019,0.0612277115834227,0.179728081675929,0.282561602073447,0.0785892699838988,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.3 kPa","Historical daily maximum<br>0.4 kPa<br>2005-04-02","DATE: Apr-02</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-03","TMAX",2001-04-03,-12.925,-25.8,0,7.53317108969833,-22.45,-18.35,-7.25,-6,-11.7,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-03,"DATE: Apr-03<br>Value: -11.7 °C<br>Anomaly: +1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-22.4 to -6.0 °C","Historical daily maximum<br>0.0 °C<br>2005-04-03","DATE: Apr-03</b><br>Normal: -12.9 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-03","TMIN",2001-04-03,-22.675,-31.4,-7.4,7.60889829957881,-30.75,-29.6,-17.725,-12.55,-24.8,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-03,"DATE: Apr-03<br>Value: -24.8 °C<br>Anomaly: -2.1 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.8 to -12.6 °C","Historical daily maximum<br>-7.4 °C<br>2005-04-03","DATE: Apr-03</b><br>Normal: -22.7 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-03","VPD",2001-04-03,0.141335032406442,0.0282674526435112,0.260466903606997,0.0825294779487395,0.0508110246335925,0.0793915078058254,0.217615850210846,0.251818552387482,0.168024415854594,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.3 kPa<br>2005-04-03","DATE: Apr-03</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-04","TMAX",2001-04-04,-14.0625,-23.8,-0.2,6.69705159006559,-20.75,-20.4,-10.075,-6.7,-15.3,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2006-04-04,"DATE: Apr-04<br>Value: -15.3 °C<br>Anomaly: -1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-20.8 to -6.7 °C","Historical daily maximum<br>-0.2 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: -14.1 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
"04-04","TMIN",2001-04-04,-22.3875,-30.5,-10.2,7.19934024755047,-29.9,-28.075,-16.775,-12.3,-24.4,"NA (ECCC AES NA; station_id 41576)",NA,41576,"",4,2005-04-04,"DATE: Apr-04<br>Value: -24.4 °C<br>Anomaly: -2.0 °C<br>Weather station: NA (ECCC AES NA; station_id 41576)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.9 to -12.3 °C","Historical daily maximum<br>-10.2 °C<br>2005-04-04","DATE: Apr-04</b><br>Normal: -22.4 °C<br>Period: 1991-2020","2301153","ARVIAT+CLIMATE",2005,2026
