"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-11.6095238095238,-24,-0.5,8.13854438839678,-21.7,-18.8,-2.7,-1.1,-14.4,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2000-04-01,"DATE: Apr-01<br>Value: -14.4 °C<br>Anomaly: -2.8 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-21.7 to -1.1 °C","Historical daily maximum<br>-0.5 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: -11.6 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-01","TMIN",2001-04-01,-22.6190476190476,-32.3,-8.8,7.64399235004975,-32,-27.6,-16.8,-10.5,-22.5,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2012-04-01,"DATE: Apr-01<br>Value: -22.5 °C<br>Anomaly: +0.1 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-32.0 to -10.5 °C","Historical daily maximum<br>-8.8 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: -22.6 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-01","VPD",2001-04-01,0.178088483726774,0.0321898066547627,0.433713583176196,0.139518905369433,0.0542798012398529,0.0783642436095719,0.254054490087664,0.419332247768012,0.100092753590903,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2005-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.4 kPa<br>2005-04-01","DATE: Apr-01</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-02","TMAX",2001-04-02,-13.6095238095238,-28.5,0.9,8.1173212799485,-23.2,-21,-7.5,-3.9,-14.2,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,1999-04-02,"DATE: Apr-02<br>Value: -14.2 °C<br>Anomaly: -0.6 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-23.2 to -3.9 °C","Historical daily maximum<br>0.9 °C<br>1999-04-02","DATE: Apr-02</b><br>Normal: -13.6 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-02","TMIN",2001-04-02,-22.0272727272727,-35.3,-4.5,8.33513400458918,-32.02,-29.725,-15.725,-13.23,-25.3,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2005-04-02,"DATE: Apr-02<br>Value: -25.3 °C<br>Anomaly: -3.3 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-32.0 to -13.2 °C","Historical daily maximum<br>-4.5 °C<br>2005-04-02","DATE: Apr-02</b><br>Normal: -22.0 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-02","VPD",2001-04-02,0.11994012752255,0.0244931176172245,0.530573035556516,0.10679551099604,0.049719266770714,0.0623695563540689,0.151460764542708,0.187459038363311,0.125706673550249,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,1999-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: +0.0 kPa<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.0 to 0.2 kPa","Historical daily maximum<br>0.5 kPa<br>1999-04-02","DATE: Apr-02</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-03","TMAX",2001-04-03,-12.59,-23.6,3.7,7.84077735136537,-20.2,-18.825,-7.325,-2.73999999999999,-10,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,1999-04-03,"DATE: Apr-03<br>Value: -10.0 °C<br>Anomaly: +2.6 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-20.2 to -2.7 °C","Historical daily maximum<br>3.7 °C<br>1999-04-03","DATE: Apr-03</b><br>Normal: -12.6 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-03","TMIN",2001-04-03,-22.8142857142857,-31.8,-2.2,8.30345022953023,-31.4,-29.9,-16.2,-13.1,-17.5,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,1999-04-03,"DATE: Apr-03<br>Value: -17.5 °C<br>Anomaly: +5.3 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-31.4 to -13.1 °C","Historical daily maximum<br>-2.2 °C<br>1999-04-03","DATE: Apr-03</b><br>Normal: -22.8 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-03","VPD",2001-04-03,0.148114972014487,0.0476772589334337,0.467350104740497,0.103533899685083,0.055656059673445,0.0807094818312289,0.210169457617652,0.251366136890975,0.131276557049202,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2006-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: 0.0 kPa<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.5 kPa<br>2006-04-03","DATE: Apr-03</b><br>Normal: 0.1 kPa<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-04","TMAX",2001-04-04,-12.1,-22.5,0.1,7.04670135595372,-21.4,-17.2,-8.7,-1.5,-15.5,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,2024-04-04,"DATE: Apr-04<br>Value: -15.5 °C<br>Anomaly: -3.4 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-21.4 to -1.5 °C","Historical daily maximum<br>0.1 °C<br>2024-04-04","DATE: Apr-04</b><br>Normal: -12.1 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
"04-04","TMIN",2001-04-04,-22.6,-32,-11.4,6.39009650422694,-29.8,-28.1,-16.925,-13.76,-24,"ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","2301102",7341,"ENNADAI LAKE (AUT)",4,1999-04-04,"DATE: Apr-04<br>Value: -24.0 °C<br>Anomaly: -1.4 °C<br>Weather station: ENNADAI LAKE (AUT) (ECCC AES 2301102; station_id 7341)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.8 to -13.8 °C","Historical daily maximum<br>-11.4 °C<br>1999-04-04","DATE: Apr-04</b><br>Normal: -22.6 °C<br>Period: 1991-2020","2301102","ENNADAI+LAKE+AUT",1994,2026
