"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.743333333333333,0,13.1,0,0,0,0.870000000000001,0,0,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.9 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-02",2001-04-02,0.806666666666667,0,13.1,0,0,0,1.56,0,0,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>0.8 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 1.6 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-03",2001-04-03,0.816666666666667,0,13.1,0,0,0,1.56,0.2,0.2,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",24.4897959183673,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -0.6 mm<br>Percent of normal: <b>24%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>0.8 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 1.6 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-04",2001-04-04,0.87,0,13.1,0,0,0.15,1.56,11,11.2,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 11.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",1287.35632183908,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 11.2 mm<br>Anomaly: +10.3 mm<br>Percent of normal: <b>1287%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>0.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 0.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 1.6 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-05",2001-04-05,0.893333333333333,0,13.1,0,0,0.15,2.11,0.7,11.9,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.7 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",1332.08955223881,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 11.9 mm<br>Anomaly: +11.0 mm<br>Percent of normal: <b>1332%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>0.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 0.2 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 2.1 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-06",2001-04-06,1.22666666666667,0,13.1,0,0,0.75,3.82,1.1,13,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 1.1 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",1059.78260869565,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 13.0 mm<br>Anomaly: +11.8 mm<br>Percent of normal: <b>1060%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>1.2 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 3.8 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-07",2001-04-07,1.45666666666667,0,13.1,0,0,1.775,4.23,0,13,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",892.448512585812,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 13.0 mm<br>Anomaly: +11.5 mm<br>Percent of normal: <b>892%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 4.2 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-08",2001-04-08,2,0,16,0,0,1.775,6.44,11.4,24.4,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 11.4 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",1220,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 24.4 mm<br>Anomaly: +22.4 mm<br>Percent of normal: <b>1220%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>2.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 6.4 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-09",2001-04-09,2.4,0,17.3,0,0,3.525,7.85,1.2,25.6,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 1.2 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",1066.66666666667,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 25.6 mm<br>Anomaly: +23.2 mm<br>Percent of normal: <b>1067%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>2.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 3.5 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 7.9 mm","6040325","ARMSTRONG+AUT",1953,2026
"04-10",2001-04-10,2.88666666666667,0,17.5,0,0,4.45,9.65000000000001,0.2,25.8,"NA (ECCC AES NA; station_id 3987)",NA,3987,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 3987)",893.764434180139,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 25.8 mm<br>Anomaly: +22.9 mm<br>Percent of normal: <b>894%</b><br>Weather station: NA (ECCC AES NA; station_id 3987)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 4.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 9.7 mm","6040325","ARMSTRONG+AUT",1953,2026
