"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,10.6,13.4350288425444,20.1,2010-04-01,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-02",2001-04-02,11.75,13.930003589375,21.6,2010-04-02,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-03",2001-04-03,11.7,14.5663996924429,22,2010-04-03,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-04",2001-04-04,13.1,14.4249783362056,23.3,2010-04-04,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-05",2001-04-05,14.65,15.0613744392735,25.3,2010-04-05,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-06",2001-04-06,13.4,11.5658981493008,26.7,2010-04-06,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-07",2001-04-07,11.92,8.61899066016433,27.2,2010-04-07,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-08",2001-04-08,11.18,10.044500983125,27.8,2010-04-08,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-09",2001-04-09,12.28,10.4738722543289,29,2010-04-09,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-10",2001-04-10,13.7,8.83591157342203,26.1,2010-04-10,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-11",2001-04-11,14.95,9.31110448156752,28.1,2010-04-11,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-12",2001-04-12,14.0166666666667,7.9665341690516,29.1,2010-04-12,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-13",2001-04-13,12.1428571428571,8.5381217963627,30.4,2010-04-13,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-14",2001-04-14,12.5875,8.61749673629181,32,2010-04-14,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-15",2001-04-15,14.8625,8.73693923195401,33.8,2010-04-15,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-16",2001-04-16,17.0714285714286,9.23935681125663,34.9,2010-04-16,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-17",2001-04-17,15.9125,10.8797895856754,36.7,2010-04-17,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-18",2001-04-18,18.8142857142857,11.6171466048292,38.8,2010-04-18,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-19",2001-04-19,14.3222222222222,11.4000852823321,41.3,2010-04-19,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-20",2001-04-20,11.93,11.5335308268255,42.9,2010-04-20,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-21",2001-04-21,12.9636363636364,11.0802773184856,43.8,2010-04-21,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-22",2001-04-22,12.7818181818182,12.0019013645187,45.5,2010-04-22,NA,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-23",2001-04-23,13.7083333333333,12.1384032447984,48.2,2010-04-23,7.4,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-24",2001-04-24,14.4923076923077,12.202012234222,50.8,2010-04-24,2.9,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-25",2001-04-25,16.1785714285714,12.4052829051193,53,2010-04-25,5,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-26",2001-04-26,17.1333333333333,12.3845910404056,55.3,2010-04-26,5.9,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-27",2001-04-27,18.0785714285714,13.0666444737047,57.1,2010-04-27,2.4,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-28",2001-04-28,18.6733333333333,13.2846563838925,59.9,2010-04-28,0.8,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-29",2001-04-29,19.28,13.6217892678291,61,2010-04-29,1.3,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
"BUI","04-30",2001-04-30,18.875,12.3094814404724,51.1,2010-04-30,1.8,123,2021-07-18,NA,4,"Daily record reached in 2010","6020LPQ","ATIKOKAN+AUT",1994,2026
