"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,6.1,0.424264068711929,6.4,2012-04-01,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-02",2001-04-02,4.15,0.636396103067892,4.6,2012-04-02,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-03",2001-04-03,4.8,0.707106781186548,5.3,2012-04-03,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-04",2001-04-04,5.9,1.4142135623731,6.9,2012-04-04,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-05",2001-04-05,6.4,1.4142135623731,7.4,2012-04-05,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-06",2001-04-06,7.25,1.20208152801713,8.1,2012-04-06,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-07",2001-04-07,8.45,1.90918830920368,9.8,2012-04-07,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-08",2001-04-08,8.6,3.25269119345812,10.9,2012-04-08,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-09",2001-04-09,9.75,4.17193000900063,12.7,2012-04-09,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-10",2001-04-10,10.6,4.38406204335659,13.7,2012-04-10,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-11",2001-04-11,9.3,4.8135226186235,14.6,2012-04-11,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-12",2001-04-12,9.93333333333333,4.77109351546722,15.2,2012-04-12,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
"BUI","04-13",2001-04-13,10.6333333333333,4.66940395910799,15.9,2012-04-13,NA,101,2011-07-23,NA,4,"Daily record reached in 2012","6151061","BURLINGTON+PIERS+AUT",1994,2026
