"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,5.81666666666667,4.7199223157449,12.1,2010-04-01,1,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-02",2001-04-02,6.4,5.75777734894291,15.2,2010-04-02,1.1,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-03",2001-04-03,7.15,6.42161528411216,17.6,2010-04-03,1.7,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-04",2001-04-04,7.58571428571429,6.53539811881637,20,2010-04-04,0.3,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-05",2001-04-05,6.8,7.28109097005976,21.9,2010-04-05,0.5,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-06",2001-04-06,6.5875,6.21643846127806,17.3,2010-04-06,NA,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-07",2001-04-07,6.18888888888889,6.80706332504048,17.7,2010-04-07,NA,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-08",2001-04-08,6.02,5.40098756401703,16.8,2012-04-08,NA,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-09",2001-04-09,5.91666666666667,4.70393130232253,17.9,2012-04-09,2.6,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-10",2001-04-10,5.95,4.29111132035005,18,2012-04-10,0.5,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-11",2001-04-11,5.825,4.69508931079736,18.4,2012-04-11,0.7,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-12",2001-04-12,6.88181818181818,5.06671850053231,19.5,2012-04-12,0.1,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-13",2001-04-13,6.65454545454545,5.64453073981596,21,2012-04-13,0.7,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-14",2001-04-14,7.64166666666667,5.8064945352492,23.1,2012-04-14,1.5,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-15",2001-04-15,7.36153846153846,6.36979048079533,23.7,2012-04-15,0.2,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-16",2001-04-16,8.64166666666667,7.28466113685379,25.9,2012-04-16,0.6,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-17",2001-04-17,9.31333333333333,6.71266039091875,26.4,2012-04-17,0.9,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-18",2001-04-18,10.8714285714286,7.48222802804995,27.5,2012-04-18,0.9,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-19",2001-04-19,11.52,8.25064499643166,29.2,2012-04-19,0.3,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-20",2001-04-20,11.1066666666667,8.563999955517,30.9,2012-04-20,0.6,154.9,2006-08-25,NA,4,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","04-21",2001-04-21,10.5411764705882,7.11890606269051,24.5,2010-04-21,1.9,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-22",2001-04-22,10.7705882352941,7.15845345604432,25.2,2010-04-22,3.7,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-23",2001-04-23,11.2529411764706,7.4607403827518,26.8,2010-04-23,5.8,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-24",2001-04-24,10.45,7.75456222453064,29.2,2010-04-24,7,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-25",2001-04-25,10.2222222222222,8.19602167163009,30.5,2010-04-25,2.3,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-26",2001-04-26,9.65,8.28877696221896,33,2010-04-26,2.5,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-27",2001-04-27,10.0055555555556,8.8735212337024,33.9,2010-04-27,4.9,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-28",2001-04-28,9.12222222222222,7.78018263474999,35.1,2010-04-28,3.1,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-29",2001-04-29,9.39444444444444,8.3316880728812,37.3,2010-04-29,2.8,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","04-30",2001-04-30,10.0611111111111,8.79860543019971,40.2,2010-04-30,3.7,154.9,2006-08-25,NA,4,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","05-01",2001-05-01,9.63684210526316,7.96284500569962,36.4,2010-05-01,4.7,154.9,2006-08-25,NA,5,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","05-02",2001-05-02,10.2473684210526,8.0869145620875,36.3,2010-05-02,5.9,154.9,2006-08-25,NA,5,"Daily record reached in 2010","611E001","EGBERT+CS",2000,2026
"BUI","05-03",2001-05-03,10.2052631578947,6.63697334669037,22.1,2006-05-03,7.7,154.9,2006-08-25,NA,5,"Daily record reached in 2006","611E001","EGBERT+CS",2000,2026
"BUI","05-04",2001-05-04,11.2210526315789,7.79113306175455,23.3,2006-05-04,10.2,154.9,2006-08-25,NA,5,"Daily record reached in 2006","611E001","EGBERT+CS",2000,2026
"BUI","05-05",2001-05-05,12.9105263157895,7.9983258482178,25.4,2001-05-05,11.5,154.9,2006-08-25,NA,5,"Daily record reached in 2001","611E001","EGBERT+CS",2000,2026
"BUI","05-06",2001-05-06,14.2736842105263,8.0822743021217,27.9,2001-05-06,8.4,154.9,2006-08-25,NA,5,"Daily record reached in 2001","611E001","EGBERT+CS",2000,2026
"BUI","05-07",2001-05-07,15.6631578947368,8.81181092034472,30.3,2001-05-07,7.5,154.9,2006-08-25,NA,5,"Daily record reached in 2001","611E001","EGBERT+CS",2000,2026
"BUI","05-08",2001-05-08,16.5578947368421,9.76116544666634,33.3,2015-05-08,9.6,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-09",2001-05-09,17.9944444444444,10.9427102902678,37,2015-05-09,11.3,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-10",2001-05-10,17.6722222222222,11.2154727972279,37.6,2015-05-10,9.3,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-11",2001-05-11,18.2722222222222,10.1828463347496,38.1,2015-05-11,10.7,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-12",2001-05-12,19,10.2147528834812,39.5,2015-05-12,12.8,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-13",2001-05-13,19.15,9.53373268051551,40.6,2015-05-13,7.8,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-14",2001-05-14,17.8,11.4861752651708,43,2015-05-14,6.8,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-15",2001-05-15,15.9526315789474,11.9197021038956,44.9,2015-05-15,10.3,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-16",2001-05-16,15.6631578947368,12.3543159586849,46.4,2015-05-16,13.1,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-17",2001-05-17,16.5842105263158,12.7001427445125,49,2015-05-17,16,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-18",2001-05-18,17.5684210526316,12.7324193664824,52.2,2015-05-18,13.4,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-19",2001-05-19,18.9684210526316,13.3956897143811,53.8,2015-05-19,16.7,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-20",2001-05-20,20.4842105263158,13.9994548766052,55.4,2015-05-20,9.6,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-21",2001-05-21,21.9315789473684,14.469970921862,58.2,2015-05-21,11.4,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-22",2001-05-22,21.4421052631579,14.3199672481575,59.6,2015-05-22,14.2,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-23",2001-05-23,21.8368421052632,14.2539745149795,62.4,2015-05-23,7.9,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-24",2001-05-24,22.735,15.1288944529473,66.3,2015-05-24,2.8,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-25",2001-05-25,23.34,14.6703209163765,57.4,2015-05-25,4.6,154.9,2006-08-25,NA,5,"Daily record reached in 2015","611E001","EGBERT+CS",2000,2026
"BUI","05-26",2001-05-26,23.385,14.3249607329305,50.3,2012-05-26,8.4,154.9,2006-08-25,NA,5,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","05-27",2001-05-27,22.295,14.8134176375765,52.7,2012-05-27,11,154.9,2006-08-25,NA,5,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","05-28",2001-05-28,22.535,14.8600940352624,55.5,2012-05-28,12.7,154.9,2006-08-25,NA,5,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
"BUI","05-29",2001-05-29,23.915,15.6908043804409,56.5,2012-05-29,15.7,154.9,2006-08-25,NA,5,"Daily record reached in 2012","611E001","EGBERT+CS",2000,2026
