"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,123.5,2023-06-24,NA,4,"Daily record reached in NA","6042716","GERALDTON+A",1981,2026
"BUI","04-10",2001-04-10,NA,NA,9.4,1987-04-10,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-11",2001-04-11,NA,NA,9.7,1987-04-11,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-12",2001-04-12,NA,NA,10.2,1987-04-12,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-13",2001-04-13,18.7,4.5254833995939,21.9,2010-04-13,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-14",2001-04-14,17.2333333333333,4.45234020862437,22.2,2010-04-14,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-15",2001-04-15,16.175,5.20024037905941,23.4,2010-04-15,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-16",2001-04-16,17.15,7.42462120245875,22.4,2010-04-16,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-17",2001-04-17,12,NA,17.2,1987-04-17,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-18",2001-04-18,12.4,NA,19.7,1987-04-18,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-19",2001-04-19,17.35,7.84888527117068,23,1987-04-19,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1987","6042716","GERALDTON+A",1981,2026
"BUI","04-20",2001-04-20,14.4,8.05543294925853,23.1,2010-04-20,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-21",2001-04-21,15.3,7.18401002226472,23.3,2010-04-21,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-22",2001-04-22,16.9,6.6573267908373,24.5,2010-04-22,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-23",2001-04-23,16,7.78331548891602,26.5,2010-04-23,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-24",2001-04-24,17.1,7.86299349272697,30.2,1984-04-24,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1984","6042716","GERALDTON+A",1981,2026
"BUI","04-25",2001-04-25,15.3166666666667,8.23709091042867,32,1984-04-25,NA,123.5,2023-06-24,NA,4,"Daily record reached in 1984","6042716","GERALDTON+A",1981,2026
"BUI","04-26",2001-04-26,16.8166666666667,8.29853400708021,30.7,2010-04-26,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-27",2001-04-27,16.9142857142857,8.34534372598049,31.8,2010-04-27,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-28",2001-04-28,15.775,10.1377300925094,33.6,2010-04-28,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-29",2001-04-29,16.7625,11.4736888451049,35.9,2010-04-29,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","04-30",2001-04-30,18.525,12.4214963441838,37.5,2010-04-30,NA,123.5,2023-06-24,NA,4,"Daily record reached in 2010","6042716","GERALDTON+A",1981,2026
"BUI","05-01",2001-05-01,18.525,11.2283760433746,35.7,1999-05-01,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-02",2001-05-02,16.9363636363636,11.707969313871,40.5,1999-05-02,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-03",2001-05-03,19.69,12.4595746315835,44.3,1999-05-03,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-04",2001-05-04,18.8272727272727,13.5869121517062,48.4,1999-05-04,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-05",2001-05-05,16.6538461538462,13.0823427683153,52.6,1999-05-05,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-06",2001-05-06,14.46,9.74546048168069,33.6,1999-05-06,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1999","6042716","GERALDTON+A",1981,2026
"BUI","05-07",2001-05-07,14.4470588235294,9.49401901508647,32.3,1998-05-07,NA,123.5,2023-06-24,NA,5,"Daily record reached in 1998","6042716","GERALDTON+A",1981,2026
