"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,14.3,18.8090403795622,27.6,1998-04-01,NA,118.2,2012-07-25,NA,4,"Daily record reached in 1998","6122847","GODERICH",1990,2026
"BUI","04-02",2001-04-02,12.76,7.76453475747259,20.4,1998-04-02,NA,118.2,2012-07-25,NA,4,"Daily record reached in 1998","6122847","GODERICH",1990,2026
"BUI","04-03",2001-04-03,13.64,8.81294502422431,21.4,2012-04-03,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-04",2001-04-04,11.425,10.6368463371434,22,2012-04-04,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-05",2001-04-05,15.9,9.08625335328044,22.3,2012-04-05,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-06",2001-04-06,15.45,8.42001583529786,22.8,2012-04-06,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-07",2001-04-07,14.775,9.48801876052108,23.7,2012-04-07,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-08",2001-04-08,9.94,8.7882307662009,24.2,2012-04-08,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-09",2001-04-09,9.6,9.89419021446424,24.9,2012-04-09,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-10",2001-04-10,8.28571428571429,8.72838827646673,25.4,2012-04-10,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-11",2001-04-11,7.42857142857143,9.33964922355479,25.8,2012-04-11,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-12",2001-04-12,8.18571428571429,9.53317515686293,26.3,2012-04-12,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-13",2001-04-13,8.65,9.31619174187761,27.3,2012-04-13,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-14",2001-04-14,8.22222222222222,8.43323451852517,28.5,2012-04-14,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-15",2001-04-15,8.73333333333333,7.73094431489453,26.2,2012-04-15,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-16",2001-04-16,7.83,7.38572948326704,26.1,2012-04-16,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-17",2001-04-17,8.44545454545455,7.04434008781002,26.4,2012-04-17,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-18",2001-04-18,8.88461538461539,6.76656561753525,27.2,2012-04-18,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-19",2001-04-19,9.26153846153846,7.15641186414189,28,2012-04-19,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-20",2001-04-20,9.50769230769231,7.94338944641618,30,2012-04-20,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-21",2001-04-21,9.58461538461539,6.22519693849736,20.6,2012-04-21,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-22",2001-04-22,9.37692307692308,6.85190409620492,22.2,2012-04-22,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-23",2001-04-23,9.4,7.04840407468244,23.1,2012-04-23,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-24",2001-04-24,10.2214285714286,7.70845475599842,23.8,2012-04-24,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-25",2001-04-25,9.86428571428571,6.9283816672779,25.1,2012-04-25,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-26",2001-04-26,9.3,6.75425791630731,25.2,2012-04-26,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-27",2001-04-27,10.0857142857143,6.85328188005371,25.8,2012-04-27,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-28",2001-04-28,9.8,7.517978451685,26.6,2012-04-28,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-29",2001-04-29,10.34,7.73219613970424,27.4,2012-04-29,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","04-30",2001-04-30,11.0866666666667,8.42020246335025,28.3,2012-04-30,NA,118.2,2012-07-25,NA,4,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-01",2001-05-01,9.22,7.37594545997809,22.3,2016-05-01,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-02",2001-05-02,8.88823529411765,7.62150594969108,23.5,2016-05-02,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-03",2001-05-03,9.04705882352941,7.74815442920593,24.9,2016-05-03,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-04",2001-05-04,9.4,7.50066663703967,26.6,2016-05-04,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-05",2001-05-05,10.4555555555556,8.28643272586349,27.7,2016-05-05,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-06",2001-05-06,11.2777777777778,8.42060187562103,29,2016-05-06,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-07",2001-05-07,12.21,8.66407586106653,30.9,2016-05-07,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-08",2001-05-08,12.1619047619048,8.59694574779184,32,2016-05-08,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-09",2001-05-09,12.3285714285714,9.17927790499573,33.3,2016-05-09,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-10",2001-05-10,11.7095238095238,9.76744105494908,35.7,2016-05-10,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-11",2001-05-11,11.4727272727273,8.29073963144204,38.6,2016-05-11,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-12",2001-05-12,12.0857142857143,9.15053472286105,40.5,2016-05-12,NA,118.2,2012-07-25,NA,5,"Daily record reached in 2016","6122847","GODERICH",1990,2026
"BUI","05-13",2001-05-13,11.145,7.52801609428337,28.1,1999-05-13,NA,118.2,2012-07-25,NA,5,"Daily record reached in 1999","6122847","GODERICH",1990,2026
"BUI","05-14",2001-05-14,9.97727272727273,7.92187639016954,31.2,1999-05-14,NA,118.2,2012-07-25,NA,5,"Daily record reached in 1999","6122847","GODERICH",1990,2026
"BUI","05-15",2001-05-15,10.0090909090909,8.63563542156564,33.7,1999-05-15,NA,118.2,2012-07-25,NA,5,"Daily record reached in 1999","6122847","GODERICH",1990,2026
"BUI","05-16",2001-05-16,9.41818181818182,8.73005952980502,36.6,1999-05-16,NA,118.2,2012-07-25,NA,5,"Daily record reached in 1999","6122847","GODERICH",1990,2026
"BUI","05-17",2001-05-17,8.93913043478261,6.00808085607397,20.3,2012-05-17,7.5,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-18",2001-05-18,9.59565217391304,6.1072593362973,23.2,2012-05-18,10.5,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-19",2001-05-19,10.725,7.1347435284943,28.3,2012-05-19,8.4,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-20",2001-05-20,11.525,8.59849582396727,33.3,2012-05-20,7.1,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-21",2001-05-21,11.9458333333333,8.90222147002922,35.3,2012-05-21,9.1,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-22",2001-05-22,12.016,8.8417419098275,36.2,2012-05-22,11.6,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-23",2001-05-23,12.204,9.19295382344543,37.3,2012-05-23,12.4,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-24",2001-05-24,12.912,9.52519991041308,40.8,2012-05-24,7.9,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-25",2001-05-25,13.324,9.51438735109448,43.5,2012-05-25,6.8,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-26",2001-05-26,13.316,10.673357797182,44.7,2012-05-26,10.2,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-27",2001-05-27,13.5153846153846,10.6914430198245,45.6,2012-05-27,11.1,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-28",2001-05-28,14.3692307692308,11.4646157975143,47,2012-05-28,12.4,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-29",2001-05-29,15.3925925925926,11.4493508692692,48.5,2012-05-29,14.8,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-30",2001-05-30,16.2185185185185,11.6391262240453,49.9,2012-05-30,15.8,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","05-31",2001-05-31,16.2407407407407,12.3562273075706,51.4,2012-05-31,17.6,118.2,2012-07-25,NA,5,"Daily record reached in 2012","6122847","GODERICH",1990,2026
"BUI","06-01",2001-06-01,16.3407407407407,10.9328460387551,40.3,2016-06-01,20.4,118.2,2012-07-25,NA,6,"Daily record reached in 2016","6122847","GODERICH",1990,2026
