"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,3,NA,3,1998-04-01,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-02",2001-04-02,1.3,NA,1.3,1998-04-02,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-03",2001-04-03,2.3,NA,2.3,1998-04-03,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-04",2001-04-04,5.05,3.18198051533946,7.3,2010-04-04,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2010","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-05",2001-04-05,6.25,3.04055915910216,8.4,2010-04-05,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2010","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-06",2001-04-06,6,0.848528137423857,6.6,2010-04-06,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2010","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-07",2001-04-07,6.35,1.76776695296637,8.7,2021-04-07,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2021","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-08",2001-04-08,7.05,3.7476659402887,10.8,2021-04-08,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2021","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-09",2001-04-09,6.7,5.939696961967,12.6,2021-04-09,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2021","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-10",2001-04-10,8.5,5.79827560572969,14.7,2021-04-10,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2021","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-11",2001-04-11,8.06666666666667,5.51754776448137,15.9,2021-04-11,NA,130.5,1997-08-12,NA,4,"Daily record reached in 2021","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-12",2001-04-12,9.83333333333333,6.21637622199086,17,1998-04-12,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-13",2001-04-13,9.3,7.68244752666753,20.3,1998-04-13,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-14",2001-04-14,10.45,9.56120633950898,23.5,1998-04-14,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
"BUI","04-15",2001-04-15,11.525,10.0672323240634,25.3,1998-04-15,NA,130.5,1997-08-12,NA,4,"Daily record reached in 1998","6103024","GRENADIER+ISLAND",1994,2026
