"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.0692307692307692,0,1.2,0,0,0,0,0,0,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-02",2001-04-02,0.0692307692307692,0,1.2,0,0,0,0,NA,0,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>0.1 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-03",2001-04-03,0.3,0,6.6,0,0,0,0,2.2,2.2,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 2.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",733.333333333333,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 2.2 mm<br>Anomaly: +1.9 mm<br>Percent of normal: <b>733%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>0.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-04",2001-04-04,0.376923076923077,0,8,0,0,0,0.3,2.4,4.6,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 2.4 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",1220.40816326531,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 4.6 mm<br>Anomaly: +4.2 mm<br>Percent of normal: <b>1220%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 0.3 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-05",2001-04-05,0.430769230769231,0,8,0,0,0,0.9,19.4,24,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 19.4 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",5571.42857142857,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 24.0 mm<br>Anomaly: +23.6 mm<br>Percent of normal: <b>5571%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 0.9 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-06",2001-04-06,0.446153846153846,0,8.2,0,0,0,0.9,NA,24,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","",5379.31034482759,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 24.0 mm<br>Anomaly: +23.6 mm<br>Percent of normal: <b>5379%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 0.9 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-07",2001-04-07,0.907692307692308,0,11.4,0,0,0,2,NA,24,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","",2644.06779661017,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 24.0 mm<br>Anomaly: +23.1 mm<br>Percent of normal: <b>2644%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>0.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 2.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-08",2001-04-08,1.37692307692308,0,15.4,0,0,0,5,NA,24,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","",1743.01675977654,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 24.0 mm<br>Anomaly: +22.6 mm<br>Percent of normal: <b>1743%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 5.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-09",2001-04-09,1.40769230769231,0,15.6,0,0,0,5,0,24,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",1704.91803278689,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 24.0 mm<br>Anomaly: +22.6 mm<br>Percent of normal: <b>1705%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 5.0 mm","6103024","GRENADIER+ISLAND",1994,2026
"04-10",2001-04-10,1.40769230769231,0,15.6,0,0,0,5,4,28,"NA (ECCC AES NA; station_id 10903)",NA,10903,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 4.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10903)",1989.07103825137,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 28.0 mm<br>Anomaly: +26.6 mm<br>Percent of normal: <b>1989%</b><br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 5.0 mm","6103024","GRENADIER+ISLAND",1994,2026
