"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,8.95,-0.6,20.5,4.78845834620427,4.65,6.8,10.475,14,4.5,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-01,"DATE: Apr-01<br>Value: 4.5 °C<br>Anomaly: -4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>4.6 to 14.0 °C","Historical daily maximum<br>20.5 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 8.9 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-01","TMIN",2001-04-01,-0.03125,-8.6,4.7,3.79046501105076,-5.8,-1.15,2.525,3.5,0.6,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,1999-04-01,"DATE: Apr-01<br>Value: 0.6 °C<br>Anomaly: +0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.8 to 3.5 °C","Historical daily maximum<br>4.7 °C<br>1999-04-01","DATE: Apr-01</b><br>Normal: 0.0 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-01","VPD",2001-04-01,0.568705088735143,0.141896764243869,1.71603617618774,0.382592249758007,0.17642539247688,0.390674696519147,0.753899743789192,0.836497896354073,0.204337779690597,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-02","TMAX",2001-04-02,9.9125,-0.1,27.7,6.31547042322792,4.3,5.625,12.175,14.85,5.8,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-02,"DATE: Apr-02<br>Value: 5.8 °C<br>Anomaly: -4.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>4.3 to 14.8 °C","Historical daily maximum<br>27.7 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 9.9 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-02","TMIN",2001-04-02,0.675,-4.7,5.4,3.31773014775665,-3.75,-1.575,2.875,5.1,0.1,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2000-04-02,"DATE: Apr-02<br>Value: 0.1 °C<br>Anomaly: -0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-3.8 to 5.1 °C","Historical daily maximum<br>5.4 °C<br>2000-04-02","DATE: Apr-02</b><br>Normal: 0.7 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-02","VPD",2001-04-02,0.668900164827561,0.0710326708243163,2.82983895785443,0.658664230358235,0.165415451463846,0.282617389786287,0.820203818348568,1.04554889220987,0.306980704905303,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>2.8 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-03","TMAX",2001-04-03,10.21875,-1.5,27.7,6.51533767352084,4.25,6.925,13,15.6,20.6,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-03,"DATE: Apr-03<br>Value: 20.6 °C<br>Anomaly: +10.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>4.2 to 15.6 °C","Historical daily maximum<br>27.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 10.2 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-03","TMIN",2001-04-03,1.39375,-4.7,9.7,3.72155321516881,-3,-2.225,3.475,4.25,4.4,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-03,"DATE: Apr-03<br>Value: 4.4 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-3.0 to 4.2 °C","Historical daily maximum<br>9.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 1.4 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-03","VPD",2001-04-03,0.660065712058171,0.116382388020219,2.5109095295779,0.584419302277604,0.184822999005448,0.278093010515762,0.89823171909023,1.0172127266935,1.59010852948813,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.6 kPa<br>Anomaly: +0.9 kPa<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>2.5 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
"04-04","TMAX",2001-04-04,7.3375,-3.5,16.9,5.34501325224425,2.05,4.475,10.05,14.35,14.8,"NA (ECCC AES NA; station_id 10903)",NA,10903,"",4,2010-04-04,"DATE: Apr-04<br>Value: 14.8 °C<br>Anomaly: +7.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10903)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.0 to 14.4 °C","Historical daily maximum<br>16.9 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 7.3 °C<br>Period: 1991-2020","6103024","GRENADIER+ISLAND",1994,2026
